TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
96915SNVYPCODE9,144.674,13.42,False,66,010,954500,66,66010,66010954500,1400000US66010954500,NAVAL BASE GUAM-APRA HARBOR WWTP,1801 S MARINE DR,SANTA RITA,GU,96915,"NAVAL BASE GUAM-APRA HARBOR WWTP.1801 S MARINE DR, SANTA RITA GUAM 96915 (GUAM)",0,F,,110000856547
96912TNGSSPARCE,144.808,13.542,False,66,010,951902,66,66010,66010951902,1400000US66010951902,TANGUISSON POWER PLANT,"PARCEL 1, ESTATE 103",DEDEDO,GU,96929,"TANGUISSON POWER PLANT.PARCEL 1, ESTATE 103, DEDEDO GUAM 96929 (GUAM)",0,C,,110008062256
9691WFRMST49NRT,144.80200000000002,13.502,False,66,010,951902,66,66010,66010951902,1400000US66010951902,"FOREMOST FOODS, INC",490 NORTH MARINE CORPS DRIVE,TAMUNING,GU,96913,"FOREMOST FOODS, INC.490 NORTH MARINE CORPS DRIVE, TAMUNING GUAM 96913 (GUAM)",0,C,,110055500168
96925MBLLC1189C,144.66299999999998,13.464,False,66,010,954400,66,66010,66010954400,1400000US66010954400,MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL),1189 CABRAS HWY,PITI,GU,96925,"MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL).1189 CABRAS HWY, PITI GUAM 96925 (GUAM)",0,C,,110010037717
96928SHLLGTENJO,144.69,13.42,False,66,010,954400,66,66010,66010954400,1400000US66010954400,TRISTAR TERMINALS GUAM INC,"AGAT TERMINAL, RT 2A SANTA RITA INDUSTRIAL DRIVE",AGAT,GU,96928,"TRISTAR TERMINALS GUAM INC.AGAT TERMINAL, RT 2A SANTA RITA INDUSTRIAL DRIVE, AGAT GUAM 96928 (GUAM)",0,C,,110040841462
96913STHPC816NM,144.66299999999998,13.464,False,66,010,954400,66,66010,66010954400,1400000US66010954400,SOUTH PACIFIC PETROLEUM CORPORATION,1118 CABRAS HIGHWAY,PITI,GU,96925,"SOUTH PACIFIC PETROLEUM CORPORATION.1118 CABRAS HIGHWAY, PITI GUAM 96925 (GUAM)",0,C,,110025241147
96915SNVYCCOMNA,144.688,13.454,False,66,010,954400,66,66010,66010954400,1400000US66010954400,US NAVY COMNAVMARIANAS GUAM - FUEL FARM ANNEX,COMNAVMAR FUEL FARM BLDG 1700 MARINE DR,SANTA RITA,GU,96915,"US NAVY COMNAVMARIANAS GUAM - FUEL FARM ANNEX.COMNAVMAR FUEL FARM BLDG 1700 MARINE DR, SANTA RITA GUAM 96915 (GUAM)",0,F,,
96915PHLDNCABRA,144.671,13.462,False,66,010,954400,66,66010,66010954400,1400000US66010954400,IP&E HOLDINGS LLC/F3DOCK,CABRAS ISLAND,PITI,GU,96915,"IP&E HOLDINGS LLC/F3DOCK.CABRAS ISLAND, PITI GUAM 96915 (GUAM)",0,C,,110043965448
9691WTNJVSLT19T,144.687,13.417,False,66,010,954400,66,66010,66010954400,1400000US66010954400,TENJO VISTA POWER PLANT,"LOT 19 TRACT 2411, OFF ROUTE 2A, TENJO VISTA",PITI,GU,96915,"TENJO VISTA POWER PLANT.LOT 19 TRACT 2411, OFF ROUTE 2A, TENJO VISTA, PITI GUAM 96915 (GUAM)",0,C,,110060259241
96913HWNRC1402R,144.889,13.517999999999999,False,66,010,955800,66,66010,66010955800,1400000US66010955800,HAWAIIAN ROCK PRODUCTS-GUAM,1402 RT 15,MANGILAO,GU,96913,"HAWAIIAN ROCK PRODUCTS-GUAM.1402 RT 15, MANGILAO GUAM 96913 (GUAM)",0,C,,110012701031
96915GMPWR322CA,144.707,13.395,False,66,010,956200,66,66010,66010956200,1400000US66010956200,GUAM POWER AUTHORITY,322 CABRAS HWY RT 11,PITI,GU,96915,"GUAM POWER AUTHORITY.322 CABRAS HWY RT 11, PITI GUAM 96915 (GUAM)",0,C,,110007501499
96915SNVYCBLDG1,144.835,13.581,False,66,010,950300,66,66010,66010950300,1400000US66010950300,US NAVY COMNAVMARIANAS GUAM NCTS PISTOL RANGE,BLDG 101 COMNAVSUPACT,SANTA RITA,GU,96915,"US NAVY COMNAVMARIANAS GUAM NCTS PISTOL RANGE.BLDG 101 COMNAVSUPACT, SANTA RITA GUAM 96915 (GUAM)",0,F,,
96915SNVYCBLDGA,144.835,13.581,False,66,010,950300,66,66010,66010950300,1400000US66010950300,US NAVY COMNAVMARIANAS GUAM KD/OROTE,BLDG 101 COMNAVSUPACT,SANTA RITA,GU,96915,"US NAVY COMNAVMARIANAS GUAM KD/OROTE.BLDG 101 COMNAVSUPACT, SANTA RITA GUAM 96915 (GUAM)",0,F,,
96543SRFRC36CES,144.89700000000002,13.573,False,66,010,950200,66,66010,66010950200,1400000US66010950200,ANDERSEN AIR FORCE BASE (US AIR FORCE),"BUILDING 18001, ARC LIGHT BOULEVARD - UNIT 14007 36CES/CEV",YIGO,GU,96929,"ANDERSEN AIR FORCE BASE (US AIR FORCE).BUILDING 18001, ARC LIGHT BOULEVARD - UNIT 14007 36CES/CEV, YIGO GUAM 96929 (GUAM)",0,F,,110022811778
9691WNVYWTMAGAZ,144.685,13.388,False,66,010,980100,66,66010,66010980100,1400000US66010980100,NAVY WATER TREATMENT PLANT,MAGAZINE ROAD,SANTA RITA,GU,96915,"NAVY WATER TREATMENT PLANT.MAGAZINE ROAD, SANTA RITA GUAM 96915 (GUAM)",0,F,,110041627692
9692WNPPCR29CHA,144.901,13.526,False,66,010,956300,66,66010,66010956300,1400000US66010956300,NIPPO CORP,"290 CHALAN PADIRON HAYA, RT 15",YIGO,GU,96929,"NIPPO CORP.290 CHALAN PADIRON HAYA, RT 15, YIGO GUAM 96929 (GUAM)",0,C,,110055500177
9692WDDDCM11221,144.852,13.515999999999998,False,66,010,950701,66,66010,66010950701,1400000US66010950701,DEDEDO COMBUSTION TURBINE GENERATING FACILITY,"10122-10-1 & 10122-13-1, ROUTE 1 - MARINE CORP DR",DEDEDO,GU,96929,"DEDEDO COMBUSTION TURBINE GENERATING FACILITY.10122-10-1 & 10122-13-1, ROUTE 1 - MARINE CORP DR, DEDEDO GUAM 96929 (GUAM)",0,C,,110070525514
