TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
96705MCBRYNUMIL,-159.556,21.895,False,15,007,040700,15,15007,15007040700,1400000US15007040700,MCBRYDE SUGAR CO LTD NUMILA,MAIN RD,ELEELE,HI,96705,"MCBRYDE SUGAR CO LTD NUMILA.MAIN RD, ELEELE HAWAII 96705 (KAUAI)",0,C,,
96705KLCTR4392W,-159.586,21.9,False,15,007,040700,15,15007,15007040700,1400000US15007040700,PORT ALLEN GENERATING STATION,261 AKAULA ST.,ELEELE,HI,96705,"PORT ALLEN GENERATING STATION.261 AKAULA ST., ELEELE HAWAII 96705 (KAUAI)",0,C,,110064110652
96705CHVRNABRDX,-159.586,21.9,False,15,007,040700,15,15007,15007040700,1400000US15007040700,CHEVRON P RODUCTS CO PORT ALLEN TERMINAL,A & B RD,ELEELE,HI,96705,"CHEVRON P RODUCTS CO PORT ALLEN TERMINAL.A & B RD, ELEELE HAWAII 96705 (KAUAI)",0,C,,
96706BRWRC9129H,-158.10299999999998,21.311,False,15,003,980300,15,15003,15003980300,1400000US15003980300,BREWER CHEMICAL CORP,91-290 HANUA ST PARK,EWA BEACH,HI,96706,"BREWER CHEMICAL CORP.91-290 HANUA ST PARK, EWA BEACH HAWAII 96706 (HONOLULU)",1,C,,
96707CCCLX91233,-158.099,21.311,False,15,003,980300,15,15003,15003980300,1400000US15003980300,COCA-COLA USA HONOLULU SYRUP PLANT,91-233 KALAELOA BLVD,KAPOLEI,HI,96707,"COCA-COLA USA HONOLULU SYRUP PLANT.91-233 KALAELOA BLVD, KAPOLEI HAWAII 96707 (HONOLULU)",0,C,,
96707CHVRN91480,-158.111,21.311,False,15,003,980300,15,15003,15003980300,1400000US15003980300,IES DOWNSTREAM LLC - KAPOLEI REFINERY,91-480 MALAKOLE ST,KAPOLEI,HI,96707,"IES DOWNSTREAM LLC - KAPOLEI REFINERY.91-480 MALAKOLE ST, KAPOLEI HAWAII 96707 (HONOLULU)",0,C,,110000486304
96707HNLLW91291,-158.10299999999998,21.311,False,15,003,980300,15,15003,15003980300,1400000US15003980300,HONOLULU WOOD TREATING LLC,91-291 HANUA ST,KAPOLEI,HI,96707,"HONOLULU WOOD TREATING LLC.91-291 HANUA ST, KAPOLEI HAWAII 96707 (HONOLULU)",0,C,,110000486313
96707HWNCM91055,-158.108,21.301,False,15,003,980300,15,15003,15003980300,1400000US15003980300,HAWAIIAN CEMENT CEMENT DIV,91-055 KAOMI LOOP,EWA BEACH,HI,96707,"HAWAIIAN CEMENT CEMENT DIV.91-055 KAOMI LOOP, EWA BEACH HAWAII 96707 (HONOLULU)",0,C,,
96707HWNND91325,-158.091,21.304000000000002,False,15,003,980300,15,15003,15003980300,1400000US15003980300,PAR HAWAII REFINING LLC,91-325 KOMOHANA ST,KAPOLEI,HI,96707,"PAR HAWAII REFINING LLC.91-325 KOMOHANA ST, KAPOLEI HAWAII 96707 (HONOLULU)",0,C,,110000486322
96707MFCWD91445,-158.094,21.311,False,15,003,980300,15,15003,15003980300,1400000US15003980300,AMFAC WOOD TREATMENT FACILITY,91-445 KOMOHANA ST,EWA BEACH,HI,967071715,"AMFAC WOOD TREATMENT FACILITY.91-445 KOMOHANA ST, EWA BEACH HAWAII 96707 (HONOLULU)",0,C,,
