TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
50003NTDBR1831W,-94.03200000000001,41.617,False,19,049,050700,19,19049,19049050700,1400000US19049050700,SIOUX CITY BRICK & TILE CO UNITED BRICK & TILE A DIV,1831 W MAIN ST,ADEL,IA,50003,"SIOUX CITY BRICK & TILE CO UNITED BRICK & TILE A DIV.1831 W MAIN ST, ADEL IOWA 50003 (DALLAS)",0,C,,110000412517
5000WCNTRL31S6T,-94.015,41.615,False,19,049,050700,19,19049,19049050700,1400000US19049050700,CENTRAL IOWA READY MIX,301 S 6TH ST,ADEL,IA,50003,"CENTRAL IOWA READY MIX.301 S 6TH ST, ADEL IOWA 50003 (DALLAS)",0,C,,110070232694
50008NWZLN221NC,-93.365,40.708,False,19,185,070300,19,19185,19185070300,1400000US19185070300,DAIRI CONCEPTS LP,211 N CENTRAL AVE,ALLERTON,IA,50008,"DAIRI CONCEPTS LP.211 N CENTRAL AVE, ALLERTON IOWA 50008 (WAYNE)",0,C,,110036170023
50009KNTFD2031S,-93.465,41.653,False,19,153,010703,19,19153,19153010703,1400000US19153010703,KENT NUTRITION GROUP INC,203 1ST AVE N,ALTOONA,IA,50009,"KENT NUTRITION GROUP INC.203 1ST AVE N, ALTOONA IOWA 50009 (POLK)",0,C,,110000412526
50009RTSTC6023R,-93.471,41.648999999999994,False,19,153,010703,19,19153,19153010703,1400000US19153010703,ARTISTIC MANUFACTURING CORP,602 3RD ST SW,ALTOONA,IA,50009,"ARTISTIC MANUFACTURING CORP.602 3RD ST SW, ALTOONA IOWA 50009 (POLK)",0,C,,110010828827
50009WCLDS612NR,-93.454,41.666000000000004,False,19,153,010703,19,19153,19153010703,1400000US19153010703,IOWA COLD STORAGE,612 NORTHCREST DR NE,ALTOONA,IA,50009,"IOWA COLD STORAGE.612 NORTHCREST DR NE, ALTOONA IOWA 50009 (POLK)",0,C,,
50010BRNSN300AI,-93.613,42.001000000000005,False,19,169,001302,19,19169,19169001302,1400000US19169001302,BOURNS INC,300 AIRPORT RD,AMES,IA,50010,"BOURNS INC.300 AIRPORT RD, AMES IOWA 50010 (STORY)",0,C,,
50010CLRNT31RIV,-93.63,41.994,False,19,169,001302,19,19169,19169001302,1400000US19169001302,CLARION TECHNOLOGIES INC,3100 RIVERSIDE DR,AMES,IA,50010,"CLARION TECHNOLOGIES INC.3100 RIVERSIDE DR, AMES IOWA 50010 (STORY)",0,C,,110037072048
50010HCHCM100DA,-93.58,42.023999999999994,False,19,169,000100,19,19169,19169000100,1400000US19169000100,HACH CO,100 DAYTON AVE,AMES,IA,50010,"HACH CO.100 DAYTON AVE, AMES IOWA 50010 (STORY)",0,C,,110000612025
50010SNDST2800E,-93.573,42.034,False,19,169,000100,19,19169,19169000100,1400000US19169000100,DANFOSS POWER SOLUTIONS (US) CO,2800 E 13TH ST,AMES,IA,50010,"DANFOSS POWER SOLUTIONS (US) CO.2800 E 13TH ST, AMES IOWA 50010 (STORY)",0,C,,110000738649
50010HFFMN616DA,-93.581,42.016000000000005,False,19,169,000100,19,19169,19169000100,1400000US19169000100,DSM NUTRITIONAL PRODUCTS LLC,616 DAYTON AVE,AMES,IA,50010,"DSM NUTRITIONAL PRODUCTS LLC.616 DAYTON AVE, AMES IOWA 50010 (STORY)",0,C,,110001753255
