TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
83201JRSMPDONSI,-112.52600000000001,42.907,False,16,077,960100,16,16077,16077960100,1400000US16077960100,J R SIMPLOT CO DON SID ING,1150 W HWY 30,POCATELLO,ID,83204,"J R SIMPLOT CO DON SID ING.1150 W HWY 30, POCATELLO IDAHO 83204 (POWER)",0,C,,110000600421
83201KRLYGARBON,-112.62200000000001,42.888000000000005,False,16,077,960100,16,16005,16077960100,1400000US16077960100,KERLEY AG INC,ARBON RD & I-86,POCATELLO,ID,83201,"KERLEY AG INC.ARBON RD & I-86, POCATELLO IDAHO 83201 (BANNOCK)",0,C,,
83202FMCCR3MIWE,-112.523,42.901,False,16,077,960100,16,16077,16077960100,1400000US16077960100,FMC IDAHO LLC,HWY 30 W OF CITY,POCATELLO,ID,83202,"FMC IDAHO LLC.HWY 30 W OF CITY, POCATELLO IDAHO 83202 (POWER)",0,C,,
83201RCCRB1150W,-112.52600000000001,42.907,False,16,077,960100,16,16077,16077960100,1400000US16077960100,BOC GASES,1150 W HWY 30,POCATELLO,ID,83204,"BOC GASES.1150 W HWY 30, POCATELLO IDAHO 83204 (POWER)",1,C,,
8320WPCTLL1433F,-112.587,42.907,False,16,077,960100,16,16077,16077960100,1400000US16077960100,POCATELLO AIRTANKER BASE,1433 FLIGHT AVE,POCATELLO,ID,83204,"POCATELLO AIRTANKER BASE.1433 FLIGHT AVE, POCATELLO IDAHO 83204 (POWER)",0,F,,110070531357
83201KRFTN221NO,-112.476,42.88399999999999,False,16,005,001601,16,16005,16005001601,1400000US16005001601,KRAFT INC,221 N KRAFT CT,POCATELLO,ID,83201,"KRAFT INC.221 N KRAFT CT, POCATELLO IDAHO 83201 (BANNOCK)",2,C,,
83201MRCNM2300B,-112.415,42.867,False,16,005,000600,16,16005,16005000600,1400000US16005000600,ON SEMICONDUCTOR INC,2300 BUCKSKIN RD,POCATELLO,ID,83201,"ON SEMICONDUCTOR INC.2300 BUCKSKIN RD, POCATELLO IDAHO 83201 (BANNOCK)",0,C,,110055553681
83204GRTWS1666K,-112.488,42.893,False,16,005,981800,16,16005,16005981800,1400000US16005981800,GREAT WESTERN MALTING CO,1666 KRAFT RD,POCATELLO,ID,83204,"GREAT WESTERN MALTING CO.1666 KRAFT RD, POCATELLO IDAHO 83204 (BANNOCK)",0,C,,
83210JRSMPWESTR,-112.829,42.946999999999996,False,16,011,950300,16,16011,16011950300,1400000US16011950300,JR SIMPLOT FOOD GROUP,624 SIMPLOT LOOP,ABERDEEN,ID,83210,"JR SIMPLOT FOOD GROUP.624 SIMPLOT LOOP, ABERDEEN IDAHO 83210 (BINGHAM)",0,C,,110000468306
83211LMBWSLAMBW,-112.913,42.766000000000005,False,16,077,960200,16,16077,16077960200,1400000US16077960200,LAMB WESTON INC,2975 LAMB WESTON RD,AMERICAN FALLS,ID,83211,"LAMB WESTON INC.2975 LAMB WESTON RD, AMERICAN FALLS IDAHO 83211 (POWER)",0,C,,110000468315
83221BSCMR419CO,-112.382,43.201,False,16,011,950600,16,16011,16011950600,1400000US16011950600,BASIC AMERICAN FOODS BLACKFOOT FACILITY,415 W COLLINS RD,BLACKFOOT,ID,83221,"BASIC AMERICAN FOODS BLACKFOOT FACILITY.415 W COLLINS RD, BLACKFOOT IDAHO 83221 (BINGHAM)",0,C,,110000468324
83221FSHRM463WH,-112.38799999999999,43.207,False,16,011,950600,16,16011,16011950600,1400000US16011950600,GRAIN CRAFT INC,463 W HWY 26,BLACKFOOT,ID,83221,"GRAIN CRAFT INC.463 W HWY 26, BLACKFOOT IDAHO 83221 (BINGHAM)",0,C,,110007023005
83221DHSPH75N55,-112.405,43.207,False,16,011,950600,16,16011,16011950600,1400000US16011950600,IDAHO ASPHALT SUPPLY INC BLACKFOOT PLANT,75 N 550 W TREGO RD,BLACKFOOT,ID,83221,"IDAHO ASPHALT SUPPLY INC BLACKFOOT PLANT.75 N 550 W TREGO RD, BLACKFOOT IDAHO 83221 (BINGHAM)",0,C,,110001287526
83221KRFTN295SA,-112.34899999999999,43.188,False,16,011,950500,16,16011,16011950500,1400000US16011950500,GLANBIA FOODS INC,295 S ASH ST,BLACKFOOT,ID,83221,"GLANBIA FOODS INC.295 S ASH ST, BLACKFOOT IDAHO 83221 (BINGHAM)",0,C,,110000468333
83237DLMNT102SO,-111.988,42.108000000000004,False,16,041,970100,16,16041,16041970100,1400000US16041970100,DEL MONTE FOODS,102 S 1ST W,FRANKLIN,ID,83237,"DEL MONTE FOODS.102 S 1ST W, FRANKLIN IDAHO 83237 (FRANKLIN)",0,C,,
83276KRRMC1884H,-111.574,42.687,False,16,029,960200,16,16029,16029960200,1400000US16029960200,TRONOX LLC - SODA SPRINGS,1864 HWY 34 N,SODA SPRINGS,ID,83276,"TRONOX LLC - SODA SPRINGS.1864 HWY 34 N, SODA SPRINGS IDAHO 83276 (CARIBOU)",0,C,,110000754229
83276MNSNTHIGHW,-111.588,42.687,False,16,029,960200,16,16029,16029960200,1400000US16029960200,P4 PRODUCTION LLC,1853 HWY 34,SODA SPRINGS,ID,83276,"P4 PRODUCTION LLC.1853 HWY 34, SODA SPRINGS IDAHO 83276 (CARIBOU)",0,C,,110000743982
83276NWSTN3010C,-111.541,42.739,False,16,029,960200,16,16029,16029960200,1400000US16029960200,ITAFOS CONDA LLC,3010 CONDA RD,SODA SPRINGS,ID,83276,"ITAFOS CONDA LLC.3010 CONDA RD, SODA SPRINGS IDAHO 83276 (CARIBOU)",0,C,,110000468351
83301NVRSL856RU,-114.48299999999999,42.552,False,16,083,001200,16,16083,16083001200,1400000US16083001200,LAMB WESTON INC,856 RUSSETT ST,TWIN FALLS,ID,83301,"LAMB WESTON INC.856 RUSSETT ST, TWIN FALLS IDAHO 83301 (TWIN FALLS)",0,C,,110000468379
