TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
60004HNYWL1500W,-87.999,42.141000000000005,False,17,031,803012,17,17031,17031803012,1400000US17031803012,HONEYWELL INC,1500 W DUNDEE RD,ARLINGTON HEIGHTS,IL,60004,"HONEYWELL INC.1500 W DUNDEE RD, ARLINGTON HEIGHTS ILLINOIS 60004 (COOK)",0,C,,
60004MTRLN1501W,-87.99799999999999,42.13399999999999,False,17,031,803005,17,17031,17031803005,1400000US17031803005,MOTOROLA INC,1501 W SHURE DR,ARLINGTON HEIGHTS,IL,60004,"MOTOROLA INC.1501 W SHURE DR, ARLINGTON HEIGHTS ILLINOIS 60004 (COOK)",0,C,,
60004NRTHR600WU,-87.992,42.133,False,17,031,803005,17,17031,17031803005,1400000US17031803005,NORTHROP CORP DEFENSE SYSTEMS DIV,600 W UNIVERSITY,ARLINGTON HEIGHTS,IL,60004,"NORTHROP CORP DEFENSE SYSTEMS DIV.600 W UNIVERSITY, ARLINGTON HEIGHTS ILLINOIS 60004 (COOK)",1,C,,
60004RKXRY600WU,-87.992,42.133,False,17,031,803005,17,17031,17031803005,1400000US17031803005,VARIAN X-RAY PRODUCTS,600 W UNIVERSITY AVE,ARLINGTON HEIGHTS,IL,60004,"VARIAN X-RAY PRODUCTS.600 W UNIVERSITY AVE, ARLINGTON HEIGHTS ILLINOIS 60004 (COOK)",0,C,,
60005BRKND511WA,-87.99,42.04600000000001,False,17,031,805107,17,17031,17031805107,1400000US17031805107,BUHRKE INDUSTRIES LLC,501-511 W ALGONQUIN RD,ARLINGTON HEIGHTS,IL,60005,"BUHRKE INDUSTRIES LLC.501-511 W ALGONQUIN RD, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",0,C,,110000428671
60005LDNTT616EB,-87.97399999999999,42.038999999999994,False,17,031,805107,17,17031,17031805107,1400000US17031805107,ALDEN & OTT PRINTING INKS CO,616 E BROOK DR,ARLINGTON HEIGHTS,IL,60005,"ALDEN & OTT PRINTING INKS CO.616 E BROOK DR, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",0,C,,
60005MRSHM2636S,-87.97399999999999,42.038000000000004,False,17,031,805107,17,17031,17031805107,1400000US17031805107,AMERSHAM CORP,2636 S CLEARBROOK DR,ARLINGTON HEIGHTS,IL,600054692,"AMERSHAM CORP.2636 S CLEARBROOK DR, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",0,C,,
60005WBRMR711WA,-87.994,42.047,False,17,031,805107,17,17031,17031805107,1400000US17031805107,WEBER MARKING SYSTEMS INC,711 W ALGONQUIN RD,ARLINGTON HEIGHTS,IL,600054520,"WEBER MARKING SYSTEMS INC.711 W ALGONQUIN RD, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",0,C,,
60005MRTHN3231B,-87.96,42.027,False,17,031,805107,17,17031,17031805107,1400000US17031805107,MPLX TERMINALS LLC - MT PROSPECT IL TERMINAL,3231 BUSSE RD,ARLINGTON HEIGHTS,IL,60005,"MPLX TERMINALS LLC - MT PROSPECT IL TERMINAL.3231 BUSSE RD, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",0,C,,110000845845
60007BLRMN2201L,-87.948,42.00899999999999,False,17,031,770500,17,17031,17031770500,1400000US17031770500,SIGMATRON INTERNATIONAL INC - ELK GROVE DIV,2201 LANDMEIER RD,ELK GROVE VILLAGE,IL,60007,"SIGMATRON INTERNATIONAL INC - ELK GROVE DIV.2201 LANDMEIER RD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",0,C,,110000428724
