TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
46012BCRLC705ES,-85.669,40.143,False,18,095,001400,18,18095,18095001400,1400000US18095001400,ABC /NACO CORP,705 E SCHOOL ST,ANDERSON,IN,46012,"ABC /NACO CORP.705 E SCHOOL ST, ANDERSON INDIANA 46012 (MADISON)",0,C,,
46015BSTVR722BR,-85.678,40.122,False,18,095,001400,18,18095,18095001400,1400000US18095001400,BEST-EVER DAIRY PRODUCTS,722 BROADWAY,ANDERSON,IN,46012,"BEST-EVER DAIRY PRODUCTS.722 BROADWAY, ANDERSON INDIANA 46012 (MADISON)",0,C,,110000396116
46015PRMBT230JA,-85.68,40.114000000000004,False,18,095,000300,18,18095,18095000300,1400000US18095000300,PRIME BATTERY MANUFACTURING CO INC,230 JACKSON ST,ANDERSON,IN,460160471,"PRIME BATTERY MANUFACTURING CO INC.230 JACKSON ST, ANDERSON INDIANA 46016 (MADISON)",0,C,,
46016GNRLM2915P,-85.7,40.088,False,18,095,000500,18,18095,18095000500,1400000US18095000500,GUIDE INDIANA LLC,"2915 MARTIN LUTHER KING, JR. BLVD",ANDERSON,IN,46016,"GUIDE INDIANA LLC.2915 MARTIN LUTHER KING, JR. BLVD, ANDERSON INDIANA 46016 (MADISON)",0,C,,110000396125
46016THPQC1900C,-85.666,40.097,False,18,095,001000,18,18095,18095001000,1400000US18095001000,PQ CORP,1900 COLUBUS AVE,ANDERSON,IN,46016,"PQ CORP.1900 COLUBUS AVE, ANDERSON INDIANA 46016 (MADISON)",0,C,,
46018DLCRM2405C,-85.667,40.092,False,18,095,001000,18,18095,18095001000,1400000US18095001000,DELCO REMY AMERICA INC,2405 COLUMBUS AVE,ANDERSON,IN,46018,"DELCO REMY AMERICA INC.2405 COLUMBUS AVE, ANDERSON INDIANA 46018 (MADISON)",0,C,,
46018DLCRM2401C,-85.647,40.080999999999996,False,18,095,002000,18,18095,18095002000,1400000US18095002000,DELPHI AUTOMOTIVE SYSTEMS LLC - ANDERSON,2620 E 38TH ST,ANDERSON,IN,46013,"DELPHI AUTOMOTIVE SYSTEMS LLC - ANDERSON.2620 E 38TH ST, ANDERSON INDIANA 46013 (MADISON)",1,C,,110000613195
46032KFFMN1092T,-86.132,39.963,False,18,057,111008,18,18057,18057111008,1400000US18057111008,KAUFFMAN PRODUCTS INC,1092 3RD AVE SW,CARMEL,IN,46032,"KAUFFMAN PRODUCTS INC.1092 3RD AVE SW, CARMEL INDIANA 46032 (HAMILTON)",0,C,,
46032LLYRN177WC,-86.13,39.961,False,18,057,111008,18,18057,18057111008,1400000US18057111008,ALLOY RING SERVICE,177 W CARMEL AVE,CARMEL,IN,46032,"ALLOY RING SERVICE.177 W CARMEL AVE, CARMEL INDIANA 46032 (HAMILTON)",1,C,,
46032WDSWR510TH,-86.131,39.975,False,18,057,111008,18,18057,18057111008,1400000US18057111008,WOODS INDUSTRIES,511 THIRD AVE SW,CARMEL,IN,46032,"WOODS INDUSTRIES.511 THIRD AVE SW, CARMEL INDIANA 46032 (HAMILTON)",0,C,,110013348957
46032CHMST12236,-86.149,39.966,False,18,057,111008,18,18057,18057111008,1400000US18057111008,CHEMSTATION OF INDIANA,12236 HANCOCK ST,CARMEL,IN,46032,"CHEMSTATION OF INDIANA.12236 HANCOCK ST, CARMEL INDIANA 46032 (HAMILTON)",0,C,,110011831054
46036FTTGC1900S,-85.837,40.274,False,18,095,010300,18,18095,18095010300,1400000US18095010300,FETTIG CANNING CORPORATION,1900 SD ST,ELWOOD,IN,46036,"FETTIG CANNING CORPORATION.1900 SD ST, ELWOOD INDIANA 46036 (MADISON)",0,C,,
46036RFLTX2500S,-85.82799999999999,40.268,False,18,095,010300,18,18095,18095010300,1400000US18095010300,AIRFOIL TEXTRON INC,2500 S J ST,ELWOOD,IN,46036,"AIRFOIL TEXTRON INC.2500 S J ST, ELWOOD INDIANA 46036 (MADISON)",0,C,,
46036SRVCS2200S,-85.83200000000001,40.268,False,18,095,010300,18,18095,18095010300,1400000US18095010300,SERVICES & MATERIALS CO,2200 S J ST,ELWOOD,IN,46036,"SERVICES & MATERIALS CO.2200 S J ST, ELWOOD INDIANA 46036 (MADISON)",0,C,,
46036MRBLH2722S,-85.825,40.265,False,18,095,010300,18,18095,18095010300,1400000US18095010300,MARBLE HOUSE INC,2722 S M ST,ELWOOD,IN,46036,"MARBLE HOUSE INC.2722 S M ST, ELWOOD INDIANA 46036 (MADISON)",0,C,,110012154131
46036STTPL450NO,-85.85,40.283,False,18,095,010200,18,18095,18095010200,1400000US18095010200,STATE PLATING,450 N 9TH ST,ELWOOD,IN,46036,"STATE PLATING.450 N 9TH ST, ELWOOD INDIANA 46036 (MADISON)",0,C,,110000396170
