TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
70001DLTPT3011L,-90.15299999999999,29.974,False,22,051,024600,22,22051,22051024600,1400000US22051024600,SAFETY-KLEEN SYSTEMS - METAIRIE,3000 AIRLINE DR,METAIRIE,LA,70001,"SAFETY-KLEEN SYSTEMS - METAIRIE.3000 AIRLINE DR, METAIRIE LOUISIANA 70001 (JEFFERSON PARISH)",0,C,,110000448588
70001LFRGN332AI,-90.16,29.975,False,22,051,024600,22,22051,22051024600,1400000US22051024600,LAFARGE AIRLINE RMX,3320 AIRLINE DR,METAIRIE,LA,70001,"LAFARGE AIRLINE RMX.3320 AIRLINE DR, METAIRIE LOUISIANA 70001 (JEFFERSON PARISH)",0,C,,110003267946
70121GRNWL4932J,-90.158,29.964,True,22,051,024600,22,22051,22051024600,1400000US22051024600,"GREEN-WALKER GALVANIZING CO., INC.",4932 JEFFERSON HWY.,JEFFERSON,LA,70121,"GREEN-WALKER GALVANIZING CO., INC. 4932 JEFFERSON HWY., JEFFERSON, LA, 70121",1,C,,
70032MSTRS7417N,-90.001,29.947,False,22,087,030400,22,22087,22087030400,1400000US22087030400,TATE & LYLE NORTH AMERICAN SUGARS INC.,7417 N. PETERS ST.,ARABI,LA,700321598,"TATE & LYLE NORTH AMERICAN SUGARS INC..7417 N. PETERS ST., ARABI LOUISIANA 70032 (ST BERNARD PARISH)",0,C,,
70143TNNCL500WE,-89.973,29.936,False,22,087,030400,22,22087,22087030400,1400000US22087030400,CHALMETTE REFINING LLC,500 W ST BERNARD HWY,CHALMETTE,LA,70043,"CHALMETTE REFINING LLC.500 W ST BERNARD HWY, CHALMETTE LOUISIANA 70043 (ST BERNARD PARISH)",0,C,,110045634774
70043CHLMT7CKEP,-89.98100000000001,29.932,False,22,087,030400,22,22087,22087030400,1400000US22087030400,RAIN CII CARBON LLC,700 COKE PLANT RD,CHALMETTE,LA,70043,"RAIN CII CARBON LLC.700 COKE PLANT RD, CHALMETTE LOUISIANA 70043 (ST BERNARD PARISH)",0,C,,110003275866
70037CHVRNHIGHW,-90.01,29.808000000000003,False,22,075,050300,22,22075,22075050300,1400000US22075050300,CHEVRON ORONITE CO LLC,10285 HWY 23 S,BELLE CHASSE,LA,70037,"CHEVRON ORONITE CO LLC.10285 HWY 23 S, BELLE CHASSE LOUISIANA 70037 (PLAQUEMINES PARISH)",0,C,,110000575244
70037PRDCT1402B,-90.001,29.836,False,22,075,050300,22,22075,22075050300,1400000US22075050300,JOTUN PAINTS INC,9203 HWY 23,BELLE CHASSE,LA,70037,"JOTUN PAINTS INC.9203 HWY 23, BELLE CHASSE LOUISIANA 70037 (PLAQUEMINES PARISH)",0,C,,110011855359
70143SNVYNBELLE,-90.022,29.828000000000003,False,22,075,050300,22,22075,22075050300,1400000US22075050300,US NAVY NAVAL AIR STATION JOINT RESERVE BASE NEW ORLEANS,BELLE CHASSE HWY (LA23),BELLE CHASSE,LA,70037,"US NAVY NAVAL AIR STATION JOINT RESERVE BASE NEW ORLEANS.BELLE CHASSE HWY (LA23), BELLE CHASSE LOUISIANA 70037 (PLAQUEMINES PARISH)",0,F,,110000851748
70037LLNCRHIGHW,-89.98100000000001,29.68,False,22,075,050400,22,22075,22075050400,1400000US22075050400,PHILLIPS 66  - ALLIANCE REFINERY,15551 HIGHWAY 23,BELLE CHASSE,LA,70037,"PHILLIPS 66  - ALLIANCE REFINERY.15551 HIGHWAY 23, BELLE CHASSE LOUISIANA 70037 (PLAQUEMINES PARISH)",0,C,,110064365690
