TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
01001DFMCR99ABR,-72.656,42.053000000000004,False,25,013,813205,25,25013,25013813205,1400000US25013813205,DFF CORP,99 ABRAMS DR,AGAWAM,MA,10010285,"DFF CORP.99 ABRAMS DR, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,
01001HMPDN80IND,-72.64699999999999,42.045,False,25,013,813205,25,25013,25013813205,1400000US25013813205,HAMPDEN FENCE SUPPLY INC,80 INDUSTRIAL LN,AGAWAM,MA,1001,"HAMPDEN FENCE SUPPLY INC.80 INDUSTRIAL LN, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,
01001LYMPC153BO,-72.655,42.056999999999995,False,25,013,813205,25,25013,25013813205,1400000US25013813205,OMG INC,153 BOWLES RD,AGAWAM,MA,1001,"OMG INC.153 BOWLES RD, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,
01001TLSFN90IND,-72.645,42.04600000000001,False,25,013,813205,25,25013,25013813205,1400000US25013813205,ATLAS FOUNDERS INC,90 INDUSTRIAL LN,AGAWAM,MA,10010303,"ATLAS FOUNDERS INC.90 INDUSTRIAL LN, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,
01001GVRNR720SI,-72.653,42.052,False,25,013,813205,25,25013,25013813205,1400000US25013813205,GOVERNORS AMERICA CORP.,720 SILVER ST,AGAWAM,MA,1001,"GOVERNORS AMERICA CORP..720 SILVER ST, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,110012708258
01001BRKSH36MYL,-72.648,42.048,False,25,013,813205,25,25013,25013813205,1400000US25013813205,BERKSHIRE POWER LLC,36 MOYLAN LN,AGAWAM,MA,1001,"BERKSHIRE POWER LLC.36 MOYLAN LN, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,110002059361
01001HPHDN233MA,-72.619,42.085,False,25,013,813209,25,25013,25013813209,1400000US25013813209,HP HOOD LLC - AGAWAM PLANT,233 MAIN ST,AGAWAM,MA,1001,"HP HOOD LLC - AGAWAM PLANT.233 MAIN ST, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,110000307891
01001CSPRN188MS,-72.59100000000001,42.091,False,25,013,813209,25,25013,25013813209,1400000US25013813209,ECO/SPRINGFIELD LLC,188 M ST,AGAWAM,MA,1001,"ECO/SPRINGFIELD LLC.188 M ST, AGAWAM MASSACHUSETTS 01001 (HAMPDEN)",0,C,,
01007NRTHS201OL,-72.405,42.261,False,25,015,820203,25,25015,25015820203,1400000US25015820203,NORTHEAST TREATERS INC,201 OLD SPRINGFIELD RD,BELCHERTOWN,MA,1007,"NORTHEAST TREATERS INC.201 OLD SPRINGFIELD RD, BELCHERTOWN MASSACHUSETTS 01007 (HAMPSHIRE)",0,C,,110000307917
01007NVRSL149BA,-72.42399999999999,42.301,False,25,015,820203,25,25015,25015820203,1400000US25015820203,UFP BELCHERTOWN LLC,155 BAY RD,BELCHERTOWN,MA,1007,"UFP BELCHERTOWN LLC.155 BAY RD, BELCHERTOWN MASSACHUSETTS 01007 (HAMPSHIRE)",0,C,,110003450435
01011GNRLBMIDDL,-72.984,42.287,False,25,013,813000,25,25013,25013813000,1400000US25013813000,ABRASIVE INDUSTRIES INC GENERAL ABRASIVE DIV,MIDDLEFIELD ST,CHESTER,MA,1011,"ABRASIVE INDUSTRIES INC GENERAL ABRASIVE DIV.MIDDLEFIELD ST, CHESTER MASSACHUSETTS 01011 (HAMPDEN)",0,C,,
01071WSTFL16STA,-72.848,42.191,False,25,013,813000,25,25013,25013813000,1400000US25013813000,WESTFIELD RIVER PAPER CO,16 STATION RD,RUSSELL,MA,1071,"WESTFIELD RIVER PAPER CO.16 STATION RD, RUSSELL MASSACHUSETTS 01071 (HAMPDEN)",0,C,,
01097STRTHVALLE,-72.825,42.165,False,25,013,813000,25,25013,25013813000,1400000US25013813000,STRATHMORE PAPER CO WORONOCO #2 MILL,VALLEY VIEW AVE,WORONOCO,MA,1097,"STRATHMORE PAPER CO WORONOCO #2 MILL.VALLEY VIEW AVE, WORONOCO MASSACHUSETTS 01097 (HAMPDEN)",0,C,,
01013HRCLS1111G,-72.609,42.181999999999995,False,25,013,811101,25,25013,25013811101,1400000US25013811101,SOLENIS LLC,1111 GRATTAN ST,CHICOPEE,MA,1013,"SOLENIS LLC.1111 GRATTAN ST, CHICOPEE MASSACHUSETTS 01013 (HAMPDEN)",0,C,,110000307935
01013THMSP24MON,-72.6,42.188,False,25,013,811101,25,25013,25013811101,1400000US25013811101,INTERNATIONAL METAL PRODUCTS CORP,1165 MONTGOMERY ST,CHICOPEE,MA,1013,"INTERNATIONAL METAL PRODUCTS CORP.1165 MONTGOMERY ST, CHICOPEE MASSACHUSETTS 01013 (HAMPDEN)",0,C,,110000307962
01013JHNFNMCKIN,-72.613,42.17100000000001,False,25,013,811102,25,25013,25013811102,1400000US25013811102,JAHN FOUNDRY CORP PLANT #2,MCKINSTRY AVE,CHICOPEE,MA,1013,"JAHN FOUNDRY CORP PLANT #2.MCKINSTRY AVE, CHICOPEE MASSACHUSETTS 01013 (HAMPDEN)",0,C,,
01013SPLDN425ME,-72.615,42.176,False,25,013,811102,25,25013,25013811102,1400000US25013811102,CALLAWAY GOLF BALL OPERATIONS INC,425 MEADOW ST,CHICOPEE,MA,1013,"CALLAWAY GOLF BALL OPERATIONS INC.425 MEADOW ST, CHICOPEE MASSACHUSETTS 01013 (HAMPDEN)",0,C,,110000307953
