TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
20604MBSSYRT301,-76.84899999999999,38.617,False,24,017,850802,24,24017,24017850802,1400000US24017850802,EMBASSY DAIRY INC,RT 301 & MATTAWOMAN DR,WALDORF,MD,20601,"EMBASSY DAIRY INC.RT 301 & MATTAWOMAN DR, WALDORF MARYLAND 20601 (CHARLES)",0,C,,
2060WWLDRF12475,-76.888,38.631,False,24,017,850802,24,24017,24017850802,1400000US24017850802,WALDORF PLANT,12475 ACTON LN,WALDORF,MD,20601,"WALDORF PLANT.12475 ACTON LN, WALDORF MARYLAND 20601 (CHARLES)",0,C,,110055497715
20695WLDRF6309T,-76.946,38.591,False,24,017,851500,24,24017,24017851500,1400000US24017851500,WALDORF MARBLE INC,4317 CHARLES CROSSING DR,WHITE PLAINS,MD,20695,"WALDORF MARBLE INC.4317 CHARLES CROSSING DR, WHITE PLAINS MARYLAND 20695 (CHARLES)",0,C,,110019859358
20705CHRKS7100M,-76.884,39.062,False,24,033,800208,24,24033,24033800208,1400000US24033800208,CHEROKEE SANFORD GROUP LLC LAUREL FACILITY,7100 MUIRKIRK RD,BELTSVILLE,MD,20705,"CHEROKEE SANFORD GROUP LLC LAUREL FACILITY.7100 MUIRKIRK RD, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,C,,
20705DRNNC10406,-76.917,39.025,False,24,033,807404,24,24033,24033807404,1400000US24033807404,SHERWIN-WILLIAMS CO,10406 TUCKER ST,BELTSVILLE,MD,20705,"SHERWIN-WILLIAMS CO.10406 TUCKER ST, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,C,,110000339170
20705BLTSV511DE,-76.902,39.042,False,24,033,807404,24,24033,24033807404,1400000US24033807404,BELTSVILLE READY MIX CONCRETE,5101 ODELL RD,BELTSVILLE,MD,20705,"BELTSVILLE READY MIX CONCRETE.5101 ODELL RD, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,C,,110039071269
20705GGPRS11642,-76.89399999999999,39.045,False,24,033,807408,24,24033,24033807408,1400000US24033807408,EATON AEROSPACE,11642 OLD BALTIMORE PIKE,BELTSVILLE,MD,20705,"EATON AEROSPACE.11642 OLD BALTIMORE PIKE, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,C,,110000856681
20705MNRLP7011M,-76.883,39.061,False,24,033,807408,24,24033,24033807408,1400000US24033807408,VENATOR AMERICAS LLC,7011 MUIRKIRK RD,BELTSVILLE,MD,20705,"VENATOR AMERICAS LLC.7011 MUIRKIRK RD, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,C,,110000339189
20705CPHLN9000V,-76.892,39.062,False,24,033,807408,24,24033,24033807408,1400000US24033807408,CEPHALON INC.,"9000 VIRGINIA MANOR RD., STE. 290",BELTSVILLE,MD,20705,"CEPHALON INC..9000 VIRGINIA MANOR RD., STE. 290, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,C,,
20705SDRSB10300,-76.885,39.029,False,24,033,807408,24,24033,24033807408,1400000US24033807408,USDA ARS BELTSVILLE AGRICULTURAL RESEARCH CENTER,10300 BALTIMORE AVE BUILDING 003 ROOM 117,BELTSVILLE,MD,20705,"USDA ARS BELTSVILLE AGRICULTURAL RESEARCH CENTER.10300 BALTIMORE AVE BUILDING 003 ROOM 117, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,F,,110011748582
2070WNTNLL6AMME,-76.902,39.056,False,24,033,807408,24,24033,24033807408,1400000US24033807408,BUREAU OF ALCOHOL TOBACCO FIREARMS & EXPLOSIVES,6000 AMMENDALE RD,BELTSVILLE,MD,20705,"BUREAU OF ALCOHOL TOBACCO FIREARMS & EXPLOSIVES.6000 AMMENDALE RD, BELTSVILLE MARYLAND 20705 (PRINCE GEORGE'S)",0,F,,110014351030
20707MRYLNPOBOX,-76.87,39.141999999999996,False,24,027,606806,24,24027,24027606806,1400000US24027606806,MARYLAND & VIRGINIA LAUREL LLC,8321 LEISHEAR RD,LAUREL,MD,20723,"MARYLAND & VIRGINIA LAUREL LLC.8321 LEISHEAR RD, LAUREL MARYLAND 20723 (HOWARD)",0,C,,110000761765
20707STCST9090W,-76.829,39.114000000000004,False,24,027,606907,24,24027,24027606907,1400000US24027606907,DREYER'S GRAND ICE CREAM INC,9090 WHISKEY BOTTOM RD,LAUREL,MD,20723,"DREYER'S GRAND ICE CREAM INC.9090 WHISKEY BOTTOM RD, LAUREL MARYLAND 20723 (HOWARD)",0,C,,110000339205
20723PCNCB9893B,-76.832,39.113,False,24,027,606907,24,24027,24027606907,1400000US24027606907,PACE INC BREWERS CT FACILITY,9893 BREWERS CT,LAUREL,MD,20723,"PACE INC BREWERS CT FACILITY.9893 BREWERS CT, LAUREL MARYLAND 20723 (HOWARD)",0,C,,
20736TPZMR3BINN,-76.61,38.686,False,24,009,860200,24,24009,24009860200,1400000US24009860200,TOPAZ MARINE CORP,3 BINNACLE LN,OWINGS,MD,20736,"TOPAZ MARINE CORP.3 BINNACLE LN, OWINGS MARYLAND 20736 (CALVERT)",0,C,,
20740MCDVS5115C,-76.929,38.978,False,24,033,807102,24,24033,24033807102,1400000US24033807102,LITTON ADVANCED SYS.,5115 CALVERT RD.,COLLEGE PARK,MD,20740,"LITTON ADVANCED SYS..5115 CALVERT RD., COLLEGE PARK MARYLAND 20740 (PRINCE GEORGE'S)",0,C,,
20740STNND51STA,-76.919,39.004,False,24,033,807000,24,24033,24033807000,1400000US24033807000,STONE INDUSTRIAL,9207 51ST AVE,COLLEGE PARK,MD,20740,"STONE INDUSTRIAL.9207 51ST AVE, COLLEGE PARK MARYLAND 20740 (PRINCE GEORGE'S)",1,C,,110000492510
20747MLLPR7600P,-76.875,38.836,False,24,033,802104,24,24033,24033802104,1400000US24033802104,IONPURE TECHNOLOGIES CORP.,7600 PENN BELT DR.,FORESTVILLE,MD,20747,"IONPURE TECHNOLOGIES CORP..7600 PENN BELT DR., FORESTVILLE MARYLAND 20747 (PRINCE GEORGE'S)",0,C,,
20763BXTRH9299W,-76.816,39.134,False,24,027,606905,24,24027,24027606905,1400000US24027606905,BAXTER HEALTHCARE CORP,9299 WASHINGTON BLVD,SAVAGE,MD,20763,"BAXTER HEALTHCARE CORP.9299 WASHINGTON BLVD, SAVAGE MARYLAND 20763 (HOWARD)",0,C,,
20701GRPHC9025J,-76.804,39.126,False,24,027,606905,24,24027,24027606905,1400000US24027606905,GRAPHIC FINE COLOR INC,9025 JUNCTION DR,ANNAPOLIS JUNCTION,MD,20701,"GRAPHIC FINE COLOR INC.9025 JUNCTION DR, ANNAPOLIS JUNCTION MARYLAND 20701 (HOWARD)",0,C,,
20763BRDNS8600L,-76.81,39.135999999999996,False,24,027,606905,24,24027,24027606905,1400000US24027606905,BRADEN SUTPHIN INK CO,8600 LARKIN RD,SAVAGE,MD,20763,"BRADEN SUTPHIN INK CO.8600 LARKIN RD, SAVAGE MARYLAND 20763 (HOWARD)",0,C,,
20701PCNCJ9030J,-76.804,39.126,False,24,027,606905,24,24027,24027606905,1400000US24027606905,"PACE, INC.",9030 JUNCTION DR,ANNAPOLIS JUNCTION,MD,20701,"PACE, INC..9030 JUNCTION DR, ANNAPOLIS JUNCTION MARYLAND 20701 (HOWARD)",0,C,,110019856100
20781PPSCLPEPSI,-76.926,38.926,False,24,033,804200,24,24033,24033804200,1400000US24033804200,BOTTLING GROUP L.L.C.,2611 PEPSI PL.,CHEVERLY,MD,20781,"BOTTLING GROUP L.L.C..2611 PEPSI PL., CHEVERLY MARYLAND 20781 (PRINCE GEORGE'S)",0,C,,
20785GNTFD6300S,-76.917,38.917,True,24,033,804200,24,24033,24033804200,1400000US24033804200,GIANT FOOD DAIRY,6300 SHERIFF RD.,LANDOVER,MD,20785,"GIANT FOOD DAIRY 6300 SHERIFF RD., LANDOVER, MD, 20785",0,C,,
20781RPRDC29005,-76.934,38.928000000000004,False,24,033,804300,24,24033,24033804300,1400000US24033804300,AIR PRODUCTS & CHEMICALS INC.,2900 52ND AVE.,HYATTSVILLE,MD,20781,"AIR PRODUCTS & CHEMICALS INC..2900 52ND AVE., HYATTSVILLE MARYLAND 20781 (PRINCE GEORGE'S)",0,C,,
20781WHTCP25751,-76.928,38.921,False,24,033,804300,24,24033,24033804300,1400000US24033804300,HD SUPPLY CONSTRUCTION SUPPLY LTD (MD300C-6246),2507 51ST AVE,HYATTSVILLE,MD,20781,"HD SUPPLY CONSTRUCTION SUPPLY LTD (MD300C-6246).2507 51ST AVE, HYATTSVILLE MARYLAND 20781 (PRINCE GEORGE'S)",0,C,,110025331120
2078WBLDNS28252,-76.931,38.927,False,24,033,804300,24,24033,24033804300,1400000US24033804300,BLADENSBURG READY MIX CONCRETE FACILITY,2820 52ND AVE,HYATTSVILLE,MD,20781,"BLADENSBURG READY MIX CONCRETE FACILITY.2820 52ND AVE, HYATTSVILLE MARYLAND 20781 (PRINCE GEORGE'S)",0,C,,110043670284
20785SFWYS6200C,-76.9,38.918,False,24,033,803300,24,24033,24033803300,1400000US24033803300,SAFEWAY INC. MILK PLANT,6200 COLUMBIA PARK RD.,LANDOVER,MD,20785,"SAFEWAY INC. MILK PLANT.6200 COLUMBIA PARK RD., LANDOVER MARYLAND 20785 (PRINCE GEORGE'S)",0,C,,
20785MRVMD5SCLU,-76.896,38.915,False,24,033,803300,24,24033,24033803300,1400000US24033803300,MARVA MAID DAIRY,5 S CLUB DR,HYATTSVILLE,MD,20785,"MARVA MAID DAIRY.5 S CLUB DR, HYATTSVILLE MARYLAND 20785 (PRINCE GEORGE'S)",0,C,,110037071726
20794MGNDS8025D,-76.78699999999999,39.15,False,24,027,606901,24,24027,24027606901,1400000US24027606901,MG INDUSTRIES,8025 DORSEY RUN RD,JESSUP,MD,20794,"MG INDUSTRIES.8025 DORSEY RUN RD, JESSUP MARYLAND 20794 (HOWARD)",0,C,,
20794LCRNC8280P,-76.797,39.147,False,24,027,606901,24,24027,24027606901,1400000US24027606901,ALCORE INC,8280 PATUXENT RANGE RD,JESSUP,MD,20794,"ALCORE INC.8280 PATUXENT RANGE RD, JESSUP MARYLAND 20794 (HOWARD)",1,C,,
20794WNSCR8235P,-76.788,39.145,False,24,027,606901,24,24027,24027606901,1400000US24027606901,OWENS CORNING ROOFING & ASPHALT LLC,8235 PATUXENT RD,JESSUP,MD,20794,"OWENS CORNING ROOFING & ASPHALT LLC.8235 PATUXENT RD, JESSUP MARYLAND 20794 (HOWARD)",0,C,,110001275860
