TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
03901PRMTNSULLI,-70.865,43.268,False,23,031,032000,23,23031,23031032000,1400000US23031032000,PRIME TANNING CO INC,20 SULLIVAN ST,BERWICK,ME,3901,"PRIME TANNING CO INC.20 SULLIVAN ST, BERWICK MAINE 03901 (YORK)",1,C,,110000603008
03906PRTTWROUTE,-70.729,43.308,False,23,031,033000,23,23031,23031033000,1400000US23031033000,PRATT & WHITNEY,113 WELLS ST M/S 801-38,NORTH BERWICK,ME,3906,"PRATT & WHITNEY.113 WELLS ST M/S 801-38, NORTH BERWICK MAINE 03906 (YORK)",0,C,,110000314204
03906HSSYSDYERS,-70.73,43.303000000000004,False,23,031,033000,23,23031,23031033000,1400000US23031033000,HUSSEY SEATING CO,38 DYER ST EXTENSION,NORTH BERWICK,ME,3906,"HUSSEY SEATING CO.38 DYER ST EXTENSION, NORTH BERWICK MAINE 03906 (YORK)",0,C,,110000797095
04005FBRGLAIRPO,-70.528,43.49100000000001,False,23,031,025100,23,23031,23031025100,1400000US23031025100,FIBERGLASS PLUS RECREATIONAL INDUSTRIES INC,RT 1 & MORIN,BIDDEFORD,ME,4005,"FIBERGLASS PLUS RECREATIONAL INDUSTRIES INC.RT 1 & MORIN, BIDDEFORD MAINE 04005 (YORK)",0,C,,
04005VXTNT69LAN,-70.47800000000001,43.467,False,23,031,025100,23,23031,23031025100,1400000US23031025100,AVX TANTALUM CORP,401 HILL ST,BIDDEFORD,ME,4005,"AVX TANTALUM CORP.401 HILL ST, BIDDEFORD MAINE 04005 (YORK)",0,C,,110012516269
04005FBRMT5MORI,-70.491,43.47,False,23,031,025100,23,23031,23031025100,1400000US23031025100,FIBER MATERIALS INC,5 MORIN ST,BIDDEFORD,ME,4005,"FIBER MATERIALS INC.5 MORIN ST, BIDDEFORD MAINE 04005 (YORK)",0,C,,110007273351
04005MTSPP516AL,-70.49600000000001,43.478,False,23,031,025100,23,23031,23031025100,1400000US23031025100,VALMET INC,516 ALFRED ST,BIDDEFORD,ME,4005,"VALMET INC.516 ALFRED ST, BIDDEFORD MAINE 04005 (YORK)",0,C,,110013763793
04005NTRMT389HI,-70.477,43.468,False,23,031,025100,23,23031,23031025100,1400000US23031025100,INTERMAT,389 HILL ST,BIDDEFORD,ME,4005,"INTERMAT.389 HILL ST, BIDDEFORD MAINE 04005 (YORK)",0,C,,110003557561
04005SLRSL589EL,-70.488,43.466,False,23,031,025100,23,23031,23031025100,1400000US23031025100,SOLERAS LIMITED,589 ELM ST,BIDDEFORD,ME,4005,"SOLERAS LIMITED.589 ELM ST, BIDDEFORD MAINE 04005 (YORK)",0,C,,110037143089
04005SRMTC24LAN,-70.483,43.465,False,23,031,025100,23,23031,23031025100,1400000US23031025100,PRAXAIR SURFACE TECHNOLOGIES,24 LANDRY ST,BIDDEFORD,ME,4005,"PRAXAIR SURFACE TECHNOLOGIES.24 LANDRY ST, BIDDEFORD MAINE 04005 (YORK)",0,C,,110000865699
04005GWNCC8LINC,-70.456,43.495,False,23,031,025202,23,23031,23031025202,1400000US23031025202,GWN CO,8 LINCOLN ST,BIDDEFORD,ME,4005,"GWN CO.8 LINCOLN ST, BIDDEFORD MAINE 04005 (YORK)",1,C,,
04005WSTPNYORKS,-70.455,43.492,False,23,031,025202,23,23031,23031025202,1400000US23031025202,WESTPOINT STEVENS INC BIDDEFORD PLANT,YORK ST,BIDDEFORD,ME,4005,"WESTPOINT STEVENS INC BIDDEFORD PLANT.YORK ST, BIDDEFORD MAINE 04005 (YORK)",0,C,,
04011BTHRNROUTE,-69.885,43.916000000000004,False,23,005,011100,23,23005,23005011100,1400000US23005011100,BATH IRON WORKS,RTE ONE OLD BATH RD,BRUNSWICK,ME,4011,"BATH IRON WORKS.RTE ONE OLD BATH RD, BRUNSWICK MAINE 04011 (CUMBERLAND)",0,C,,110039678346
04011BTHRNMALLE,-69.884,43.913999999999994,False,23,005,011100,23,23005,23005011100,1400000US23005011100,BATH IRON WORKS EBMF FACILITY,MALLET LAND DR,BRUNSWICK,ME,4011,"BATH IRON WORKS EBMF FACILITY.MALLET LAND DR, BRUNSWICK MAINE 04011 (CUMBERLAND)",0,C,,110000581362
