TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
48007GRWGR3155W,-83.182,42.39,False,26,163,537200,26,26163,26163537200,1400000US26163537200,PPG GROW DETROIT,14000 STANSBURY,DETROIT,MI,48227,"PPG GROW DETROIT.14000 STANSBURY, DETROIT MICHIGAN 48227 (WAYNE)",0,C,,
48227NTCHN14200,-83.169,42.391999999999996,False,26,163,537200,26,26163,26163537200,1400000US26163537200,ANO-TECH INC,14200 MEYERS RD,DETROIT,MI,48227,"ANO-TECH INC.14200 MEYERS RD, DETROIT MICHIGAN 48227 (WAYNE)",0,C,,
48227NTRNT14300,-83.169,42.393,False,26,163,537200,26,26163,26163537200,1400000US26163537200,INTERNATIONAL HARDCOAT INC,14300 MEYERS RD,DETROIT,MI,48227,"INTERNATIONAL HARDCOAT INC.14300 MEYERS RD, DETROIT MICHIGAN 48227 (WAYNE)",0,C,,
48008PRDCT2010C,-83.195,42.54,False,26,125,152900,26,26125,26125152900,1400000US26125152900,PRODUCT-SOL INC,2010 COLE AVE,BIRMINGHAM,MI,48009,"PRODUCT-SOL INC.2010 COLE AVE, BIRMINGHAM MICHIGAN 48009 (OAKLAND)",0,C,,
48015DVRSF26830,-83.03399999999999,42.49100000000001,False,26,099,268100,26,26099,26099268100,1400000US26099268100,DIVERSIFIED INDUSTRIES,26830 LIBERAL,CENTER LINE,MI,48015,"DIVERSIFIED INDUSTRIES.26830 LIBERAL, CENTER LINE MICHIGAN 48015 (MACOMB)",0,C,,
48015MDWST23860,-83.036,42.47,False,26,099,268100,26,26099,26099268100,1400000US26099268100,CHARTER STEEL INC,23860 SHERWOOD AVE,CENTER LINE,MI,48015,"CHARTER STEEL INC.23860 SHERWOOD AVE, CENTER LINE MICHIGAN 48015 (MACOMB)",0,C,,110009454802
48015CHRYS26311,-83.03200000000001,42.483999999999995,False,26,099,268100,26,26099,26099268100,1400000US26099268100,CHRYSLER CORP,"26311 LAWRENCE AVE, 3101/3110 PARTS SUPPLY",CENTER LINE,MI,48015,"CHRYSLER CORP.26311 LAWRENCE AVE, 3101/3110 PARTS SUPPLY, CENTER LINE MICHIGAN 48015 (MACOMB)",0,C,,
48020GNRLM5260W,-83.395,42.68899999999999,False,26,125,144100,26,26125,26125144100,1400000US26125144100,GENERAL MOTORS CORP SERVICE PARTS OPERATIONS,5260 WILLIAMS LAKE RD,DRAYTON PLAINS,MI,48020,"GENERAL MOTORS CORP SERVICE PARTS OPERATIONS.5260 WILLIAMS LAKE RD, DRAYTON PLAINS MICHIGAN 48020 (OAKLAND)",0,C,,
48329SPSTC5331D,-83.39399999999999,42.696000000000005,False,26,125,144100,26,26125,26125144100,1400000US26125144100,SPS TECHNOLOGIES WATERFORD CO.,5331 DIXIE HWY,WATERFORD,MI,48329,"SPS TECHNOLOGIES WATERFORD CO..5331 DIXIE HWY, WATERFORD MICHIGAN 48329 (OAKLAND)",0,C,,110020518705
48021PRDCT23120,-82.956,42.468,False,26,099,258400,26,26099,26099258400,1400000US26099258400,PRODUCTION PLATING INC,23120 GRATIOT AVE,EASTPOINTE,MI,48021,"PRODUCTION PLATING INC.23120 GRATIOT AVE, EASTPOINTE MICHIGAN 48021 (MACOMB)",0,C,,
48024DYNXN23426,-83.419,42.463,False,26,125,168400,26,26125,26125168400,1400000US26125168400,DYNEX INDUSTRIES INC,23426 INDL PARK CT,FARMINGTON HILLS,MI,48335,"DYNEX INDUSTRIES INC.23426 INDL PARK CT, FARMINGTON HILLS MICHIGAN 48335 (OAKLAND)",0,C,,
48024TRWTD24175,-83.427,42.468,False,26,125,168400,26,26125,26125168400,1400000US26125168400,TRW INC TED,24175 RESEARCH DR,FARMINGTON HILLS,MI,483349971,"TRW INC TED.24175 RESEARCH DR, FARMINGTON HILLS MICHIGAN 48334 (OAKLAND)",0,C,,
48335GFFNN2393C,-83.425,42.46,False,26,125,168400,26,26125,26125168400,1400000US26125168400,"GIFFIN, INC.",23093 COMMERCE DR,FARMINGTON,MI,48335,"GIFFIN, INC..23093 COMMERCE DR, FARMINGTON MICHIGAN 48335 (OAKLAND)",0,C,,110003597572
48332CCNTR23435,-83.419,42.463,False,26,125,168400,26,26125,26125168400,1400000US26125168400,ACE CONTROLS INC,23435 INDUSTRIAL PARK DR,FARMINGTON,MI,48335,"ACE CONTROLS INC.23435 INDUSTRIAL PARK DR, FARMINGTON MICHIGAN 48335 (OAKLAND)",0,C,,110003584176
48026CNTNN33525,-82.932,42.544,False,26,099,254000,26,26099,26099254000,1400000US26099254000,CONTINENTAL PLASTIC CO,33525 GROESBECK HWY,FRASER,MI,48026,"CONTINENTAL PLASTIC CO.33525 GROESBECK HWY, FRASER MICHIGAN 48026 (MACOMB)",0,C,,
48026SPCLT34501,-82.94200000000001,42.551,False,26,099,254000,26,26099,26099254000,1400000US26099254000,SPECIALTY STEEL TREATING INC,34501 COMMERCE RD,FRASER,MI,48026,"SPECIALTY STEEL TREATING INC.34501 COMMERCE RD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,110000404553
48026MPPMP34800,-82.93799999999999,42.553000000000004,False,26,099,254000,26,26099,26099254000,1400000US26099254000,MP PUMPS INC,34800 BENNETT DR,FRASER,MI,480261686,"MP PUMPS INC.34800 BENNETT DR, FRASER MICHIGAN 48026 (MACOMB)",0,C,,
48026VNTRN18600,-82.932,42.55,False,26,099,254000,26,26099,26099254000,1400000US26099254000,GLOBAL AUTOMOTIVE PLANT 11,18600 MALYN RD,FRASER,MI,48026,"GLOBAL AUTOMOTIVE PLANT 11.18600 MALYN RD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,110002451506
48026VNTRN17400,-82.94200000000001,42.55,False,26,099,254000,26,26099,26099254000,1400000US26099254000,VENTURE IND INC,17400 MALYN BLVD,FRASER,MI,48026,"VENTURE IND INC.17400 MALYN BLVD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,
48035STMPR33180,-82.93,42.541000000000004,False,26,099,254000,26,26099,26099254000,1400000US26099254000,AUSTEMPER INC,33180 KELLY RD,CLINTON TOWNSHIP,MI,48035,"AUSTEMPER INC.33180 KELLY RD, CLINTON TOWNSHIP MICHIGAN 48035 (MACOMB)",0,C,,110000404571
48026LGHTN34675,-82.943,42.552,False,26,099,254000,26,26099,26099254000,1400000US26099254000,GLOBAL AUTOMOTIVE PLANT 6,34675 COMMERCE RD,FRASER,MI,48026,"GLOBAL AUTOMOTIVE PLANT 6.34675 COMMERCE RD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,110015781787
48026PMGNT34559,-82.943,42.551,False,26,099,254000,26,26099,26099254000,1400000US26099254000,GLOBAL AUTOMOTIVE (PLANT 4),34559 COMMERCE RD,FRASER,MI,48026,"GLOBAL AUTOMOTIVE (PLANT 4).34559 COMMERCE RD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,110013763677
48026JCBSN34401,-82.943,42.55,False,26,099,254000,26,26099,26099254000,1400000US26099254000,GLOBAL AUTOMOTIVE SYSTEMS (PLANT 2),34401 COMMERCE RD,FRASER,MI,48026,"GLOBAL AUTOMOTIVE SYSTEMS (PLANT 2).34401 COMMERCE RD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,110003579422
48026CHRST1832M,-82.934,42.55,False,26,099,254000,26,26099,26099254000,1400000US26099254000,CHRISTY INDUSTRIES INC,18320 MALYN BLVD,FRASER,MI,48026,"CHRISTY INDUSTRIES INC.18320 MALYN BLVD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,
48026MLLYM18450,-82.932,42.553999999999995,False,26,099,241400,26,26099,26099241400,1400000US26099241400,FRASER MANUFACTURING FACILITY,18450 15 MILE RD,FRASER,MI,48026,"FRASER MANUFACTURING FACILITY.18450 15 MILE RD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,110001224942
48026PMGNT17000,-82.944,42.553999999999995,False,26,099,241400,26,26099,26099241400,1400000US26099241400,GLOBAL AUTOMOTIVE SYSTEMS PLANT 3,17000 15 MILE RD,FRASER,MI,48026,"GLOBAL AUTOMOTIVE SYSTEMS PLANT 3.17000 15 MILE RD, FRASER MICHIGAN 48026 (MACOMB)",0,C,,110013763668
