TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
55003NDRSNFOOTO,-92.77600000000001,45.021,False,27,163,070704,27,27163,27163070704,1400000US27163070704,ANDERSEN CORP,100 4TH AVE N,BAYPORT,MN,55003,"ANDERSEN CORP.100 4TH AVE N, BAYPORT MINNESOTA 55003 (WASHINGTON)",0,C,,110000423603
55009BRGQS301WA,-92.904,44.519,False,27,049,080600,27,27049,27049080600,1400000US27049080600,HENKEL US OPERATIONS CORP,301 WASHINGTON ST W,CANNON FALLS,MN,55009,"HENKEL US OPERATIONS CORP.301 WASHINGTON ST W, CANNON FALLS MINNESOTA 55009 (GOODHUE)",0,C,,110000423630
55009CNNNQ324WW,-92.904,44.519,False,27,049,080600,27,27049,27049080600,1400000US27049080600,CANNON EQUIPMENT MIDWEST,324 W WASHINGTON ST,CANNON FALLS,MN,55009,"CANNON EQUIPMENT MIDWEST.324 W WASHINGTON ST, CANNON FALLS MINNESOTA 55009 (GOODHUE)",0,C,,110000423649
55009GMNNC103ME,-92.906,44.521,False,27,049,080600,27,27049,27049080600,1400000US27049080600,GEMINI - CANNON FALLS,103 MENSING WAY,CANNON FALLS,MN,55009,"GEMINI - CANNON FALLS.103 MENSING WAY, CANNON FALLS MINNESOTA 55009 (GOODHUE)",0,C,,110002122195
55009MSBRY105WA,-92.899,44.519,False,27,049,080600,27,27049,27049080600,1400000US27049080600,AMESBURY GROUP INC,105 WASHINGTON ST,CANNON FALLS,MN,550090456,"AMESBURY GROUP INC.105 WASHINGTON ST, CANNON FALLS MINNESOTA 55009 (GOODHUE)",0,C,,110003781042
55016MCHMLHIGHW,-92.90799999999999,44.788999999999994,False,27,163,071400,27,27163,27163071400,1400000US27163071400,3M COTTAGE GROVE CENTER,10746 INNOVATION RD,COTTAGE GROVE,MN,55016,"3M COTTAGE GROVE CENTER.10746 INNOVATION RD, COTTAGE GROVE MINNESOTA 55016 (WASHINGTON)",0,C,,110000423667
55106DVNCC358PR,-92.943,44.808,False,27,163,071400,27,27163,27163071400,1400000US27163071400,ADVANCE CORP,8200 97TH ST S,COTTAGE GROVE,MN,55016,"ADVANCE CORP.8200 97TH ST S, COTTAGE GROVE MINNESOTA 55016 (WASHINGTON)",0,C,,110024421561
55016LSPCT95251,-92.91,44.79600000000001,False,27,163,071400,27,27163,27163071400,1400000US27163071400,LSP - COTTAGE GROVE LP,9525 105TH ST CT S,COTTAGE GROVE,MN,55016,"LSP - COTTAGE GROVE LP.9525 105TH ST CT S, COTTAGE GROVE MINNESOTA 55016 (WASHINGTON)",0,C,,110000423658
55016PNRTH948JA,-92.936,44.813,False,27,163,071400,27,27163,27163071400,1400000US27163071400,UP NORTH PLASTICS INC,9480 JAMAICA AVE S,COTTAGE GROVE,MN,55016,"UP NORTH PLASTICS INC.9480 JAMAICA AVE S, COTTAGE GROVE MINNESOTA 55016 (WASHINGTON)",0,C,,110001444232
55021BTRCC222NE,-93.264,44.294,False,27,131,070700,27,27131,27131070700,1400000US27131070700,BEATRICE CHEESE INC,222 NE 3RD ST,FARIBAULT,MN,55021,"BEATRICE CHEESE INC.222 NE 3RD ST, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,
55021CRWNCPOBOX,-93.294,44.291000000000004,False,27,131,070902,27,27131,27131070902,1400000US27131070902,CROWN AEROSOL PACKAGING,4TH ST & PARK AVE,FARIBAULT,MN,55021,"CROWN AEROSOL PACKAGING.4TH ST & PARK AVE, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,110040867327
55021LNDLK1612N,-93.292,44.298,False,27,131,070901,27,27131,27131070901,1400000US27131070901,PROTIENT INC,1612 NW 7TH ST,FARIBAULT,MN,55021,"PROTIENT INC.1612 NW 7TH ST, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,110000423685
55021SNYDR30024,-93.275,44.316,False,27,131,070901,27,27131,27131070901,1400000US27131070901,DAIKIN APPLIED,300 24TH ST NW,FARIBAULT,MN,55021,"DAIKIN APPLIED.300 24TH ST NW, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,110000423694
55021KGMNF226PA,-93.29299999999999,44.31399999999999,False,27,131,070901,27,27131,27131070901,1400000US27131070901,K & G MANUFACTURING CO,226 PARK AVE NW,FARIBAULT,MN,55021,"K & G MANUFACTURING CO.226 PARK AVE NW, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,110000423676
55021KBRND2050A,-93.302,44.328,False,27,131,070901,27,27131,27131070901,1400000US27131070901,NORTHERN TOOL & EQUIPMENT,2050 AIRTECH RD,FARIBAULT,MN,55021,"NORTHERN TOOL & EQUIPMENT.2050 AIRTECH RD, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,110003737975
55021MNNST41PAR,-93.289,44.335,False,27,131,070901,27,27131,27131070901,1400000US27131070901,MINNESOTA MUNICIPAL POWER AGENCY FARIBAULT ENERGY PARK,4100 PARK AVE,FARIBAULT,MN,55021,"MINNESOTA MUNICIPAL POWER AGENCY FARIBAULT ENERGY PARK.4100 PARK AVE, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,110020155945
55021JRMFD1116N,-93.274,44.303000000000004,False,27,131,070901,27,27131,27131070901,1400000US27131070901,JENNIE-O TURKEY STORE  INC,1116 NW 4TH AVE NW,FARIBAULT,MN,55021,"JENNIE-O TURKEY STORE  INC.1116 NW 4TH AVE NW, FARIBAULT MINNESOTA 55021 (RICE)",0,C,,110000566281
55024MRGLD15FOU,-93.14299999999999,44.644,False,27,037,060904,27,27037,27037060904,1400000US27037060904,KEMPS LLC,15 - 4TH ST,FARMINGTON,MN,55024,"KEMPS LLC.15 - 4TH ST, FARMINGTON MINNESOTA 55024 (DAKOTA)",0,C,,110000423710
55033NTKWT800EA,-92.84100000000001,44.736000000000004,False,27,037,061108,27,27037,27037061108,1400000US27037061108,INTEK PLASTICS INC,800 E 10TH ST,HASTINGS,MN,550332299,"INTEK PLASTICS INC.800 E 10TH ST, HASTINGS MINNESOTA 55033 (DAKOTA)",0,C,,
55033CRTSL700SP,-92.84,44.72,False,27,037,061108,27,27037,27037061108,1400000US27037061108,CURTIS ELECTRONICS CORP,700 SPIRAL BLVD,HASTINGS,MN,55033,"CURTIS ELECTRONICS CORP.700 SPIRAL BLVD, HASTINGS MINNESOTA 55033 (DAKOTA)",1,C,,
55033MSTRN1000S,-92.834,44.72,False,27,037,061108,27,27037,27037061108,1400000US27037061108,INTEK PLASTICS INC,1000 SPIRIAL BLVD,HASTINGS,MN,550332299,"INTEK PLASTICS INC.1000 SPIRIAL BLVD, HASTINGS MINNESOTA 55033 (DAKOTA)",0,C,,
55033CNGRF2005V,-92.85,44.726000000000006,False,27,037,061108,27,27037,27037061108,1400000US27037061108,CONAGRA FOODS GRAIN PROCESSING CO,1 KING MIDAS PARK,HASTINGS,MN,55033,"CONAGRA FOODS GRAIN PROCESSING CO.1 KING MIDAS PARK, HASTINGS MINNESOTA 55033 (DAKOTA)",0,C,,
5503WHSTNG171VE,-92.852,44.728,False,27,037,061108,27,27037,27037061108,1400000US27037061108,HASTINGS COOP CREAMERY,1701 VERMILLION ST.,HASTINGS,MN,55033,"HASTINGS COOP CREAMERY.1701 VERMILLION ST., HASTINGS MINNESOTA 55033 (DAKOTA)",0,C,,110057354116
5503WCMSTN31421,-92.84899999999999,44.724,False,27,037,061108,27,27037,27037061108,1400000US27037061108,CEMSTONE - HASTINGS,314 21ST ST S,HASTINGS,MN,55033,"CEMSTONE - HASTINGS.314 21ST ST S, HASTINGS MINNESOTA 55033 (DAKOTA)",0,C,,110061872656
55041JPTRN520N8,-92.27799999999999,44.446999999999996,False,27,157,490300,27,27157,27157490300,1400000US27157490300,FEDERAL-MOGUL POWERTRAIN SYSTEMS,520 N 8TH ST,LAKE CITY,MN,55041,"FEDERAL-MOGUL POWERTRAIN SYSTEMS.520 N 8TH ST, LAKE CITY MINNESOTA 55041 (WABASHA)",0,C,,110000423756
55041HTNGL800JE,-92.28,44.449,False,27,157,490300,27,27157,27157490300,1400000US27157490300,HEARTH & HOME TECHNOLOGIES INC LAKE CITY,800 W JEFFERSON ST,LAKE CITY,MN,55041,"HEARTH & HOME TECHNOLOGIES INC LAKE CITY.800 W JEFFERSON ST, LAKE CITY MINNESOTA 55041 (WABASHA)",0,C,,110000423747
55041VLLYC2001S,-92.249,44.427,False,27,157,490500,27,27157,27157490500,1400000US27157490500,VALLEY CRAFT INC,2001 S HWY 61,LAKE CITY,MN,550419555,"VALLEY CRAFT INC.2001 S HWY 61, LAKE CITY MINNESOTA 55041 (WABASHA)",0,C,,110000594376
55044CRWNC84152,-93.234,44.632,False,27,037,060821,27,27037,27037060821,1400000US27037060821,CROWN CORK & SEAL CO INC,8415 220TH ST W,LAKEVILLE,MN,55044,"CROWN CORK & SEAL CO INC.8415 220TH ST W, LAKEVILLE MINNESOTA 55044 (DAKOTA)",0,C,,
55044MNSHC80852,-93.23,44.631,False,27,037,060821,27,27037,27037060821,1400000US27037060821,MENASHA CORP,8085 220TH ST,LAKEVILLE,MN,55044,"MENASHA CORP.8085 220TH ST, LAKEVILLE MINNESOTA 55044 (DAKOTA)",0,C,,
