TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
63010MTLCN42TEN,-90.35600000000001,38.434,False,29,099,700111,29,29099,29099700111,1400000US29099700111,METAL CONTAINER CORP - ARNOLD CAN PLANT,42 TENBROOK INDUSTRIAL PARK,ARNOLD,MO,63010,"METAL CONTAINER CORP - ARNOLD CAN PLANT.42 TENBROOK INDUSTRIAL PARK, ARNOLD MISSOURI 63010 (JEFFERSON)",0,C,,110017977778
63010NSLRB2955A,-90.354,38.433,False,29,099,700111,29,29099,29099700111,1400000US29099700111,UNISEAL RUBBER PRODS INC,2955 ARNOLD TENBROOK RD,ARNOLD,MO,63010,"UNISEAL RUBBER PRODS INC.2955 ARNOLD TENBROOK RD, ARNOLD MISSOURI 63010 (JEFFERSON)",1,C,,
63010SNCLR123MA,-90.352,38.438,False,29,099,700111,29,29099,29099700111,1400000US29099700111,SINCLAIR & RUSH INC,123 MANUFACTURERS DR,ARNOLD,MO,63010,"SINCLAIR & RUSH INC.123 MANUFACTURERS DR, ARNOLD MISSOURI 63010 (JEFFERSON)",0,C,,110001131506
63052BRWNGONEBR,-90.353,38.431999999999995,False,29,099,700111,29,29099,29099700111,1400000US29099700111,BROWNING,ONE BROWNING PL,ARNOLD,MO,63010,"BROWNING.ONE BROWNING PL, ARNOLD MISSOURI 63010 (JEFFERSON)",0,C,,110013247487
6301WSPRRS323AR,-90.352,38.431,False,29,099,700111,29,29099,29099700111,1400000US29099700111,SUPERIOR SOLVENTS & CHEMICALS,3023 ARNOLD TENBROOK ROAD,ARNOLD,MO,63010,"SUPERIOR SOLVENTS & CHEMICALS.3023 ARNOLD TENBROOK ROAD, ARNOLD MISSOURI 63010 (JEFFERSON)",0,C,,110057073624
63011MNFCT14290,-90.508,38.593,False,29,189,217702,29,29189,29189217702,1400000US29189217702,HOMESTAR INDUSTRIES,14290 MANCHESTER RD,MANCHESTER,MO,63011,"HOMESTAR INDUSTRIES.14290 MANCHESTER RD, MANCHESTER MISSOURI 63011 (ST LOUIS)",0,C,,
63011SLDPW14161,-90.49799999999999,38.594,False,29,189,217702,29,29189,29189217702,1400000US29189217702,MAHLE ENGINE COMPONENTS,14161 MANCHESTER RD,MANCHESTER,MO,63011,"MAHLE ENGINE COMPONENTS.14161 MANCHESTER RD, MANCHESTER MISSOURI 63011 (ST LOUIS)",0,C,,110000440078
63014GNCRPROUTE,-91.363,38.688,False,29,071,800401,29,29071,29071800401,1400000US29071800401,GDX AUTOMOTIVE (FORMERLY GENCORP),7627 ZERO RD,BERGER,MO,630141023,"GDX AUTOMOTIVE (FORMERLY GENCORP).7627 ZERO RD, BERGER MISSOURI 63014 (FRANKLIN)",0,C,,
63068MRCNR500OR,-91.20700000000001,38.611,False,29,071,800401,29,29071,29071800401,1400000US29071800401,MARCHEM COATED FABRICS INC,500 ORCHARD ST,NEW HAVEN,MO,63068,"MARCHEM COATED FABRICS INC.500 ORCHARD ST, NEW HAVEN MISSOURI 63068 (FRANKLIN)",0,C,,110000440489
63090SPRLN215LA,-91.061,38.569,False,29,071,800401,29,29071,29071800401,1400000US29071800401,PARKER HANNIFIN SPORLAN DIV - PLANT #3,215 LANGE DR,WASHINGTON,MO,63090,"PARKER HANNIFIN SPORLAN DIV - PLANT #3.215 LANGE DR, WASHINGTON MISSOURI 63090 (FRANKLIN)",0,C,,110000440684
63090PWLSTONEPA,-91.057,38.567,False,29,071,800401,29,29071,29071800401,1400000US29071800401,CG POWER SYSTEMS USA INC,ONE PAUWELS DR,WASHINGTON,MO,63090,"CG POWER SYSTEMS USA INC.ONE PAUWELS DR, WASHINGTON MISSOURI 63090 (FRANKLIN)",0,C,,110001468019
63068GDXTM101DA,-91.219,38.597,False,29,071,800401,29,29071,29071800401,1400000US29071800401,HENNIGES AUTOMOTIVE,101 DANNY SCOTT DR,NEW HAVEN,MO,63068,"HENNIGES AUTOMOTIVE.101 DANNY SCOTT DR, NEW HAVEN MISSOURI 63068 (FRANKLIN)",0,C,,110012468515
6309WHRMNB851VS,-91.07700000000001,38.567,False,29,071,800401,29,29071,29071800401,1400000US29071800401,HARMAN BECKER AUTOMOTIVE SYSTEMS,851 VOSSBRINK DRIVE,WASHINGTON,MO,63090,"HARMAN BECKER AUTOMOTIVE SYSTEMS.851 VOSSBRINK DRIVE, WASHINGTON MISSOURI 63090 (FRANKLIN)",1,C,,110024435707
6309WCGPWR6349A,-91.069,38.571,False,29,071,800401,29,29071,29071800401,1400000US29071800401,CG POWER SYSTEMS USA INC,6349 AVANTHA DR,WASHINGTON,MO,63090,"CG POWER SYSTEMS USA INC.6349 AVANTHA DR, WASHINGTON MISSOURI 63090 (FRANKLIN)",0,C,,110046279638
63017MNSNT700CH,-90.557,38.666,False,29,189,221628,29,29189,29189221628,1400000US29189221628,MONSANTO CO,700 CHESTERFIELD VILLAGE PKWY,CHESTERFIELD,MO,63017,"MONSANTO CO.700 CHESTERFIELD VILLAGE PKWY, CHESTERFIELD MISSOURI 63017 (ST LOUIS)",0,C,,
63019LRCHNHIGHW,-90.31700000000001,38.171,False,29,099,701404,29,29099,29099701404,1400000US29099701404,CRYSTAL CITY NITROGEN,1000 DOOLIN HOLLOW RD,FESTUS,MO,63028,"CRYSTAL CITY NITROGEN.1000 DOOLIN HOLLOW RD, FESTUS MISSOURI 63028 (JEFFERSON)",0,C,,
63028JNSCHRT417,-90.40100000000001,38.187,False,29,099,701404,29,29099,29099701404,1400000US29099701404,DPC ENTERPRISES LP,1785 HWY 61 S,FESTUS,MO,63028,"DPC ENTERPRISES LP.1785 HWY 61 S, FESTUS MISSOURI 63028 (JEFFERSON)",0,C,,110000595892
63028RVRCMSELMA,-90.337,38.18,False,29,099,701404,29,29099,29099701404,1400000US29099701404,RIVER CEMENT CO (DBA BUZZI UNICEM USA),1000 RIVER CEMENT RD,FESTUS,MO,63028,"RIVER CEMENT CO (DBA BUZZI UNICEM USA).1000 RIVER CEMENT RD, FESTUS MISSOURI 63028 (JEFFERSON)",0,C,,110000440229
63028RSHSL100BI,-90.26299999999999,38.131,False,29,099,701404,29,29099,29099701404,1400000US29099701404,AMEREN MISSOURI RUSH ISLAND ENERGY CENTER,100 BIG HOLLOW RD,FESTUS,MO,63028,"AMEREN MISSOURI RUSH ISLAND ENERGY CENTER.100 BIG HOLLOW RD, FESTUS MISSOURI 63028 (JEFFERSON)",0,C,,110000440210
63019PPGND26MIS,-90.37700000000001,38.219,False,29,099,700700,29,29099,29099700700,1400000US29099700700,PPG INDUSTRIES INC WORKS 9,26 MISSISSIPPI AVE,CRYSTAL CITY,MO,63019,"PPG INDUSTRIES INC WORKS 9.26 MISSISSIPPI AVE, CRYSTAL CITY MISSOURI 63019 (JEFFERSON)",0,C,,
63020DSTSHHWYEV,-90.559,38.115,False,29,099,701401,29,29099,29099701401,1400000US29099701401,DESOTO SHOE CORP,HWY E & V,DE SOTO,MO,63020,"DESOTO SHOE CORP.HWY E & V, DE SOTO MISSOURI 63020 (JEFFERSON)",0,C,,
63021BSSMN114OL,-90.6,38.588,False,29,189,221506,29,29189,29189221506,1400000US29189221506,COOPER BUSSMANN LLC,114 OLD STATE RD,ELLISVILLE,MO,63021,"COOPER BUSSMANN LLC.114 OLD STATE RD, ELLISVILLE MISSOURI 63021 (ST LOUIS)",0,C,,110000440103
63021MLTPL250OL,-90.553,38.584,False,29,189,217923,29,29189,29189217923,1400000US29189217923,MULTIPLEX CO INC,250 OLD BALLWIN ROAD,BALLWIN,MO,63021,"MULTIPLEX CO INC.250 OLD BALLWIN ROAD, BALLWIN MISSOURI 63021 (ST LOUIS)",0,C,,
63026BSFCR2340C,-90.445,38.551,False,29,189,221423,29,29189,29189221423,1400000US29189221423,BASF CORP,2340 CASSENS DR,FENTON,MO,63026,"BASF CORP.2340 CASSENS DR, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,
63026CHRYS1001N,-90.461,38.544000000000004,False,29,189,221423,29,29189,29189221423,1400000US29189221423,CHRYSLER ST. LOUIS SOUTH ASSEMBLY PLANT,1001 N HWY DR,FENTON,MO,63026,"CHRYSLER ST. LOUIS SOUTH ASSEMBLY PLANT.1001 N HWY DR, FENTON MISSOURI 63026 (ST LOUIS)",1,C,,110064173497
63026CLYTN866HO,-90.459,38.538000000000004,False,29,189,221423,29,29189,29189221423,1400000US29189221423,CLAYTON CORP,866 HORAN DR,FENTON,MO,630262495,"CLAYTON CORP.866 HORAN DR, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,
63026CNTNR2391C,-90.447,38.551,False,29,189,221423,29,29189,29189221423,1400000US29189221423,GREIF ST LOUIS CORP,2391 CASSENS DR,FENTON,MO,63026,"GREIF ST LOUIS CORP.2391 CASSENS DR, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,110000440167
63026DYNQP1645M,-90.444,38.535,False,29,189,221423,29,29189,29189221423,1400000US29189221423,DYNAQUIP CONTROLS CORP,1645 MANUFACTURERS DR,FENTON,MO,630262838,"DYNAQUIP CONTROLS CORP.1645 MANUFACTURERS DR, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,
63026STLSS1050D,-90.46,38.552,False,29,189,221423,29,29189,29189221423,1400000US29189221423,CHRYSLER ST. LOUIS NORTH ASSEMBLY PLANT,1050 DODGE DR,FENTON,MO,63026,"CHRYSLER ST. LOUIS NORTH ASSEMBLY PLANT.1050 DODGE DR, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,110000440185
63026TFFNY271LA,-90.458,38.537,False,29,189,221423,29,29189,29189221423,1400000US29189221423,TIFFANY HOME PRODS,271 LARKIN WILLIAMS INDL CT,FENTON,MO,63026,"TIFFANY HOME PRODS.271 LARKIN WILLIAMS INDL CT, FENTON MISSOURI 63026 (ST LOUIS)",1,C,,
63026BLNKB1572L,-90.45299999999999,38.535,False,29,189,221423,29,29189,29189221423,1400000US29189221423,UNIVERSAL FLAVOR CORP,1572 LARKIN WILLIAMS RD,FENTON,MO,63026,"UNIVERSAL FLAVOR CORP.1572 LARKIN WILLIAMS RD, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,
63026RTPNT1733G,-90.464,38.541,False,29,189,221423,29,29189,29189221423,1400000US29189221423,RITEPOINT,1733 GILSINN LN,FENTON,MO,63026,"RITEPOINT.1733 GILSINN LN, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,
63026THRML2200C,-90.44200000000001,38.546,False,29,189,221423,29,29189,29189221423,1400000US29189221423,THERMAL SCIENCE INC,2200 CASSENS DR,FENTON,MO,63026,"THERMAL SCIENCE INC.2200 CASSENS DR, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,110018010329
63026BRDNP415AX,-90.447,38.537,False,29,189,221423,29,29189,29189221423,1400000US29189221423,BORDEN PASTA FENTON FACILITY,415 AXMINISTER,FENTON,MO,63026,"BORDEN PASTA FENTON FACILITY.415 AXMINISTER, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,
63026FLXLT2025H,-90.449,38.545,False,29,189,221423,29,29189,29189221423,1400000US29189221423,FOL TAPE LLC,2025 HITZERT CT,FENTON,MO,63026,"FOL TAPE LLC.2025 HITZERT CT, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,110018005433
63026STLSM1565F,-90.449,38.535,False,29,189,221423,29,29189,29189221423,1400000US29189221423,ST LOUIS MARBLE CO,1565 FENPARK DR,FENTON,MO,63026,"ST LOUIS MARBLE CO.1565 FENPARK DR, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,110038388679
63026TNCRP62SCC,-90.43700000000001,38.545,False,29,189,221423,29,29189,29189221423,1400000US29189221423,EATON CORP,56 SOCCER PARK RD,FENTON,MO,63026,"EATON CORP.56 SOCCER PARK RD, FENTON MISSOURI 63026 (ST LOUIS)",0,C,,110039497979
63026PCPLT1318W,-90.495,38.495,False,29,099,700303,29,29099,29099700303,1400000US29099700303,PC PLATING,1318 W LARK IND PK,FENTON,MO,63026,"PC PLATING.1318 W LARK IND PK, FENTON MISSOURI 63026 (JEFFERSON)",0,C,,
63026RMTLF2150N,-90.499,38.495,False,29,099,700303,29,29099,29099700303,1400000US29099700303,AERO METAL FINISHING INC,2150 N LARK DR,FENTON,MO,630260000,"AERO METAL FINISHING INC.2150 N LARK DR, FENTON MISSOURI 63026 (JEFFERSON)",0,C,,
63028TLSSN600HO,-90.406,38.225,False,29,099,700801,29,29099,29099700801,1400000US29099700801,ATLAS/SOUNDOLIER,600 HORINE RD,FESTUS,MO,630281071,"ATLAS/SOUNDOLIER.600 HORINE RD, FESTUS MISSOURI 63028 (JEFFERSON)",0,C,,
63037BLLMS406EA,-91.32600000000001,38.406,False,29,071,800402,29,29071,29071800402,1400000US29071800402,BULL MOOSE TUBE CO,406 E INDUSTRIAL DR,GERALD,MO,63037,"BULL MOOSE TUBE CO.406 E INDUSTRIAL DR, GERALD MISSOURI 63037 (FRANKLIN)",0,C,,110001454505
63037SPCCRFLOTT,-91.333,38.404,False,29,071,800402,29,29071,29071800402,1400000US29071800402,NEWLY WEDS FOODS SPICECRAFT DIV,FLOTTMAN RD1/2 MILE W OF MAIN ST,GERALD,MO,630370141,"NEWLY WEDS FOODS SPICECRAFT DIV.FLOTTMAN RD1/2 MILE W OF MAIN ST, GERALD MISSOURI 63037 (FRANKLIN)",0,C,,
63042FRDMT6250N,-90.361,38.773,False,29,189,211500,29,29189,29189211500,1400000US29189211500,FORD MOTOR CO  ST LOUI S ASSEMBLY,6250 N LINDBERGH BLVD,HAZELWOOD,MO,63042,"FORD MOTOR CO  ST LOUI S ASSEMBLY.6250 N LINDBERGH BLVD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",0,C,,110000440238
63042FTRCT9200L,-90.35,38.768,False,29,189,211500,29,29189,29189211500,1400000US29189211500,FUTURA COATINGS INC,9200 LATTY AVE,HAZELWOOD,MO,63042,"FUTURA COATINGS INC.9200 LATTY AVE, HAZELWOOD MISSOURI 63042 (ST LOUIS)",1,C,,
63042HRTLN6040N,-90.366,38.769,False,29,189,211500,29,29189,29189211500,1400000US29189211500,PRAIRIE FARMS HAZELWOOD,6040 N LINDBERGH BLVD,HAZELWOOD,MO,63042,"PRAIRIE FARMS HAZELWOOD.6040 N LINDBERGH BLVD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",0,C,,110000440256
63134CLCHM6581R,-90.34200000000001,38.76,False,29,189,211500,29,29189,29189211500,1400000US29189211500,ECOLOCHEM INC,6581 ROMISS CT,BERKELEY,MO,63134,"ECOLOCHEM INC.6581 ROMISS CT, BERKELEY MISSOURI 63134 (ST LOUIS)",0,C,,
63134CPRND9151L,-90.348,38.769,False,29,189,211500,29,29189,29189211500,1400000US29189211500,FEDERAL MOGUL FRICTION PRODUCTS,9151 LATTY AVE,BERKELEY,MO,63134,"FEDERAL MOGUL FRICTION PRODUCTS.9151 LATTY AVE, BERKELEY MISSOURI 63134 (ST LOUIS)",0,C,,110000441656
63134LHBND8833F,-90.34100000000001,38.759,False,29,189,211500,29,29189,29189211500,1400000US29189211500,LHB INDUSTRIES,8833 FLEISCHER PL,BERKELEY,MO,63134,"LHB INDUSTRIES.8833 FLEISCHER PL, BERKELEY MISSOURI 63134 (ST LOUIS)",0,C,,110017984047
63134QKRST9060L,-90.346,38.769,False,29,189,211500,29,29189,29189211500,1400000US29189211500,QUAKER STATE CORP ST LOUIS B&P,9060 LATTY AVE,SAINT LOUIS,MO,63134,"QUAKER STATE CORP ST LOUIS B&P.9060 LATTY AVE, SAINT LOUIS MISSOURI 63134 (ST LOUIS)",0,C,,
63042HZLWD8840P,-90.346,38.775999999999996,False,29,189,211500,29,29189,29189211500,1400000US29189211500,GENERAL MILLS,8840 PARSHALL RD,HAZELWOOD,MO,63042,"GENERAL MILLS.8840 PARSHALL RD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",0,C,,
63134VNWTR8925S,-90.346,38.765,False,29,189,211500,29,29510,29189211500,1400000US29189211500,UNIVAR USA INC BERKELEY,8925 SEEGER INDUSTRIAL DR,BERKELEY,MO,63134,"UNIVAR USA INC BERKELEY.8925 SEEGER INDUSTRIAL DR, BERKELEY MISSOURI 63134 (ST LOUIS (CITY))",0,C,,110000441674
63042SVNPB555MC,-90.37799999999999,38.771,False,29,189,211402,29,29189,29189211402,1400000US29189211402,SEVEN-UP BOTTLING CO OF ST LOUIS INC,555 MCDONNELL BLVD,HAZELWOOD,MO,63042,"SEVEN-UP BOTTLING CO OF ST LOUIS INC.555 MCDONNELL BLVD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",0,C,,
63042DVRSF5433E,-90.39200000000001,38.768,False,29,189,211402,29,29189,29189211402,1400000US29189211402,DIVERSIFIED GRAPHICS INC,5433 EAGLE INDLCT,HAZELWOOD,MO,63042,"DIVERSIFIED GRAPHICS INC.5433 EAGLE INDLCT, HAZELWOOD MISSOURI 63042 (ST LOUIS)",1,C,,
63042JMSRV310MC,-90.375,38.766999999999996,False,29,189,211402,29,29189,29189211402,1400000US29189211402,PRINTPACK INC,310 MCDONNELL BLVD,HAZELWOOD,MO,63042,"PRINTPACK INC.310 MCDONNELL BLVD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",1,C,,110000781155
63042VTKSY595AN,-90.389,38.771,False,29,189,211402,29,29189,29189211402,1400000US29189211402,BIOMERIEUX VITEK INC,595 ANGLUM RD,HAZELWOOD,MO,630422395,"BIOMERIEUX VITEK INC.595 ANGLUM RD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",0,C,,
63042GKNRS142JS,-90.36399999999999,38.777,False,29,189,211402,29,29189,29189211402,1400000US29189211402,GKN AEROSPACE NA INC,142 JS MCDONNELL BLVD,HAZELWOOD,MO,63042,"GKN AEROSPACE NA INC.142 JS MCDONNELL BLVD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",0,C,,110012704519
63042MLLNC675MC,-90.382,38.775,False,29,189,211402,29,29189,29189211402,1400000US29189211402,MALLINCKRODT LLC,675 MCDONNEL BLVD,HAZELWOOD,MO,630422301,"MALLINCKRODT LLC.675 MCDONNEL BLVD, HAZELWOOD MISSOURI 63042 (ST LOUIS)",0,C,,110000891009
63043CCBCF19WOR,-90.444,38.705,False,29,189,215001,29,29189,29189215001,1400000US29189215001,COCA-COLA BOTTLING CO OF ST LOUIS,19 WORTHINGTON DR,MARYLAND HEIGHTS,MO,63043,"COCA-COLA BOTTLING CO OF ST LOUIS.19 WORTHINGTON DR, MARYLAND HEIGHTS MISSOURI 63043 (ST LOUIS)",0,C,,
63043CHVRN2497A,-90.42299999999999,38.707,False,29,189,215001,29,29189,29189215001,1400000US29189215001,CHEVRON CHEMICAL CO,2497 ADIE RD,MARYLAND HEIGHTS,MO,63043,"CHEVRON CHEMICAL CO.2497 ADIE RD, MARYLAND HEIGHTS MISSOURI 63043 (ST LOUIS)",0,C,,
63043LCCNT11911,-90.439,38.709,False,29,189,215001,29,29189,29189215001,1400000US29189215001,EMERSON ELECTRIC CORP FLOW CONTROLS (ALCO) DIV,11911 ADIE RD,MARYLAND HEIGHTS,MO,63043,"EMERSON ELECTRIC CORP FLOW CONTROLS (ALCO) DIV.11911 ADIE RD, MARYLAND HEIGHTS MISSOURI 63043 (ST LOUIS)",0,C,,
63043MDCPR11697,-90.43,38.711,False,29,189,215001,29,29189,29189215001,1400000US29189215001,MIDCO PRODUCTS CO INC,11697 FAIRGROVE INDL BLVD,MARYLAND HEIGHTS,MO,63043,"MIDCO PRODUCTS CO INC.11697 FAIRGROVE INDL BLVD, MARYLAND HEIGHTS MISSOURI 63043 (ST LOUIS)",0,C,,
63043MRCHM2500A,-90.421,38.709,False,29,189,215001,29,29189,29189215001,1400000US29189215001,ACCELLA POLYURETHANE SYSTEMS,2500 ADIE RD,MARYLAND HEIGHTS,MO,63043,"ACCELLA POLYURETHANE SYSTEMS.2500 ADIE RD, MARYLAND HEIGHTS MISSOURI 63043 (ST LOUIS)",0,C,,110018011088
