TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
96950MBLLCPORTO,145.735,15.224,False,69,110,000300,69,69110,69110000300,1400000US69110000300,MOBIL OIL MARIANA ISLANDS INC (SAIPAN TERMINAL),PUERTO RICO TANAPAG HARBOR,SAIPAN,MP,96950,"MOBIL OIL MARIANA ISLANDS INC (SAIPAN TERMINAL).PUERTO RICO TANAPAG HARBOR, SAIPAN Northern Mariana Islands
 96950 (SAIPAN)",0,C,,110000601420
96950SHLLMBEACH,145.735,15.225,False,69,110,000300,69,69110,69110000300,1400000US69110000300,MARIANA ACQUISTION CORP/SAIPAN TERMINAL,IND US TRIAL DR,SAIPAN,MP,96950,"MARIANA ACQUISTION CORP/SAIPAN TERMINAL.IND US TRIAL DR, SAIPAN Northern Mariana Islands
 96950 (SAIPAN)",0,C,,110031019724
96950CMMNWINDUS,145.741,15.231,False,69,110,000300,69,69110,69110000300,1400000US69110000300,COMMONWEALTH UTILITIES CORP (CUC),"INDUSTRIAL DRIVE, LOWER BASE",SAIPAN,MP,96950,"COMMONWEALTH UTILITIES CORP (CUC).INDUSTRIAL DRIVE, LOWER BASE, SAIPAN Northern Mariana Islands
 96950 (SAIPAN)",0,C,,110024539070
96950MBLLSSAIPA,145.726,15.128,False,69,110,001300,69,69110,69110001300,1400000US69110001300,MOBIL OIL MARIANA ISLANDS INC (SAIPAN AVIATION DEPOT),AIRPORT RD DANDAN,SAIPAN,MP,96950,"MOBIL OIL MARIANA ISLANDS INC (SAIPAN AVIATION DEPOT).AIRPORT RD DANDAN, SAIPAN Northern Mariana Islands
 96950 (SAIPAN)",0,C,,110000746710
96950HWNRCHAWAI,145.75,15.117,False,69,110,001300,69,69110,69110001300,1400000US69110001300,HAWAIIAN ROCK PRODUCTS ROAD PAVING,NAFTAN RD,SAIPAN,MP,96950,"HAWAIIAN ROCK PRODUCTS ROAD PAVING.NAFTAN RD, SAIPAN Northern Mariana Islands
 96950 (SAIPAN)",0,C,,110012701362
96950CMMNWCHALA,145.721,15.163,False,69,110,000700,69,69110,69110000700,1400000US69110000700,COMMONWEALTH UTILITIES CORP (CUC),"CHALAN PALE ARNOLD ROAD, PUERTO RICO",SAIPAN,MP,96950,"COMMONWEALTH UTILITIES CORP (CUC).CHALAN PALE ARNOLD ROAD, PUERTO RICO, SAIPAN Northern Mariana Islands
 96950 (SAIPAN)",0,C,,110055500186
96951CMMNWSNGSN,145.145,14.14,False,69,100,950100,69,69100,69100950100,1400000US69100950100,COMMONWEALTH UTILITIES CORP (CUC),SONGSONG VILLAGE,ROTA,MP,96951,"COMMONWEALTH UTILITIES CORP (CUC).SONGSONG VILLAGE, ROTA Northern Mariana Islands
 96951 (ROTA)",0,C,,110055500195
9695WMBLLMPBX71,145.145,14.14,False,69,100,950100,69,69100,69100950100,1400000US69100950100,"MOBIL OIL MARIANA ISLANDS, INC. (ROTA BULK PLANT)",P.O. BOX 714,ROTA,MP,96951,"MOBIL OIL MARIANA ISLANDS, INC. (ROTA BULK PLANT).P.O. BOX 714, ROTA Northern Mariana Islands
 96951 (ROTA)",0,C,,110043671363
96952CMMNWSANJS,145.615,14.974,False,69,120,950101,69,69120,69120950101,1400000US69120950101,COMMONWEALTH UTILITIES CORP (CUC),SAN JOSE VILLAGE,TINIAN,MP,96952,"COMMONWEALTH UTILITIES CORP (CUC).SAN JOSE VILLAGE, TINIAN Northern Mariana Islands
 96952 (TINIAN)",0,C,,110055500202
9695WMBLLMPBX45,145.62,14.966,False,69,120,950101,69,69120,69120950101,1400000US69120950101,"MOBIL OIL MARIANA ISLANDS, INC. (TINIAN BULK PLANT)",P.O. BOX 452,TINIAN,MP,96952,"MOBIL OIL MARIANA ISLANDS, INC. (TINIAN BULK PLANT).P.O. BOX 452, TINIAN Northern Mariana Islands
 96952 (TINIAN)",0,C,,110043671354
