TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
38606BTSVLHWY51,-89.944,34.29,False,28,107,950500,28,28107,28107950500,1400000US28107950500,F-BATESVILLE,HWY 51 S,BATESVILLE,MS,38606,"F-BATESVILLE.HWY 51 S, BATESVILLE MISSISSIPPI 38606 (PANOLA)",1,C,,
38606CRWNCHWY35,-89.92399999999999,34.343,False,28,107,950600,28,28107,28107950600,1400000US28107950600,CROWN BEVERAGE PACKAGING,195 CROWN RD,BATESVILLE,MS,38606,"CROWN BEVERAGE PACKAGING.195 CROWN RD, BATESVILLE MISSISSIPPI 38606 (PANOLA)",0,C,,110000375497
38606THRMSSARDI,-89.931,34.339,False,28,107,950600,28,28107,28107950600,1400000US28107950600,THERMOS CO,355 THERMOS RD,BATESVILLE,MS,38606,"THERMOS CO.355 THERMOS RD, BATESVILLE MISSISSIPPI 38606 (PANOLA)",0,C,,
38606BTSVL310CR,-89.917,34.342,False,28,107,950600,28,28107,28107950600,1400000US28107950600,BATESVILLE MANUFACTURING INC,310 CROWN RD,BATESVILLE,MS,38606,"BATESVILLE MANUFACTURING INC.310 CROWN RD, BATESVILLE MISSISSIPPI 38606 (PANOLA)",1,C,,110000375488
38606MGGBT195CO,-89.91799999999999,34.349000000000004,False,28,107,950600,28,28107,28107950600,1400000US28107950600,MOOG BATESVILLE,195 CORPORATE DR,BATESVILLE,MS,38606,"MOOG BATESVILLE.195 CORPORATE DR, BATESVILLE MISSISSIPPI 38606 (PANOLA)",0,C,,
3860WMMCMT449HW,-89.943,34.325,False,28,107,950600,28,28107,28107950600,1400000US28107950600,MMC MATERIALS INC - BATESVILLE,449 HWY 51 N,BATESVILLE,MS,38606,"MMC MATERIALS INC - BATESVILLE.449 HWY 51 N, BATESVILLE MISSISSIPPI 38606 (PANOLA)",0,C,,110002327143
38606PRKRHHIGHW,-89.889,34.31,False,28,107,950300,28,28107,28107950300,1400000US28107950300,PARKER HANNIFIN CORP AUTOMOTIVE CONNECTORS DIV,1620 HWY 6 EAST,BATESVILLE,MS,38606,"PARKER HANNIFIN CORP AUTOMOTIVE CONNECTORS DIV.1620 HWY 6 EAST, BATESVILLE MISSISSIPPI 38606 (PANOLA)",0,C,,
38666GLDBNINDUS,-89.90899999999999,34.375,False,28,107,950300,28,28107,28107950300,1400000US28107950300,GOLD BOND BUILDING PRODS,INDUSTRIAL DR,SARDIS,MS,38666,"GOLD BOND BUILDING PRODS.INDUSTRIAL DR, SARDIS MISSISSIPPI 38666 (PANOLA)",0,C,,
3860WSPRRSHWY35,-89.904,34.351,False,28,107,950300,28,28107,28107950300,1400000US28107950300,SUPERIOR ASPHALT BATESVILLE PLANT,HWY 35,BATESVILLE,MS,38606,"SUPERIOR ASPHALT BATESVILLE PLANT.HWY 35, BATESVILLE MISSISSIPPI 38606 (PANOLA)",0,C,,110060261023
38611GMNCRONEGE,-89.69200000000001,34.872,False,28,093,950200,28,28093,28093950200,1400000US28093950200,E D SMITH-GEM INC,1 GEM BLVD,BYHALIA,MS,38611,"E D SMITH-GEM INC.1 GEM BLVD, BYHALIA MISSISSIPPI 38611 (MARSHALL)",1,C,,
3861WCRGLL71HIG,-89.661,34.864000000000004,False,28,093,950200,28,28093,28093950200,1400000US28093950200,CARGILL FEED & NUTRITION BYHALIA,7100 HIGHWAY 178 WEST,BYHALIA,MS,38611,"CARGILL FEED & NUTRITION BYHALIA.7100 HIGHWAY 178 WEST, BYHALIA MISSISSIPPI 38611 (MARSHALL)",0,C,,110038238760
3861WMMCMT36EST,-89.679,34.859,False,28,093,950200,28,28093,28093950200,1400000US28093950200,MMC MATERIALS INC BYHALIA PLNT,306 E STONEWALL RD,BYHALIA,MS,38611,"MMC MATERIALS INC BYHALIA PLNT.306 E STONEWALL RD, BYHALIA MISSISSIPPI 38611 (MARSHALL)",0,C,,110030451614
3861WCPLYM13LWR,-89.669,34.87,False,28,093,950200,28,28093,28093950200,1400000US28093950200,AC POLYMERS INC,103 LOWRY DR,BYHALIA,MS,38611,"AC POLYMERS INC.103 LOWRY DR, BYHALIA MISSISSIPPI 38611 (MARSHALL)",0,C,,110064645291
