TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
27013GRNNLPOBOX,-80.666,35.723,False,37,159,051901,37,37159,37159051901,1400000US37159051901,MUELLER SYSTEMS,10210 STATESVILLE BLVD,CLEVELAND,NC,27013,"MUELLER SYSTEMS.10210 STATESVILLE BLVD, CLEVELAND NORTH CAROLINA 27013 (ROWAN)",0,C,,110000345092
28144TCHNCHIGHW,-80.612,35.713,False,37,159,051901,37,37159,37159051901,1400000US37159051901,DURAFIBER TECHNOLOGIES INC SALISBURY PLANT,7401 STATESVILLE BLVD,SALISBURY,NC,28147,"DURAFIBER TECHNOLOGIES INC SALISBURY PLANT.7401 STATESVILLE BLVD, SALISBURY NORTH CAROLINA 28147 (ROWAN)",0,C,,110000348954
27008STHRNHWY70,-80.645,35.718,False,37,159,051901,37,37159,37159051901,1400000US37159051901,CARGILL FEED & NUTRITION BARBER,9150 STATESVILLE BLVD,CLEVELAND,NC,27013,"CARGILL FEED & NUTRITION BARBER.9150 STATESVILLE BLVD, CLEVELAND NORTH CAROLINA 27013 (ROWAN)",0,C,,110000345074
27013FRGHTHWY70,-80.689,35.729,False,37,159,051901,37,37159,37159051901,1400000US37159051901,DAIMLER TRUCKS NA LLC-CLEVELAND,11550 STATESVILLE BLVD,CLEVELAND,NC,27013,"DAIMLER TRUCKS NA LLC-CLEVELAND.11550 STATESVILLE BLVD, CLEVELAND NORTH CAROLINA 27013 (ROWAN)",0,C,,110000345083
28144MRDNT6701S,-80.601,35.719,False,37,159,051901,37,37159,37159051901,1400000US37159051901,CONTINENTAL STRUCTURAL PLASTICS LLC-SALISBURY,6701 STATESVILLE BLVD,SALISBURY,NC,28147,"CONTINENTAL STRUCTURAL PLASTICS LLC-SALISBURY.6701 STATESVILLE BLVD, SALISBURY NORTH CAROLINA 28147 (ROWAN)",0,C,,110006860691
27020LYDLLBROOK,-80.821,36.12,False,37,197,050400,37,37197,37197050400,1400000US37197050400,LYDELL THERMAL ACOUSTICAL GROUP,1241 BUCK SHOALS ROAD,HAMPTONVILLE,NC,270200109,"LYDELL THERMAL ACOUSTICAL GROUP.1241 BUCK SHOALS ROAD, HAMPTONVILLE NORTH CAROLINA 27020 (YADKIN)",0,C,,
27021THHST530WE,-80.367,36.286,False,37,169,070503,37,37169,37169070503,1400000US37169070503,HASTINGS CO,530 WEST KING ST  PO BOX 445,KING,NC,27021,"HASTINGS CO.530 WEST KING ST  PO BOX 445, KING NORTH CAROLINA 27021 (STOKES)",0,C,,
27025MCFLDAYERS,-79.975,36.402,False,37,157,040800,37,37157,37157040800,1400000US37157040800,UNIFI INC PLANT 1,AYERSVILLE RD,MAYODAN,NC,27025,"UNIFI INC PLANT 1.AYERSVILLE RD, MAYODAN NORTH CAROLINA 27025 (ROCKINGHAM)",0,C,,
27025MCFLDPIEDN,-79.961,36.394,False,37,157,040800,37,37157,37157040800,1400000US37157040800,ANIFI INC PLANT 6,212 PIEDMONT ST,MADISON,NC,27025,"ANIFI INC PLANT 6.212 PIEDMONT ST, MADISON NORTH CAROLINA 27025 (ROCKINGHAM)",0,C,,
27025BHMFL203EA,-79.957,36.388000000000005,False,37,157,040800,37,37157,37157040800,1400000US37157040800,BOEHME FILATEX INC MADOL PLANT,203 E MURPHY ST,MADISON,NC,27025,"BOEHME FILATEX INC MADOL PLANT.203 E MURPHY ST, MADISON NORTH CAROLINA 27025 (ROCKINGHAM)",0,C,,
