TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
58040MLRCM2101S,-97.65700000000001,46.229,False,38,081,974000,38,38081,38081974000,1400000US38081974000,BOBCAT CO (MELROE),210 1ST AVE NE,GWINNER,ND,58040,"BOBCAT CO (MELROE).210 1ST AVE NE, GWINNER NORTH DAKOTA 58040 (SARGENT)",0,C,,110012478764
58045MRCNCHWY81,-97.06299999999999,47.43600000000001,False,38,097,970300,38,38097,38097970300,1400000US38097970300,AMERICAN CRYSTAL SUGAR CO,121 HIGHWAY 81 NE,HILLSBORO,ND,58045,"AMERICAN CRYSTAL SUGAR CO.121 HIGHWAY 81 NE, HILLSBORO NORTH DAKOTA 58045 (TRAILL)",0,C,,110056190704
58074HTCHNHIGHW,-96.66,46.266999999999996,False,38,077,970800,38,38077,38077970800,1400000US38077970800,WIL-RICH LLC,17885 HWY 13,WAHPETON,ND,58075,"WIL-RICH LLC.17885 HWY 13, WAHPETON NORTH DAKOTA 58075 (RICHLAND)",0,C,,110000595008
58075PRGLD18049,-96.641,46.35,False,38,077,970800,38,38077,38077970800,1400000US38077970800,CARGILL INC WET CORN MILLING - WAHPETON,18049 COUNTY RD 8 E,WAHPETON,ND,58075,"CARGILL INC WET CORN MILLING - WAHPETON.18049 COUNTY RD 8 E, WAHPETON NORTH DAKOTA 58075 (RICHLAND)",0,C,,110011042200
5807WMNNDK18175,-96.618,46.327,False,38,077,970800,38,38077,38077970800,1400000US38077970800,DAKOTA YEAST LLC,18175 RED RIVER RD W,WAHPETON,ND,58075,"DAKOTA YEAST LLC.18175 RED RIVER RD W, WAHPETON NORTH DAKOTA 58075 (RICHLAND)",0,C,,110000428154
58075MCXXX1300N,-96.62200000000001,46.292,False,38,077,970900,38,38077,38077970900,1400000US38077970900,3M CO DATA STORAGE PRODUCTS DIV,1300 N 3M DR,WAHPETON,ND,58075,"3M CO DATA STORAGE PRODUCTS DIV.1300 N 3M DR, WAHPETON NORTH DAKOTA 58075 (RICHLAND)",0,C,,
58075MNNDK7525R,-96.616,46.324,False,38,077,970900,38,38077,38077970900,1400000US38077970900,MINN-DAK FARMERS  COOPERATIVE,7525 RED RIVER RD,WAHPETON,ND,580759698,"MINN-DAK FARMERS  COOPERATIVE.7525 RED RIVER RD, WAHPETON NORTH DAKOTA 58075 (RICHLAND)",0,C,,110022356831
58075PRMBR2441N,-96.62200000000001,46.29600000000001,False,38,077,970900,38,38077,38077970900,1400000US38077970900,MASONITE PRIMEBOARD INC,2441 N 15TH ST,WAHPETON,ND,58075,"MASONITE PRIMEBOARD INC.2441 N 15TH ST, WAHPETON NORTH DAKOTA 58075 (RICHLAND)",0,C,,110015679942
58078CRGLL2507T,-96.898,46.88399999999999,False,38,017,040400,38,38017,38017040400,1400000US38017040400,CARGILL INC,250 7TH AVE NE,WEST FARGO,ND,58078,"CARGILL INC.250 7TH AVE NE, WEST FARGO NORTH DAKOTA 58078 (CASS)",0,C,,110012478390
58078KCHMT600CE,-96.9,46.883,False,38,017,040400,38,38017,38017040400,1400000US38017040400,FLINT HILLS RESOURCES PINE BEND LLC WEST FARGO,600 CENTER ST,WEST FARGO,ND,58078,"FLINT HILLS RESOURCES PINE BEND LLC WEST FARGO.600 CENTER ST, WEST FARGO NORTH DAKOTA 58078 (CASS)",0,C,,110010350208
5807WSTRTC2112A,-96.90100000000001,46.891000000000005,False,38,017,040400,38,38017,38017040400,1400000US38017040400,STRATA CONCRETE WEST FARGO,210 12 AVE NW,WEST FARGO,ND,58078,"STRATA CONCRETE WEST FARGO.210 12 AVE NW, WEST FARGO NORTH DAKOTA 58078 (CASS)",0,C,,110059643079
58102CLSSC1617M,-96.822,46.881,False,38,017,000600,38,38017,38017000600,1400000US38017000600,CLASSIC ROADSTERS LTD,401 NW 27TH ST,FARGO,ND,58102,"CLASSIC ROADSTERS LTD.401 NW 27TH ST, FARGO NORTH DAKOTA 58102 (CASS)",0,C,,
58102GPKPR17203,-96.81,46.879,False,38,017,000600,38,38017,38017000600,1400000US38017000600,GPK PRODS INC,1720 3RD AVE N,FARGO,ND,58102,"GPK PRODS INC.1720 3RD AVE N, FARGO NORTH DAKOTA 58102 (CASS)",1,C,,
