TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
68005DXPTR11202,-95.948,41.147,False,31,153,010501,31,31153,31153010501,1400000US31153010501,DPC INDUSTRIES INC,11202 S 25TH ST,BELLEVUE,NE,68123,"DPC INDUSTRIES INC.11202 S 25TH ST, BELLEVUE NEBRASKA 68123 (SARPY)",0,C,,110000447348
68147TRJTW7025S,-95.95100000000001,41.18899999999999,False,31,153,010501,31,31153,31153010501,1400000US31153010501,TRAJET PRODUCTS,7025 SARPY AVE,BELLEVUE,NE,68147,"TRAJET PRODUCTS.7025 SARPY AVE, BELLEVUE NEBRASKA 68147 (SARPY)",0,C,,
68022BRMKM150BI,-96.23299999999999,41.276,False,31,055,007512,31,31055,31055007512,1400000US31055007512,BRUMKO MAGNETICS CORP,150 BINFIELD ST,ELKHORN,NE,68022,"BRUMKO MAGNETICS CORP.150 BINFIELD ST, ELKHORN NEBRASKA 68022 (DOUGLAS)",0,C,,
68022RDYMX848N1,-96.21600000000001,41.266999999999996,False,31,055,007512,31,31055,31055007512,1400000US31055007512,READY MIXED CONCRETE CO  ELKHORN PLANT,848 N 192ND ST,ELKHORN,NE,68022,"READY MIXED CONCRETE CO  ELKHORN PLANT.848 N 192ND ST, ELKHORN NEBRASKA 68022 (DOUGLAS)",0,C,,110015713628
6302WCNCRT2395H,-96.234,41.282,False,31,055,007512,31,31055,31055007512,1400000US31055007512,CONCRETE SUPPLY,20395 OHIO ST,ELKHORN,NE,68022,"CONCRETE SUPPLY.20395 OHIO ST, ELKHORN NEBRASKA 68022 (DOUGLAS)",0,C,,110045901832
68025CMPBL900FA,-96.488,41.425,False,31,053,964400,31,31053,31053964400,1400000US31053964400,CAMPBELL SOUP CO,900 FACTORY ST,FREMONT,NE,68025,"CAMPBELL SOUP CO.900 FACTORY ST, FREMONT NEBRASKA 68025 (DODGE)",0,C,,
68025FRMLN330EA,-96.495,41.419,False,31,053,964400,31,31053,31053964400,1400000US31053964400,LAND O'LAKES PURINA FEED LLC - FREMONT,330 E CLOVERLY RD,FREMONT,NE,68025,"LAND O'LAKES PURINA FEED LLC - FREMONT.330 E CLOVERLY RD, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110000447384
68025GHRML900SO,-96.485,41.423,False,31,053,964400,31,31053,31053964400,1400000US31053964400,WHOLESTONE FARMS COOPERATIVE INC,900 S PLATTE AVE,FREMONT,NE,68025,"WHOLESTONE FARMS COOPERATIVE INC.900 S PLATTE AVE, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110000555550
68025VGRTN943SS,-96.49,41.42100000000001,False,31,053,964400,31,31053,31053964400,1400000US31053964400,PROVIMI NA INC,943 S SCHNEIDER,FREMONT,NE,68025,"PROVIMI NA INC.943 S SCHNEIDER, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110000447446
68025MGNSFSOUTH,-96.48200000000001,41.423,False,31,053,964300,31,31053,31053964300,1400000US31053964300,MAGNUS LLC,1300 MORNINGSIDE RD,FREMONT,NE,68025,"MAGNUS LLC.1300 MORNINGSIDE RD, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110000447419
68025CTYFF2701E,-96.461,41.428000000000004,False,31,053,964300,31,31053,31053964300,1400000US31053964300,CITY OF FREMONT DEPARTMENT OF UTILITIES LON D WRIGHT POWER,2701 E FIRST ST,FREMONT,NE,68025,"CITY OF FREMONT DEPARTMENT OF UTILITIES LON D WRIGHT POWER.2701 E FIRST ST, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110040983308
68025LGRFR905SD,-96.473,41.42,False,31,053,964300,31,31053,31053964300,1400000US31053964300,OILGEAR FREMONT DIV,905 S DOWNING ST,FREMONT,NE,68025,"OILGEAR FREMONT DIV.905 S DOWNING ST, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110000447400
68025PLTTC150SO,-96.49600000000001,41.428999999999995,False,31,053,964200,31,31053,31053964200,1400000US31053964200,PLATTE CHEMICAL COMPANY,150 S MAIN,FREMONT,NE,68025,"PLATTE CHEMICAL COMPANY.150 S MAIN, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110000447428
68025RCHRD130NB,-96.499,41.431000000000004,False,31,053,964200,31,31053,31053964200,1400000US31053964200,ADM,130 N BROAD ST,FREMONT,NE,68025,"ADM.130 N BROAD ST, FREMONT NEBRASKA 68025 (DODGE)",0,C,,110000447437
68025GLDNS950SO,-96.492,41.438,False,31,053,964200,31,31053,31053964200,1400000US31053964200,GOLDEN SUN FEEDS INC,950 UNION ST,FREMONT,NE,68025,"GOLDEN SUN FEEDS INC.950 UNION ST, FREMONT NEBRASKA 68025 (DODGE)",1,C,,
68025SPRSW131NO,-96.499,41.431000000000004,False,31,053,964200,31,31053,31053964200,1400000US31053964200,SUPERSWEET FEEDS,131 N BROAD,FREMONT,NE,68025,"SUPERSWEET FEEDS.131 N BROAD, FREMONT NEBRASKA 68025 (DODGE)",0,C,,
68037SHGRVJUNCT,-96.155,41.006,False,31,025,965700,31,31025,31025965700,1400000US31025965700,ASH GROVE CEMENT CO,16215 HWY 50,LOUISVILLE,NE,68037,"ASH GROVE CEMENT CO.16215 HWY 50, LOUISVILLE NEBRASKA 68037 (CASS)",0,C,,110000596793
