TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
03038DYNCC4TINK,-71.329,42.895,False,33,015,003400,33,33015,33015003400,1400000US33015003400,DYNACO CORP,4 TINKHAM AVE,DERRY,NH,3038,"DYNACO CORP.4 TINKHAM AVE, DERRY NEW HAMPSHIRE 03038 (ROCKINGHAM)",0,C,,
03038LLNBR3MANC,-71.328,42.894,False,33,015,003400,33,33015,33015003400,1400000US33015003400,FIREYE INC,3 MANCHESTER RD,DERRY,NH,3038,"FIREYE INC.3 MANCHESTER RD, DERRY NEW HAMPSHIRE 03038 (ROCKINGHAM)",0,C,,110009420830
03038MCCRD8ATIN,-71.33,42.894,False,33,015,003400,33,33015,33015003400,1400000US33015003400,MCCORD WINN TEXTRON,8A TINKHAM AVE,DERRY,NH,3038,"MCCORD WINN TEXTRON.8A TINKHAM AVE, DERRY NEW HAMPSHIRE 03038 (ROCKINGHAM)",1,C,,
03038SCNCX20AST,-71.335,42.894,False,33,015,003400,33,33015,33015003400,1400000US33015003400,US CAN CO DERRY PLANT #24,20 A ST,DERRY,NH,3038,"US CAN CO DERRY PLANT #24.20 A ST, DERRY NEW HAMPSHIRE 03038 (ROCKINGHAM)",1,C,,
03038LCTRN3TSIE,-71.317,42.89,True,33,015,003400,33,33015,33015003400,1400000US33015003400,ELECTRONICS CORP OF AMERICA,3 TSIENNETO RD,DERRY,NH,3038,"ELECTRONICS CORP OF AMERICA 3 TSIENNETO RD, DERRY, NH, 3038",0,C,,
03038HDCCRRT28M,-71.328,42.895,False,33,015,003302,33,33015,33015003302,1400000US33015003302,SANMINA-SCI CORP HADCO CORP A SUBSIDIARY,7 MANCHESTER RD 2  TREASURE LN,DERRY,NH,30383031,"SANMINA-SCI CORP HADCO CORP A SUBSIDIARY.7 MANCHESTER RD 2  TREASURE LN, DERRY NEW HAMPSHIRE 03038 (ROCKINGHAM)",0,C,,
03047STCSTRTE31,-72.388,43.343,False,33,019,975800,33,33019,33019975800,1400000US33019975800,CANAM STEEL CORP,386 RIVER RD,CLAREMONT,NH,3743,"CANAM STEEL CORP.386 RIVER RD, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,110000771816
03743CLRMNRFDNU,-72.378,43.368,False,33,019,975800,33,33019,33019975800,1400000US33019975800,CLAREMONT OSB PLANT,RFD #2 RIVER RD,CLAREMONT,NH,3743,"CLAREMONT OSB PLANT.RFD #2 RIVER RD, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,
03743CPMNC131SU,-72.347,43.373999999999995,False,33,019,975800,33,33019,33019975800,1400000US33019975800,CPM INC,131 SULLIVAN ST,CLAREMONT,NH,37438410,"CPM INC.131 SULLIVAN ST, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,
03743DRTMTSULLI,-72.347,43.373999999999995,False,33,019,975800,33,33019,33019975800,1400000US33019975800,HOMESTEAD INDUSTRIES INC,R2 BOX 752 SULLIVAN ST,CLAREMONT,NH,3743,"HOMESTEAD INDUSTRIES INC.R2 BOX 752 SULLIVAN ST, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,
03743JYTCHGRISS,-72.384,43.342,False,33,019,975800,33,33019,33019975800,1400000US33019975800,CLAREMONT FOUNDRY INC,GRISSOM LN,CLAREMONT,NH,3743,"CLAREMONT FOUNDRY INC.GRISSOM LN, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,
03743SLLVNRIVER,-72.388,43.343999999999994,False,33,019,975800,33,33019,33019975800,1400000US33019975800,"SULLIVAN-PALATEK, INC.",386 RIVER RD,CLAREMONT,NH,3743,"SULLIVAN-PALATEK, INC..386 RIVER RD, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",1,C,,110000602982
03743CYPPRPLAIN,-72.377,43.391000000000005,False,33,019,975800,33,33019,33019975800,1400000US33019975800,COY PAPER CO,PLAINS RD,CLAREMONT,NH,3743,"COY PAPER CO.PLAINS RD, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,
03743PCPPR130SU,-72.346,43.373000000000005,False,33,019,975800,33,33019,33019975800,1400000US33019975800,APC PAPER CO,130 SULLIVAN ST,CLAREMONT,NH,3743,"APC PAPER CO.130 SULLIVAN ST, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,110001522745
03743STCSTRTE12,-72.39,43.342,False,33,019,975800,33,33019,33019975800,1400000US33019975800,EAST COAST STEEL INC,RTE 12A INTERSECTION OF RIVER RD & GRISSOM LN,CLAREMONT,NH,3743,"EAST COAST STEEL INC.RTE 12A INTERSECTION OF RIVER RD & GRISSOM LN, CLAREMONT NEW HAMPSHIRE 03743 (SULLIVAN)",0,C,,
