TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
07001CLBNC255BL,-74.257,40.577,False,34,023,009000,34,34023,34023009000,1400000US34023009000,ECOLAB INC,255 BLAIR RD,AVENEL,NJ,7001,"ECOLAB INC.255 BLAIR RD, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,
07001PLTLB267HO,-74.257,40.578,False,34,023,009000,34,34023,34023009000,1400000US34023009000,PILOT LABORATORIES,267 HOMESTEAD AVE,AVENEL,NJ,7001,"PILOT LABORATORIES.267 HOMESTEAD AVE, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,110000317773
07001PQCRP1PADD,-74.273,40.586,False,34,023,009000,34,34023,34023009000,1400000US34023009000,PQ CORP RAHWAY,2 PADDOCK ST,AVENEL,NJ,70011898,"PQ CORP RAHWAY.2 PADDOCK ST, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,
07001THGRY130ES,-74.262,40.576,False,34,023,009000,34,34023,34023009000,1400000US34023009000,GRAY ENVELOPE MANUFACTURING CO INC,130 ESSEX AVE E,AVENEL,NJ,7001,"GRAY ENVELOPE MANUFACTURING CO INC.130 ESSEX AVE E, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,
07001THPRC100ES,-74.262,40.577,False,34,023,009000,34,34023,34023009000,1400000US34023009000,THE PROCTER & GAMBLE CO,100 ESSEX AVE E,AVENEL,NJ,7001,"THE PROCTER & GAMBLE CO.100 ESSEX AVE E, AVENEL NEW JERSEY 07001 (MIDDLESEX)",1,C,,110000317782
07095LCNBL11CRA,-74.255,40.595,False,34,023,009000,34,34023,34023009000,1400000US34023009000,GENTEK BUILDING PRODUCTS,11 CRAGWOOD RD,AVENEL,NJ,7001,"GENTEK BUILDING PRODUCTS.11 CRAGWOOD RD, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,110000319236
07001PRDSL211RA,-74.258,40.597,False,34,023,009000,34,34023,34023009000,1400000US34023009000,PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,211 RANDOLPH AVE,AVENEL,NJ,7001,"PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY.211 RANDOLPH AVE, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,110000322561
07001TRMTR36MIL,-74.252,40.599000000000004,False,34,023,009000,34,34023,34023009000,1400000US34023009000,PRIDE SOLVENTS & CHEMICAL CO OF NJ,36 MILEED WAY,AVENEL,NJ,7001,"PRIDE SOLVENTS & CHEMICAL CO OF NJ.36 MILEED WAY, AVENEL NEW JERSEY 07001 (MIDDLESEX)",1,C,,110000317791
07001VNWTR160ES,-74.26100000000001,40.575,False,34,023,009000,34,34023,34023009000,1400000US34023009000,VAN WATERS & ROGERS INC,160 ESSEX AVE,AVENEL,NJ,70012020,"VAN WATERS & ROGERS INC.160 ESSEX AVE, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,
07001CNTNN10PRO,-74.272,40.583,True,34,023,009000,34,34023,34023009000,1400000US34023009000,CONTINENTAL PLASTICS CO CHEMICALS INC,10 PRODUCTION WAY,AVENEL,NJ,7001,"CONTINENTAL PLASTICS CO CHEMICALS INC 10 PRODUCTION WAY, AVENEL, NJ, 7001",1,C,,
07001CPCHMTERMI,-74.265,40.595,True,34,023,009000,34,34023,34023009000,1400000US34023009000,CP CHEMICALS INC AVENEL WAREHOUSE,TERMINAL WAY OFF RANDOLF AVE,AVENEL,NJ,70010021,"CP CHEMICALS INC AVENEL WAREHOUSE TERMINAL WAY OFF RANDOLF AVE, AVENEL, NJ, 70010021",1,C,,
07001GNRLD150AV,-74.274,40.579,False,34,023,002703,34,34023,34023002703,1400000US34023002703,GENERAL DYNAMICS ELECTRO DYNAMIC,150 AVENEL ST,AVENEL,NJ,7001,"GENERAL DYNAMICS ELECTRO DYNAMIC.150 AVENEL ST, AVENEL NEW JERSEY 07001 (MIDDLESEX)",0,C,,
07002BSTFD99AVE,-74.141,40.650999999999996,False,34,017,011500,34,34017,34017011500,1400000US34017011500,CPC INTL  INC  BEST FOODS,99 AVE  A,BAYONNE,NJ,70020307,"CPC INTL  INC  BEST FOODS.99 AVE  A, BAYONNE NEW JERSEY 07002 (HUDSON)",0,C,,
07002CSCHM40AVE,-74.141,40.649,False,34,017,011500,34,34017,34017011500,1400000US34017011500,VERTELLUS PERFORMANCE MATERIALS INC,40 AVE A,BAYONNE,NJ,7002,"VERTELLUS PERFORMANCE MATERIALS INC.40 AVE A, BAYONNE NEW JERSEY 07002 (HUDSON)",0,C,,110000317844
07002CMRCS229EA,-74.10600000000001,40.659,False,34,017,010800,34,34017,34017010800,1400000US34017010800,AGC CHEMICALS AMERICAS INC,229 E 22ND ST,BAYONNE,NJ,7002,"AGC CHEMICALS AMERICAS INC.229 E 22ND ST, BAYONNE NEW JERSEY 07002 (HUDSON)",0,C,,110000317835
07002KNRCH140E2,-74.107,40.656,False,34,017,010800,34,34017,34017010800,1400000US34017010800,"KENRICH PETROCHEMICALS, INC.",140 EAST 22ND STREET,BAYONNE,NJ,7002,"KENRICH PETROCHEMICALS, INC..140 EAST 22ND STREET, BAYONNE NEW JERSEY 07002 (HUDSON)",1,C,,110000317853
07002RNPRL4HOOK,-74.09899999999999,40.652,False,34,017,010800,34,34017,34017010800,1400000US34017010800,RONA,4 HOOK RD,BAYONNE,NJ,7002,"RONA.4 HOOK RD, BAYONNE NEW JERSEY 07002 (HUDSON)",1,C,,
07002XXNCH250EA,-74.096,40.654,False,34,017,010800,34,34017,34017010800,1400000US34017010800,EXXON CHEMICAL CO BAYONNE CHEMICAL PLANT,250 E 22ND ST,BAYONNE,NJ,7002,"EXXON CHEMICAL CO BAYONNE CHEMICAL PLANT.250 E 22ND ST, BAYONNE NEW JERSEY 07002 (HUDSON)",0,C,,
07002BYNNL1AVEJ,-74.10300000000001,40.658,False,34,017,010800,34,34017,34017010800,1400000US34017010800,EXXONMOBIL BAYONNE LUBRICANTS PLANT,1 AVE J,BAYONNE,NJ,7002,"EXXONMOBIL BAYONNE LUBRICANTS PLANT.1 AVE J, BAYONNE NEW JERSEY 07002 (HUDSON)",0,C,,110000317817
