TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
87004SHLLNNORTH,-106.53399999999999,35.319,False,35,043,010503,35,35043,35043010503,1400000US35043010503,SHOLLENBARGER WOOD TREATING INC,318 N HILL RD,BERNALILLO,NM,87004,"SHOLLENBARGER WOOD TREATING INC.318 N HILL RD, BERNALILLO NEW MEXICO 87004 (SANDOVAL)",0,C,,
87022WLLCLCOORS,-106.822,34.916,False,35,001,940700,35,35001,35001940700,1400000US35001940700,WALL COLMONOY CORP ISLETA PLANT,15 TRIBAL RD 64,ISLETA,NM,87022,"WALL COLMONOY CORP ISLETA PLANT.15 TRIBAL RD 64, ISLETA NEW MEXICO 87022 (BERNALILLO)",0,C,,
87102BRDNN333AS,-106.648,35.101,False,35,001,002700,35,35001,35001002700,1400000US35001002700,BORDEN INC,333 ASPEN NW,ALBUQUERQUE,NM,87102,"BORDEN INC.333 ASPEN NW, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,
87102CRMLN19112,-106.646,35.103,False,35,001,002700,35,35001,35001002700,1400000US35001002700,DEAN DAIRY HOLDINGS LLC  DBA CREAMLAND DAIRIES LLC,1911 SECOND ST NW,ALBUQUERQUE,NM,87102,"DEAN DAIRY HOLDINGS LLC  DBA CREAMLAND DAIRIES LLC.1911 SECOND ST NW, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,110000472337
87102NTNLR650HA,-106.652,35.103,False,35,001,002700,35,35001,35001002700,1400000US35001002700,NATIONAL RESEARCH LABORATORIES INC,650 HAINES AVE NW,ALBUQUERQUE,NM,87102,"NATIONAL RESEARCH LABORATORIES INC.650 HAINES AVE NW, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,110004273287
87102PLSCG197TH,-106.65299999999999,35.104,False,35,001,002700,35,35001,35001002700,1400000US35001002700,G&K DEV CO INC DBA PLASCO SALES,1900 7TH ST NW,ALBUQUERQUE,NM,87102,"G&K DEV CO INC DBA PLASCO SALES.1900 7TH ST NW, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,110064282084
87102SNDMR14241,-106.646,35.097,False,35,001,002700,35,35001,35001002700,1400000US35001002700,AJ MAES DBA SANDIA MARBLE,1424 1ST ST NW,ALBUQUERQUE,NM,87102,"AJ MAES DBA SANDIA MARBLE.1424 1ST ST NW, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,110038861407
87102DXPTR3501S,-106.65700000000001,35.033,False,35,001,004001,35,35001,35001004001,1400000US35001004001,DPC INDUSTRIES INC,3501 2ND ST SW,ALBUQUERQUE,NM,87105,"DPC INDUSTRIES INC.3501 2ND ST SW, ALBUQUERQUE NEW MEXICO 87105 (BERNALILLO)",0,C,,110000472346
87102GRCRF336WO,-106.65,35.049,False,35,001,004001,35,35001,35001004001,1400000US35001004001,GE AVIATION ALBUQUERQUE,336 WOODWARD RD SE,ALBUQUERQUE,NM,87102,"GE AVIATION ALBUQUERQUE.336 WOODWARD RD SE, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,110000472355
87102LNCNT20014,-106.654,35.066,False,35,001,004001,35,35001,35001004001,1400000US35001004001,EL ENCANTO INC,2001 4TH ST SW,ALBUQUERQUE,NM,87102,"EL ENCANTO INC.2001 4TH ST SW, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,
87102WLLBR215RO,-106.66,35.03,False,35,001,004001,35,35001,35001004001,1400000US35001004001,WELLBORN DE CORP,215 ROSSMOOR RD SW,ALBUQUERQUE,NM,87102,"WELLBORN DE CORP.215 ROSSMOOR RD SW, ALBUQUERQUE NEW MEXICO 87102 (BERNALILLO)",0,C,,
87110LBQRQ6348S,-106.65799999999999,34.991,False,35,001,004001,35,35001,35001004001,1400000US35001004001,ALBUQUERQUE REFINED PRODUCTS T ERMINAL,6348 STATE RD 303,ALBUQUERQUE,NM,87110,"ALBUQUERQUE REFINED PRODUCTS T ERMINAL.6348 STATE RD 303, ALBUQUERQUE NEW MEXICO 87110 (BERNALILLO)",0,C,,110000472417
