TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
89015GLDBN1001O,-114.954,36.077,False,32,003,005437,32,32003,32003005437,1400000US32003005437,UNILEVER MANUFACTURING (US) INC,1001 OLSEN ST,HENDERSON,NV,89011,"UNILEVER MANUFACTURING (US) INC.1001 OLSEN ST, HENDERSON NEVADA 89011 (CLARK)",0,C,,110000472694
89015KRRMC8000L,-115.0,36.035,False,32,003,005200,32,32003,32003005200,1400000US32003005200,EMD ACQUISITION LLC,560 W LAKE MEAD PKWY,HENDERSON,NV,89015,"EMD ACQUISITION LLC.560 W LAKE MEAD PKWY, HENDERSON NEVADA 89015 (CLARK)",0,C,,110043808467
89015PCFCN8201G,-115.029,36.058,False,32,003,005105,32,32003,32003005105,1400000US32003005105,PACIFIC ENGINEERING & PRODUCTION CO OF NEVADA,8291 GIBSON RD,HENDERSON,NV,89015,"PACIFIC ENGINEERING & PRODUCTION CO OF NEVADA.8291 GIBSON RD, HENDERSON NEVADA 89015 (CLARK)",0,C,,
89015PNRCH8000L,-115.007,36.041,False,32,003,005105,32,32003,32003005105,1400000US32003005105,PIONEER AMERICAS LLC D/B/A OLIN CHLOR ALKALI PRODUCTS,350 FOURTH ST,HENDERSON,NV,89015,"PIONEER AMERICAS LLC D/B/A OLIN CHLOR ALKALI PRODUCTS.350 FOURTH ST, HENDERSON NEVADA 89015 (CLARK)",0,C,,110042074457
89015TTNMMPOBOX,-114.99600000000001,36.041,False,32,003,005105,32,32003,32003005105,1400000US32003005105,TITANIUM METALS CORP,181 N WATER ST,HENDERSON,NV,89015,"TITANIUM METALS CORP.181 N WATER ST, HENDERSON NEVADA 89015 (CLARK)",0,C,,110046475881
89015THTCH7300L,-115.01799999999999,36.034,False,32,003,005105,32,32003,32003005105,1400000US32003005105,THATCHER CO OF NEVADA,90 BUSINESS CENTER STREET,HENDERSON,NV,89014,"THATCHER CO OF NEVADA.90 BUSINESS CENTER STREET, HENDERSON NEVADA 89014 (CLARK)",0,C,,110000579008
89015MNRLF430EA,-115.02,36.058,False,32,003,005105,32,32003,32003005105,1400000US32003005105,BORAL ROOFING - HENDERSON,430 EASTGATE RD,HENDERSON,NV,89011,"BORAL ROOFING - HENDERSON.430 EASTGATE RD, HENDERSON NEVADA 89011 (CLARK)",0,C,,110001560926
89015LSVGSEASTG,-115.02,36.06,False,32,003,005105,32,32003,32003005105,1400000US32003005105,LAS VEGAS PAVING CORP,EASTGATE RD & CAPE HORN DR,HENDERSON,NV,89015,"LAS VEGAS PAVING CORP.EASTGATE RD & CAPE HORN DR, HENDERSON NEVADA 89015 (CLARK)",0,C,,110025332209
89015SRVCR8354T,-115.006,36.037,False,32,003,005105,32,32003,32003005105,1400000US32003005105,SERVICE ROCK PRODUCTS INC - 4TH STREET,8350 4TH ST,HENDERSON,NV,89015,"SERVICE ROCK PRODUCTS INC - 4TH STREET.8350 4TH ST, HENDERSON NEVADA 89015 (CLARK)",0,C,,110020516752
89015RNKRM75CAP,-115.02600000000001,36.06,False,32,003,005105,32,32003,32003005105,1400000US32003005105,RINKER MATERIALS HENDERSON 1854,750 CAPEHORN,HENDERSON,NV,89015,"RINKER MATERIALS HENDERSON 1854.750 CAPEHORN, HENDERSON NEVADA 89015 (CLARK)",0,C,,
