TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
10012CNCRD30GRE,-73.993,40.727,False,36,061,005502,36,36061,36061005502,1400000US36061005502,CONCORD ELECTRONICS CORP,35 GREAT JONES ST,NEW YORK,NY,10012,"CONCORD ELECTRONICS CORP.35 GREAT JONES ST, NEW YORK NEW YORK 10012 (NEW YORK)",0,C,,110004342177
10014PRFCT200VA,-74.005,40.728,False,36,061,003700,36,36061,36061003700,1400000US36061003700,PERFECT FINISHING CO,200 VARICK ST,NEW YORK,NY,10014,"PERFECT FINISHING CO.200 VARICK ST, NEW YORK NEW YORK 10014 (NEW YORK)",0,C,,
10022DSNPR409EA,-73.961,40.76,False,36,061,010602,36,36061,36061010602,1400000US36061010602,EDISON PRICE INC,409 E 60TH ST,NEW YORK,NY,10022,"EDISON PRICE INC.409 E 60TH ST, NEW YORK NEW YORK 10022 (NEW YORK)",0,C,,
10023MSGMN225W6,-73.988,40.771,False,36,061,014700,36,36061,36061014700,1400000US36061014700,EMSIG MANUFACTURING CORP,225 W 60TH ST,NEW YORK,NY,10023,"EMSIG MANUFACTURING CORP.225 W 60TH ST, NEW YORK NEW YORK 10023 (NEW YORK)",0,C,,
10027LNCRP608WE,-73.957,40.818000000000005,False,36,061,021900,36,36061,36061021900,1400000US36061021900,OLIN CORP OLIN WATER SERVICES,608 W 132ND ST,NEW YORK,NY,10027,"OLIN CORP OLIN WATER SERVICES.608 W 132ND ST, NEW YORK NEW YORK 10027 (NEW YORK)",0,C,,
10034MGCNV304DY,-73.93,40.868,False,36,061,029700,36,36061,36061029700,1400000US36061029700,MAGIC NOVELTY CO INC,308 DYCKMAN ST,NEW YORK,NY,10034,"MAGIC NOVELTY CO INC.308 DYCKMAN ST, NEW YORK NEW YORK 10034 (NEW YORK)",0,C,,110055582604
10036FTRNT130WE,-73.983,40.758,False,36,061,012500,36,36061,36061012500,1400000US36061012500,FEATURE ENTERPRISES INC,130 WEST 46TH ST,NEW YORK,NY,10036,"FEATURE ENTERPRISES INC.130 WEST 46TH ST, NEW YORK NEW YORK 10036 (NEW YORK)",0,C,,
10303PRCTR40WES,-74.18,40.64,False,36,085,032300,36,36085,36085032300,1400000US36085032300,PROCTER & GAMBLE MFG CO,40 WESTERN AVE,STATEN ISLAND,NY,10303,"PROCTER & GAMBLE MFG CO.40 WESTERN AVE, STATEN ISLAND NEW YORK 10303 (RICHMOND)",0,C,,
10305SNCHM441TO,-74.07300000000001,40.615,False,36,085,000800,36,36085,36085000800,1400000US36085000800,SUN CHEMICAL CORP,441 TOMPKINS AVE,STATEN ISLAND,NY,10305,"SUN CHEMICAL CORP.441 TOMPKINS AVE, STATEN ISLAND NEW YORK 10305 (RICHMOND)",0,C,,110019125178
10307TTNSS1NASS,-74.233,40.521,False,36,085,022600,36,36085,36085022600,1400000US36085022600,LUCENT TECHNOLOGIES NASSAU METALS,236 RICHMOND VALLEY ROAD,STATEN ISLAND,NY,10309,"LUCENT TECHNOLOGIES NASSAU METALS.236 RICHMOND VALLEY ROAD, STATEN ISLAND NEW YORK 10309 (RICHMOND)",0,C,,
