TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
43004CLMBS1385B,-82.834,39.994,False,39,049,007396,39,39049,39049007396,1400000US39049007396,COLUMBUS STEEL DRUM CO,1385 BLATT BLVD,BLACKLICK,OH,430049766,"COLUMBUS STEEL DRUM CO.1385 BLATT BLVD, BLACKLICK OHIO 43004 (FRANKLIN)",0,C,,
43004CLMBS1410B,-82.829,39.994,False,39,049,007396,39,39049,39049007396,1400000US39049007396,MAUSER USA LLC,1410 BLATT BLVD,BLACKLICK,OH,43004,"MAUSER USA LLC.1410 BLATT BLVD, BLACKLICK OHIO 43004 (FRANKLIN)",0,C,,110042056887
43004SRFCR1333R,-82.836,39.992,False,39,049,007396,39,39049,39049007396,1400000US39049007396,SURFACE RESEARCH CORP,1333 RESEARCH RD,BLACKLICK,OH,430040535,"SURFACE RESEARCH CORP.1333 RESEARCH RD, BLACKLICK OHIO 43004 (FRANKLIN)",0,C,,
43004THMCG860TA,-82.836,39.998000000000005,False,39,049,007396,39,39049,39049007396,1400000US39049007396,MCGRAW-HILL COMPANIES INC EDUCATIONAL & PROFESSIONAL PUBLISH,860 TAYLOR STATION RD,BLACKLICK,OH,43004,"MCGRAW-HILL COMPANIES INC EDUCATIONAL & PROFESSIONAL PUBLISH.860 TAYLOR STATION RD, BLACKLICK OHIO 43004 (FRANKLIN)",0,C,,110000381337
43004NNVTV6635T,-82.818,40.001,False,39,049,007396,39,39049,39049007396,1400000US39049007396,INNOVATIVE MANUFACTURING INC,6635 TAYLOR RD,BLACKLICK,OH,430049600,"INNOVATIVE MANUFACTURING INC.6635 TAYLOR RD, BLACKLICK OHIO 43004 (FRANKLIN)",0,C,,
43004DNCRP6635T,-82.818,40.001,False,39,049,007396,39,39049,39049007396,1400000US39049007396,SCHAFER DRIVELINE LLC,6635 TAYLOR RD,BLACKLICK,OH,43004,"SCHAFER DRIVELINE LLC.6635 TAYLOR RD, BLACKLICK OHIO 43004 (FRANKLIN)",0,C,,110008057404
43015CLRCC435PA,-83.084,40.296,False,39,041,010520,39,39041,39041010520,1400000US39041010520,AMANA DELAWARE OPS,435 PARK AVE,DELAWARE,OH,43015,"AMANA DELAWARE OPS.435 PARK AVE, DELAWARE OHIO 43015 (DELAWARE)",0,C,,
43015LBRTC975PI,-83.105,40.283,False,39,041,010520,39,39041,39041010520,1400000US39041010520,LIEBERT CORP,975 PITTSBURGH DR,DELAWARE,OH,43015,"LIEBERT CORP.975 PITTSBURGH DR, DELAWARE OHIO 43015 (DELAWARE)",0,C,,110000894337
43015PPGND760PI,-83.09700000000001,40.284,False,39,041,010520,39,39041,39041010520,1400000US39041010520,PPG INDUSTRIES OHIO INC - DELAWARE,760 PITTSBURGH DR,DELAWARE,OH,43015,"PPG INDUSTRIES OHIO INC - DELAWARE.760 PITTSBURGH DR, DELAWARE OHIO 43015 (DELAWARE)",0,C,,110000381382
43015THFLX970PI,-83.104,40.283,False,39,041,010520,39,39041,39041010520,1400000US39041010520,FLEXIBLE CORP,970 PITTSBURGH DR,DELAWARE,OH,43015,"FLEXIBLE CORP.970 PITTSBURGH DR, DELAWARE OHIO 43015 (DELAWARE)",0,C,,
43015THNPP801PI,-83.098,40.282,False,39,041,010520,39,39041,39041010520,1400000US39041010520,SAM DONG OHIO INC,801 PITTSBURGH DR,DELAWARE,OH,43015,"SAM DONG OHIO INC.801 PITTSBURGH DR, DELAWARE OHIO 43015 (DELAWARE)",0,C,,110000381391
