TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
73005HLLYT505NE,-98.234,35.077,False,40,015,162100,40,00000,40015162100,1400000US40015162100,HOLLYTEX CARPET MILLS INC,505 NE 7TH ST,ANADARKO,OK,73005,"HOLLYTEX CARPET MILLS INC.505 NE 7TH ST, ANADARKO OKLAHOMA 73005 (CADDO PARISH)",0,C,,
73013RLSTN13700,-97.505,35.613,False,40,109,108318,40,40109,40109108318,1400000US40109108318,NESTLE PURINA PETCARE CO,13900 N LINCOLN BLVD,OKLAHOMA CITY,OK,73114,"NESTLE PURINA PETCARE CO.13900 N LINCOLN BLVD, OKLAHOMA CITY OKLAHOMA 73114 (OKLAHOMA)",0,C,,110000453615
73113CMBRC500EM,-97.505,35.609,False,40,109,108318,40,40109,40109108318,1400000US40109108318,ACME BRICK CO OKLAHOMA CITY,500 E MEMORIAL RD,OKLAHOMA CITY,OK,73114,"ACME BRICK CO OKLAHOMA CITY.500 E MEMORIAL RD, OKLAHOMA CITY OKLAHOMA 73114 (OKLAHOMA)",0,C,,110000453811
73114FFCRP222WM,-97.51700000000001,35.609,False,40,109,108318,40,40109,40109108318,1400000US40109108318,FIFE CORP,222 W MEMORIAL RD,OKLAHOMA CITY,OK,73114,"FIFE CORP.222 W MEMORIAL RD, OKLAHOMA CITY OKLAHOMA 73114 (OKLAHOMA)",0,C,,110004745438
7311WBKRHG1271N,-97.514,35.601,False,40,109,108318,40,40109,40109108318,1400000US40109108318,BAKER HUGHES OILFIELD OPERATIONS LLC,12701 N SANTA FE AVE.,OKLAHOMA CITY,OK,73114,"BAKER HUGHES OILFIELD OPERATIONS LLC.12701 N SANTA FE AVE., OKLAHOMA CITY OKLAHOMA 73114 (OKLAHOMA)",0,C,,110067677464
7311WQPMNT341NW,-97.51899999999999,35.595,False,40,109,108318,40,40109,40109108318,1400000US40109108318,EQUIPMENT TECHNOLOGY LLC,341 NW 122ND ST,OKLAHOMA CITY,OK,73114,"EQUIPMENT TECHNOLOGY LLC.341 NW 122ND ST, OKLAHOMA CITY OKLAHOMA 73114 (OKLAHOMA)",0,C,,110070275130
73013WNSLW3409S,-97.488,35.622,False,40,109,108303,40,40109,40109108303,1400000US40109108303,WINSLOW ASSOCIATES INC,3409 S BROADWAY,EDMOND,OK,730134129,"WINSLOW ASSOCIATES INC.3409 S BROADWAY, EDMOND OKLAHOMA 73013 (OKLAHOMA)",0,C,,
73015BTYCR1003N,-98.604,35.102,False,40,015,161800,40,00000,40015161800,1400000US40015161800,BEAUTY CRAFT VANITIES,1003 NE HWY 9,CARNEGIE,OK,73015,"BEAUTY CRAFT VANITIES.1003 NE HWY 9, CARNEGIE OKLAHOMA 73015 (CADDO PARISH)",1,C,,
73018BTYSC302NG,-97.931,35.056,False,40,051,000100,40,40051,40051000100,1400000US40051000100,BAITY SCREW MACHINE PRODUCTS INC,302 N GENEVIEVE ST,CHICKASHA,OK,73018,"BAITY SCREW MACHINE PRODUCTS INC.302 N GENEVIEVE ST, CHICKASHA OKLAHOMA 73018 (GRADY)",0,C,,110000453633
73018MRMNTMETHV,-97.958,35.06,False,40,051,000100,40,40051,40051000100,1400000US40051000100,GABRIEL RIDE CONTROL LLC,700 N INDUSTRIAL BLVD,CHICKASHA,OK,73018,"GABRIEL RIDE CONTROL LLC.700 N INDUSTRIAL BLVD, CHICKASHA OKLAHOMA 73018 (GRADY)",1,C,,110000840948
