TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
97005DLXCH10550,-122.785,45.483999999999995,False,41,067,030401,41,41067,41067030401,1400000US41067030401,DELUXE CHECK PRINTERS INC,10550 SW 5TH ST,BEAVERTON,OR,97005,"DELUXE CHECK PRINTERS INC.10550 SW 5TH ST, BEAVERTON OREGON 97005 (WASHINGTON)",0,C,,
97005WLLMT5550S,-122.78299999999999,45.48,False,41,067,030401,41,41067,41067030401,1400000US41067030401,INTERNATIONAL PAPER CO.  SPECIALTY PR ODUCTS DIV,5570 SW WESTERN AVE,BEAVERTON,OR,97005,"INTERNATIONAL PAPER CO.  SPECIALTY PR ODUCTS DIV.5570 SW WESTERN AVE, BEAVERTON OREGON 97005 (WASHINGTON)",0,C,,110000894550
97075RCRPN10975,-122.789,45.48,False,41,067,030401,41,41067,41067030401,1400000US41067030401,CARPENTER CO,10975 SW 11TH,BEAVERTON,OR,97075,"CARPENTER CO.10975 SW 11TH, BEAVERTON OREGON 97075 (WASHINGTON)",0,C,,
97005VSYST9825S,-122.77799999999999,45.477,False,41,067,030401,41,41067,41067030401,1400000US41067030401,VANGUARD EMS INC,9825 SW SUNSHINE COURT,BEAVERTON,OR,97005,"VANGUARD EMS INC.9825 SW SUNSHINE COURT, BEAVERTON OREGON 97005 (WASHINGTON)",0,C,,110004793643
97005MRCRN10740,-122.788,45.467,False,41,067,031005,41,41067,41067031005,1400000US41067031005,MERCER INDUSTRIES INC,10740 SW DENNEY RD,BEAVERTON,OR,97005,"MERCER INDUSTRIES INC.10740 SW DENNEY RD, BEAVERTON OREGON 97005 (WASHINGTON)",0,C,,
97005RSCNT1270N,-122.84899999999999,45.528999999999996,False,41,067,031611,41,41067,41067031611,1400000US41067031611,YAMAMOTO MFG USA INC,1270 NW 167TH PL,BEAVERTON,OR,970064826,"YAMAMOTO MFG USA INC.1270 NW 167TH PL, BEAVERTON OREGON 97006 (WASHINGTON)",0,C,,
97005TKTRN18850,-122.87,45.527,False,41,067,031609,41,41067,41067031609,1400000US41067031609,TEKTRONIX INC,18850 SW WALKER RD,BEAVERTON,OR,97005,"TEKTRONIX INC.18850 SW WALKER RD, BEAVERTON OREGON 97005 (WASHINGTON)",0,C,,
97006PLNRS1400N,-122.882,45.531000000000006,False,41,067,031609,41,41067,41067031609,1400000US41067031609,PLANAR SYSTEMS INC,1400 NW COMPTON DR,BEAVERTON,OR,970061992,"PLANAR SYSTEMS INC.1400 NW COMPTON DR, BEAVERTON OREGON 97006 (WASHINGTON)",0,C,,
97006BFLRN1050N,-122.882,45.527,False,41,067,031609,41,41067,41067031609,1400000US41067031609,BIPOLAR INTEGRATED TECHNOLOGIES INC,1050 NW COMPTON DR,BEAVERTON,OR,97006,"BIPOLAR INTEGRATED TECHNOLOGIES INC.1050 NW COMPTON DR, BEAVERTON OREGON 97006 (WASHINGTON)",1,C,,
97123GLCRN21480,-122.898,45.538000000000004,False,41,067,031609,41,41067,41067031609,1400000US41067031609,GLACIER NORTHWEST INC HILLSBORO READY-MIX PLANT,21480 NW AMBERWOOD DR,HILLSBORO,OR,97124,"GLACIER NORTHWEST INC HILLSBORO READY-MIX PLANT.21480 NW AMBERWOOD DR, HILLSBORO OREGON 97124 (WASHINGTON)",0,C,,110004817994
