TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
15001JLSTR111ST,-80.243,40.619,False,42,007,605700,42,42007,42007605700,1400000US42007605700,J & L STRUCTURAL INC,111 STATION ST,ALIQUIPPA,PA,15001,"J & L STRUCTURAL INC.111 STATION ST, ALIQUIPPA PENNSYLVANIA 15001 (BEAVER)",0,C,,
15001LQPPWFRANK,-80.237,40.607,False,42,007,605700,42,42007,42007605700,1400000US42007605700,LTV STEEL COOMPANY INC ALIQUIPPA WORKS,302 WOODLAWN ROAD,ALIQUIPPA,PA,15001,"LTV STEEL COOMPANY INC ALIQUIPPA WORKS.302 WOODLAWN ROAD, ALIQUIPPA PENNSYLVANIA 15001 (BEAVER)",0,C,,
15001PRCSN2NDER,-80.244,40.64,False,42,007,605700,42,42007,42007605700,1400000US42007605700,PRECISION KIDD STEEL CO,ONE QUALITY WAY,WEST ALIQUIPPA,PA,15001,"PRECISION KIDD STEEL CO.ONE QUALITY WAY, WEST ALIQUIPPA PENNSYLVANIA 15001 (BEAVER)",0,C,,110000328654
15001NTDST1WOOD,-80.23899999999999,40.628,False,42,007,605700,42,42007,42007605700,1400000US42007605700,US GYPSUM CO,1 WOODLAWN RD,ALIQUIPPA,PA,15001,"US GYPSUM CO.1 WOODLAWN RD, ALIQUIPPA PENNSYLVANIA 15001 (BEAVER)",0,C,,110001086547
15003BBCCKDUSSA,-80.232,40.61,False,42,007,603900,42,42007,42007603900,1400000US42007603900,IPSCO KOPPEL TUBULARS CORP,23RD & DUSS AVE,AMBRIDGE,PA,15003,"IPSCO KOPPEL TUBULARS CORP.23RD & DUSS AVE, AMBRIDGE PENNSYLVANIA 15003 (BEAVER)",0,C,,110000582959
1500WNLSTL2975D,-80.226,40.618,False,42,007,603900,42,42007,42007603900,1400000US42007603900,O'NEAL STEEL INC,2975 D US S AVE,AMBRIDGE,PA,15003,"O'NEAL STEEL INC.2975 D US S AVE, AMBRIDGE PENNSYLVANIA 15003 (BEAVER)",0,C,,110004880816
15003HHRBR14THS,-80.234,40.602,False,42,007,604200,42,42007,42007604200,1400000US42007604200,METAL COATERS,500 PERTH DR - NEW ECONOMY BUSINESS PARK,AMBRIDGE,PA,15003,"METAL COATERS.500 PERTH DR - NEW ECONOMY BUSINESS PARK, AMBRIDGE PENNSYLVANIA 15003 (BEAVER)",0,C,,110042036542
15003PRCSN401FO,-80.23,40.597,False,42,007,604200,42,42007,42007604200,1400000US42007604200,PRECISION,401 14TH ST,AMBRIDGE,PA,150032294,"PRECISION.401 14TH ST, AMBRIDGE PENNSYLVANIA 15003 (BEAVER)",0,C,,
15001TRLRC401FO,-80.23,40.597,False,42,007,604200,42,42007,42007604200,1400000US42007604200,J & L STRUCTURAL INC,401 14TH ST,AMBRIDGE,PA,15003,"J & L STRUCTURAL INC.401 14TH ST, AMBRIDGE PENNSYLVANIA 15003 (BEAVER)",0,C,,
15007STHWSMIDDL,-79.96600000000001,40.665,False,42,003,408001,42,42003,42003408001,1400000US42003408001,EXXONMOBIL LUBRICANTS & PETROLEUM SPECIALTIES CO,1031 MIDDLESEX ST BAKERSTOWN PLANT,BAKERSTOWN,PA,15007,"EXXONMOBIL LUBRICANTS & PETROLEUM SPECIALTIES CO.1031 MIDDLESEX ST BAKERSTOWN PLANT, BAKERSTOWN PENNSYLVANIA 15007 (ALLEGHENY)",1,C,,
15007BKRSTMIDDL,-79.967,40.664,False,42,003,408001,42,42003,42003408001,1400000US42003408001,BAKERSTOWN CONTAINER CORP,BOX 51 MIDDLESEX ST,BAKERSTOWN,PA,15007,"BAKERSTOWN CONTAINER CORP.BOX 51 MIDDLESEX ST, BAKERSTOWN PENNSYLVANIA 15007 (ALLEGHENY)",0,C,,
15009WSTNGONETU,-80.32,40.691,False,42,007,602500,42,42007,42007602500,1400000US42007602500,EATON CORP,1 TUSCARAWAS RD,BEAVER,PA,15009,"EATON CORP.1 TUSCARAWAS RD, BEAVER PENNSYLVANIA 15009 (BEAVER)",0,C,,110059925675
15009KMMNF685ST,-80.339,40.68,False,42,007,602500,42,42007,42007602500,1400000US42007602500,KMA MANUFACTURING LLC,685 STATE ST,VANPORT,PA,15009,"KMA MANUFACTURING LLC.685 STATE ST, VANPORT PENNSYLVANIA 15009 (BEAVER)",0,C,,110031020384
15010BBCCKPOBOX,-80.327,40.782,False,42,007,601100,42,42007,42007601100,1400000US42007601100,BABCOCK & WILCOX CO MAIN PLANT BEAVER FALLS,4111 4TH AVE,BEAVER FALLS,PA,15010,"BABCOCK & WILCOX CO MAIN PLANT BEAVER FALLS.4111 4TH AVE, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,
15010BRGHT51045,-80.331,40.784,False,42,007,601100,42,42007,42007601100,1400000US42007601100,BRIGHTON ELECTRIC STEEL CASTING CO,510 45TH ST,BEAVER FALLS,PA,15010,"BRIGHTON ELECTRIC STEEL CASTING CO.510 45TH ST, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,110000328707
15010NVRTR24THS,-80.329,40.771,False,42,007,601100,42,42007,42007601100,1400000US42007601100,SIEMENS WATER TECHNOLOGIES CORP BEAVER FALLS FACILITY,24TH ST EXTENSION & 31ST ST,BEAVER FALLS,PA,15010,"SIEMENS WATER TECHNOLOGIES CORP BEAVER FALLS FACILITY.24TH ST EXTENSION & 31ST ST, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,110000602303
15010LTVST2207T,-80.32,40.744,False,42,007,601300,42,42007,42007601300,1400000US42007601300,KEYSTONE PROFILES LTD,220 7TH AVE,BEAVER FALLS,PA,15010,"KEYSTONE PROFILES LTD.220 7TH AVE, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,110000328716
15010MLTRP14THS,-80.313,40.755,False,42,007,601300,42,42007,42007601300,1400000US42007601300,MOLTRUP STEEL PRODUCTS CO,14TH ST & 2ND AVE,BEAVER FALLS,PA,15010,"MOLTRUP STEEL PRODUCTS CO.14TH ST & 2ND AVE, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,
15010MCDNL5109T,-80.322,40.747,False,42,007,601200,42,42007,42007601200,1400000US42007601200,MCDANEL REFRACTORY CO,510 9TH AVE,BEAVER FALLS,PA,15010,"MCDANEL REFRACTORY CO.510 9TH AVE, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,
15010RMSTR13THS,-80.324,40.751999999999995,False,42,007,601200,42,42007,42007601200,1400000US42007601200,ARMSTRONG WORLD INDUSTRIES,1018 11TH ST,BEAVER FALLS,PA,15010,"ARMSTRONG WORLD INDUSTRIES.1018 11TH ST, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,110001060066
15010STNDRJAMIS,-80.331,40.775999999999996,False,42,007,605200,42,42007,42007605200,1400000US42007605200,STANDARD STEEL SPECIALTY CO,JAMISON ST,WEST MAYFIELD,PA,150100020,"STANDARD STEEL SPECIALTY CO.JAMISON ST, WEST MAYFIELD PENNSYLVANIA 15010 (BEAVER)",0,C,,
15010PCDCR44WTH,-80.333,40.78,False,42,007,605200,42,42007,42007605200,1400000US42007605200,BEAVER FALLS TUBULAR PRODUCTS LLC,4400 W 3RD AVE,BEAVER FALLS,PA,15010,"BEAVER FALLS TUBULAR PRODUCTS LLC.4400 W 3RD AVE, BEAVER FALLS PENNSYLVANIA 15010 (BEAVER)",0,C,,110013351390
15014LLGHNRIVER,-79.729,40.608000000000004,False,42,003,401200,42,42003,42003401200,1400000US42003401200,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,100 RIVER RD,BRACKENRIDGE,PA,15014,"ATI FLAT ROLLED PRODUCTS HOLDINGS LLC.100 RIVER RD, BRACKENRIDGE PENNSYLVANIA 15014 (ALLEGHENY)",0,C,,110000328734
15065HCKTTFEDER,-79.722,40.617,False,42,003,401200,42,42003,42003401200,1400000US42003401200,HARSCO METALS - NATRONA,FEDERAL ST GATE 10 C/O ALLEGHENY LUDLUM STEEL,NATRONA HEIGHTS,PA,15065,"HARSCO METALS - NATRONA.FEDERAL ST GATE 10 C/O ALLEGHENY LUDLUM STEEL, NATRONA HEIGHTS PENNSYLVANIA 15065 (ALLEGHENY)",0,C,,110000329136
15017CYTMPMAYER,-80.1,40.367,False,42,003,458000,42,42003,42003458000,1400000US42003458000,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,600 MAYER ST,BRIDGEVILLE,PA,15017,"UNIVERSAL STAINLESS & ALLOY PRODUCTS INC.600 MAYER ST, BRIDGEVILLE PENNSYLVANIA 15017 (ALLEGHENY)",0,C,,110000328743
15017GNRLLMAYER,-80.10300000000001,40.365,False,42,003,458000,42,42003,42003458000,1400000US42003458000,GE CO BRIDGEVILLE GLASS PLANT,540 MAYER ST,BRIDGEVILLE,PA,15017,"GE CO BRIDGEVILLE GLASS PLANT.540 MAYER ST, BRIDGEVILLE PENNSYLVANIA 15017 (ALLEGHENY)",0,C,,110000328752
15106VVNDMWESTN,-80.111,40.396,False,42,003,458000,42,42003,42003458000,1400000US42003458000,"VIVIANO MACARONI CO, GROCERY",W NOBLESTOWN RD,CARNEGIE,PA,15106,"VIVIANO MACARONI CO, GROCERY.W NOBLESTOWN RD, CARNEGIE PENNSYLVANIA 15106 (ALLEGHENY)",0,C,,
15205LLMRC4590C,-80.13,40.429,False,42,003,458000,42,42003,42003458000,1400000US42003458000,ALL AMERICAN GOURMET CO,4590 CAMPBELLS RUN RD,PITTSBURGH,PA,15205,"ALL AMERICAN GOURMET CO.4590 CAMPBELLS RUN RD, PITTSBURGH PENNSYLVANIA 15205 (ALLEGHENY)",0,C,,
15017MTHWS580MA,-80.10600000000001,40.365,False,42,003,458000,42,42003,42003458000,1400000US42003458000,MATHEWS MARBLE MANUFACTURING,"580 MAYER ST, BLDG 7",BRIDGEVILLE,PA,150172709,"MATHEWS MARBLE MANUFACTURING.580 MAYER ST, BLDG 7, BRIDGEVILLE PENNSYLVANIA 15017 (ALLEGHENY)",0,C,,
