TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
00602BXTRF111CO,-67.185,18.38,False,72,003,430200,72,72003,72003430200,1400000US72003430200,"BAXTER HEALTHCARE CORP, FENWAL DIV",111 COLON ST,AGUADA,PR,602,"BAXTER HEALTHCARE CORP, FENWAL DIV.111 COLON ST, AGUADA PUERTO RICO 00602 (AGUADA MUNICIPIO)",1,C,,
00602BXTRHRD115,-67.191,18.381,False,72,003,430300,72,72003,72003430300,1400000US72003430300,DADE DIAGNOSTICS OF PR INC,RD 115 KM 226,AGUADA,PR,602,"DADE DIAGNOSTICS OF PR INC.RD 115 KM 226, AGUADA PUERTO RICO 00602 (AGUADA MUNICIPIO)",0,C,,
00602ZLTXDURBIN,-67.195,18.38,False,72,003,430300,72,72003,72003430300,1400000US72003430300,ZELTEX PR INC,INDUSTRIAL PARK BLDG T 0993,AGUADA,PR,602,"ZELTEX PR INC.INDUSTRIAL PARK BLDG T 0993, AGUADA PUERTO RICO 00602 (AGUADA MUNICIPIO)",0,C,,
00602SMRTMRD115,-67.191,18.381,False,72,003,430300,72,72003,72003430300,1400000US72003430300,SMART MODULAR TECHNOLOGIES OF PUERTO RICO,RD 115 KM 226 AGUADA INDUSTRIAL PARK,AGUADA,PR,602,"SMART MODULAR TECHNOLOGIES OF PUERTO RICO.RD 115 KM 226 AGUADA INDUSTRIAL PARK, AGUADA PUERTO RICO 00602 (AGUADA MUNICIPIO)",0,C,,110041992742
00605BRNQNPR467,-67.15,18.458,False,72,005,400600,72,72005,72005400600,1400000US72005400600,BORINQUEN DAIRY DIV OF SUIZA DAIRY INC,PR 467 BO CAMASEYES KM 09,AGUADILLA,PR,6050434,"BORINQUEN DAIRY DIV OF SUIZA DAIRY INC.PR 467 BO CAMASEYES KM 09, AGUADILLA PUERTO RICO 00605 (AGUADILLA MUNICIPIO)",0,C,,
00605VNMRBMONTA,-67.141,18.453,False,72,005,400502,72,72005,72005400502,1400000US72005400502,AVON MIRABELLA INC,"MONTANA INDL PARK A ST, LOT 26/27",AGUADILLA,PR,603,"AVON MIRABELLA INC.MONTANA INDL PARK A ST, LOT 26/27, AGUADILLA PUERTO RICO 00603 (AGUADILLA MUNICIPIO)",0,C,,
00605SLCTRLOT10,-67.143,18.449,False,72,005,400502,72,72005,72005400502,1400000US72005400502,SOLECTRON PUERTO RICO AGUADILLA PLANT,LOT 10 & 12 MONTANA INDUSTRIAL RD 459 KM 0.6,AGUADILLA,PR,605,"SOLECTRON PUERTO RICO AGUADILLA PLANT.LOT 10 & 12 MONTANA INDUSTRIAL RD 459 KM 0.6, AGUADILLA PUERTO RICO 00605 (AGUADILLA MUNICIPIO)",0,C,,110013288735
00603SYMMTLAMNT,-67.137,18.456,False,72,005,400502,72,72005,72005400502,1400000US72005400502,SYMMETRICON PUERTO RICO LIMITED,LA MONTANA INDUSTRIAL PARK ST B LOT 52,AGUADILLA,PR,603,"SYMMETRICON PUERTO RICO LIMITED.LA MONTANA INDUSTRIAL PARK ST B LOT 52, AGUADILLA PUERTO RICO 00603 (AGUADILLA MUNICIPIO)",0,C,,110020514816
0060WHPNTRCARR1,-67.137,18.456,False,72,005,400502,72,72005,72005400502,1400000US72005400502,HP INTERNATIONAL TRADING BV (PUERTO RICO BRANCH) LLC,"CARR 110, KM. 5.1",AGUADILLA,PR,603,"HP INTERNATIONAL TRADING BV (PUERTO RICO BRANCH) LLC.CARR 110, KM. 5.1, AGUADILLA PUERTO RICO 00603 (AGUADILLA MUNICIPIO)",0,C,,110067272365
00603DSCFPRD459,-67.144,18.447,True,72,005,400502,72,72005,72005400502,1400000US72005400502,DSC OF PUERTO RICO INC,RD 459 KM 06 LOT 10 MONTANA INDUSTRIAL SITE,AGUADILLA,PR,603,"DSC OF PUERTO RICO INC RD 459 KM 06 LOT 10 MONTANA INDUSTRIAL SITE, AGUADILLA, PR, 603",0,C,,
00607WSTNGRD174,-66.124,18.246,False,72,007,230501,72,72007,72007230501,1400000US72007230501,CUTLER-HAMMER OF PR AGUAS BUENAS PLANT,RTE 174 KM 225,AGUAS BUENAS,PR,703,"CUTLER-HAMMER OF PR AGUAS BUENAS PLANT.RTE 174 KM 225, AGUAS BUENAS PUERTO RICO 00703 (AGUAS BUENAS MUNICIPIO)",0,C,,
00609BRYLCBOLLA,-66.298,18.153,False,72,009,250200,72,72009,72009250200,1400000US72009250200,HARVEY HUBBELL CARIBE INC,STATE RD 725 KM 0.4,AIBONITO,PR,705,"HARVEY HUBBELL CARIBE INC.STATE RD 725 KM 0.4, AIBONITO PUERTO RICO 00705 (AIBONITO MUNICIPIO)",0,C,,110007818362
00705TRCSNRD14K,-66.281,18.13,False,72,009,250200,72,72009,72009250200,1400000US72009250200,TO-RICOS LTD,RD 14 KM 48 BO ASOMANTE,AIBONITO,PR,705,"TO-RICOS LTD.RD 14 KM 48 BO ASOMANTE, AIBONITO PUERTO RICO 00705 (AIBONITO MUNICIPIO)",0,C,,110007805562
00610BXTRHROAD4,-67.137,18.294,False,72,011,810500,72,72011,72011810500,1400000US72011810500,EDWARDS LIFESCIENCES TECHNOLOGY SARL,STATE RD 402 KM 1.4 N LAS MARIAS IND US TRIAL PARK,ANASCO,PR,610,"EDWARDS LIFESCIENCES TECHNOLOGY SARL.STATE RD 402 KM 1.4 N LAS MARIAS IND US TRIAL PARK, ANASCO PUERTO RICO 00610 (ANASCO MUNICIPIO)",0,C,,110042075072
