TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
02806SKNKLBAYSP,-71.348,41.748999999999995,False,44,001,030100,44,44001,44001030100,1400000US44001030100,SEEKONK LACE CO,BAY SPRING AVE,BARRINGTON,RI,2806,"SEEKONK LACE CO.BAY SPRING AVE, BARRINGTON RHODE ISLAND 02806 (BRISTOL)",1,C,,
02808BRDFR1712B,-71.749,41.406000000000006,False,44,009,050902,44,44009,44009050902,1400000US44009050902,BRADFORD DYEING ASSOC INC,460 BRADFORD RD,BRADFORD,RI,28089744,"BRADFORD DYEING ASSOC INC.460 BRADFORD RD, BRADFORD RHODE ISLAND 02808 (WASHINGTON)",0,C,,
02809CJPRSFRANK,-71.268,41.676,False,44,001,030700,44,44001,44001030700,1400000US44001030700,C J PEARSON CO BRISTOL YACHT CO,FRANKLIN ST,BRISTOL,RI,2809,"C J PEARSON CO BRISTOL YACHT CO.FRANKLIN ST, BRISTOL RHODE ISLAND 02809 (BRISTOL)",0,C,,
02809NWNGL500WO,-71.27199999999999,41.673,False,44,001,030700,44,44001,44001030700,1400000US44001030700,NEW ENGLAND GLAS INC,"500 WOOD ST, BLDG #12",BRISTOL,RI,28090330,"NEW ENGLAND GLAS INC.500 WOOD ST, BLDG #12, BRISTOL RHODE ISLAND 02809 (BRISTOL)",1,C,,
02809PRMRT345TH,-71.279,41.672,False,44,001,030700,44,44001,44001030700,1400000US44001030700,COATS AMERICAN BRISTOL PLANT,345 THAMES ST,BRISTOL,RI,2809,"COATS AMERICAN BRISTOL PLANT.345 THAMES ST, BRISTOL RHODE ISLAND 02809 (BRISTOL)",1,C,,
02809CRYDR47GOO,-71.274,41.693000000000005,False,44,001,030902,44,44001,44001030902,1400000US44001030902,C E RYDER CORPORATION,47 GOODING AVE,BRISTOL,RI,28092698,"C E RYDER CORPORATION.47 GOODING AVE, BRISTOL RHODE ISLAND 02809 (BRISTOL)",0,C,,
02809LCTLT20GOO,-71.277,41.693000000000005,False,44,001,030902,44,44001,44001030902,1400000US44001030902,ALCATEL NETWORK SYS INC,20 GOODING AVE,BRISTOL,RI,2809,"ALCATEL NETWORK SYS INC.20 GOODING AVE, BRISTOL RHODE ISLAND 02809 (BRISTOL)",1,C,,
02809CRRLL97BRO,-71.271,41.701,False,44,001,030902,44,44001,44001030902,1400000US44001030902,CARROLL MARINE LTD,91 BROAD COMMON RD,BRISTOL,RI,28092701,"CARROLL MARINE LTD.91 BROAD COMMON RD, BRISTOL RHODE ISLAND 02809 (BRISTOL)",0,C,,
02809LBNMN47GOO,-71.275,41.693000000000005,False,44,001,030902,44,44001,44001030902,1400000US44001030902,ALBIN MANUFACTURING INC,47 GOODING AVE,BRISTOL,RI,2809,"ALBIN MANUFACTURING INC.47 GOODING AVE, BRISTOL RHODE ISLAND 02809 (BRISTOL)",0,C,,
02809PTCCR51BAL,-71.26899999999999,41.703,False,44,001,030902,44,44001,44001030902,1400000US44001030902,COVALENCE SPECIALTY ADHESIVES LLC,51 BALLOU BLVD,BRISTOL,RI,2809,"COVALENCE SPECIALTY ADHESIVES LLC.51 BALLOU BLVD, BRISTOL RHODE ISLAND 02809 (BRISTOL)",0,C,,110000312108
02809SCHLZ19BRO,-71.271,41.695,False,44,001,030902,44,44001,44001030902,1400000US44001030902,SCHULZ BOAT CO INC,19 BROAD COMMON RD,BRISTOL,RI,2809,"SCHULZ BOAT CO INC.19 BROAD COMMON RD, BRISTOL RHODE ISLAND 02809 (BRISTOL)",0,C,,
02809DXNND386ME,-71.258,41.678999999999995,False,44,001,030901,44,44001,44001030901,1400000US44001030901,SAINT-GOBAIN,386 METACOM AVE,BRISTOL,RI,2809,"SAINT-GOBAIN.386 METACOM AVE, BRISTOL RHODE ISLAND 02809 (BRISTOL)",0,C,,110000312082
02813KNYNNMAINS,-71.626,41.446000000000005,False,44,009,050600,44,44009,44009050600,1400000US44009050600,KENYON INDUSTRIES INC,36 SHERMAN AVE,KENYON,RI,2836,"KENYON INDUSTRIES INC.36 SHERMAN AVE, KENYON RHODE ISLAND 02836 (WASHINGTON)",0,C,,110000312117
02894CHRBR299CH,-71.72,41.438,False,44,009,050600,44,44009,44009050600,1400000US44009050600,CHARBERT INC,299 CHURCH ST,WOOD RIVER JUNCTION,RI,2894,"CHARBERT INC.299 CHURCH ST, WOOD RIVER JUNCTION RHODE ISLAND 02894 (WASHINGTON)",0,C,,
