TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
29003DLVNFHWY30,-81.046,33.283,False,45,009,960200,45,45009,45009960200,1400000US45009960200,DELAVAN SPRAY TECHNOLOGIES,4334 MAIN HWY,BAMBERG,SC,29003,"DELAVAN SPRAY TECHNOLOGIES.4334 MAIN HWY, BAMBERG SOUTH CAROLINA 29003 (BAMBERG)",0,C,,110042051677
29003RCKLNCALHO,-81.039,33.294000000000004,False,45,009,960200,45,45009,45009960200,1400000US45009960200,ROCKLAND-BAMBERG INDUSTRIES,253 CALHOUN ST,BAMBERG,SC,29003,"ROCKLAND-BAMBERG INDUSTRIES.253 CALHOUN ST, BAMBERG SOUTH CAROLINA 29003 (BAMBERG)",0,C,,110000604365
29003STHST51SWE,-81.07600000000001,33.308,False,45,009,960200,45,45009,45009960200,1400000US45009960200,SOUTHEASTERN FIBERGLASS PRODUCTS INC,51 SWEET PEA RD,BAMBERG,SC,29003,"SOUTHEASTERN FIBERGLASS PRODUCTS INC.51 SWEET PEA RD, BAMBERG SOUTH CAROLINA 29003 (BAMBERG)",0,C,,110008568040
2900WTBLCC186AC,-81.024,33.288000000000004,False,45,009,960200,45,45009,45009960200,1400000US45009960200,TOBUL ACCUMULATOR INC,186 ACCUMULATOR ST,BAMBERG,SC,29003,"TOBUL ACCUMULATOR INC.186 ACCUMULATOR ST, BAMBERG SOUTH CAROLINA 29003 (BAMBERG)",1,C,,110064445961
2900WTBLCC61INN,-81.074,33.260999999999996,False,45,009,960200,45,45009,45009960200,1400000US45009960200,TOBUL ACCUMULATOR INC,61 INNOVATION DR,BAMBERG,SC,29003,"TOBUL ACCUMULATOR INC.61 INNOVATION DR, BAMBERG SOUTH CAROLINA 29003 (BAMBERG)",0,C,,110064445952
29009FBRTC500CH,-80.34,34.421,False,45,055,970100,45,45055,45055970100,1400000US45055970100,SOUTHERN FELT CO INC,500 CHESTNUT ST,BETHUNE,SC,29009,"SOUTHERN FELT CO INC.500 CHESTNUT ST, BETHUNE SOUTH CAROLINA 29009 (KERSHAW)",0,C,,110002231665
29009CLGTP500CH,-80.343,34.42,False,45,055,970100,45,45055,45055970100,1400000US45055970100,COLGATE-PALMOLIVE,500 CHESTNUT ST,BETHUNE,SC,29009,"COLGATE-PALMOLIVE.500 CHESTNUT ST, BETHUNE SOUTH CAROLINA 29009 (KERSHAW)",0,C,,110002100235
29010MRCNN609CO,-80.232,34.224000000000004,False,45,061,920302,45,45061,45061920302,1400000US45061920302,ARDAGH METAL BEVERAGE USA INC RE: BISHOPVILLE SC FACILITY,609 COUSAR ST,BISHOPVILLE,SC,29010,"ARDAGH METAL BEVERAGE USA INC RE: BISHOPVILLE SC FACILITY.609 COUSAR ST, BISHOPVILLE SOUTH CAROLINA 29010 (LEE)",0,C,,110000351798
29010RVSBRROUTE,-80.23100000000001,34.225,False,45,061,920302,45,45061,45061920302,1400000US45061920302,"REEVES BROS INC, BISHOPVILLE FINISHING DIV",401 DIXON DR,BISHOPVILLE,SC,29010,"REEVES BROS INC, BISHOPVILLE FINISHING DIV.401 DIXON DR, BISHOPVILLE SOUTH CAROLINA 29010 (LEE)",1,C,,
29010STHTL601CO,-80.233,34.223,False,45,061,920302,45,45061,45061920302,1400000US45061920302,SOUTH ATLANTIC CANNERS INC,601 COUSAR ST,BISHOPVILLE,SC,29010,"SOUTH ATLANTIC CANNERS INC.601 COUSAR ST, BISHOPVILLE SOUTH CAROLINA 29010 (LEE)",0,C,,
29016LTRNN1JENK,-80.96300000000001,34.181,False,45,079,010102,45,45079,45079010102,1400000US45079010102,ARCLIN SURFACES,1051 JENKINS BROTHERS RD,BLYTHEWOOD,SC,29016,"ARCLIN SURFACES.1051 JENKINS BROTHERS RD, BLYTHEWOOD SOUTH CAROLINA 29016 (RICHLAND)",0,C,,110002232487
29223MBCNT1DIES,-80.96,34.135,False,45,079,010102,45,45079,45079010102,1400000US45079010102,AMBAC INTERNATIONAL,1 DIESEL DR  I-77 & KILLIAN RD,COLUMBIA,SC,29203,"AMBAC INTERNATIONAL.1 DIESEL DR  I-77 & KILLIAN RD, COLUMBIA SOUTH CAROLINA 29203 (RICHLAND)",0,C,,
29016SNXNC10080,-80.959,34.18,False,45,079,010102,45,45079,45079010102,1400000US45079010102,SUNOX INC,10800 FARROW RD,BLYTHEWOOD,SC,290160333,"SUNOX INC.10800 FARROW RD, BLYTHEWOOD SOUTH CAROLINA 29016 (RICHLAND)",0,C,,
29211WHRLPPOBOX,-80.958,34.167,False,45,079,010102,45,45079,45079010102,1400000US45079010102,WHIRLPOOL CORP COLUMBIA PLANT,10700 FARROW RD,COLUMBIA,SC,29211,"WHIRLPOOL CORP COLUMBIA PLANT.10700 FARROW RD, COLUMBIA SOUTH CAROLINA 29211 (RICHLAND)",0,C,,
29016KNGSL424BL,-80.992,34.213,False,45,079,010102,45,45079,45079010102,1400000US45079010102,KING'S LABORATORY INC,424 BLYTHEWOOD RD,BLYTHEWOOD,SC,29016,"KING'S LABORATORY INC.424 BLYTHEWOOD RD, BLYTHEWOOD SOUTH CAROLINA 29016 (RICHLAND)",0,C,,
