TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
57006DKTRN33132,-96.75200000000001,44.308,False,46,011,958600,46,46011,46011958600,1400000US46011958600,DAKTRONICS INC,331 32ND AVE,BROOKINGS,SD,57006,"DAKTRONICS INC.331 32ND AVE, BROOKINGS SOUTH DAKOTA 57006 (BROOKINGS)",0,C,,110000427556
57006STRCR405RA,-96.685,44.282,False,46,011,958600,46,46011,46011958600,1400000US46011958600,STAR CIRCUITS INC,405 RAILROAD ST,BROOKINGS,SD,57006,"STAR CIRCUITS INC.405 RAILROAD ST, BROOKINGS SOUTH DAKOTA 57006 (BROOKINGS)",0,C,,110000427574
57002VRSNN1VERA,-96.71700000000001,44.297,False,46,011,958600,46,46011,46011958600,1400000US46011958600,VALERO RENEWABLE FUELS LLC*,ONE VALERO PLACE,AURORA,SD,57002,"VALERO RENEWABLE FUELS LLC*.ONE VALERO PLACE, AURORA SOUTH DAKOTA 57002 (BROOKINGS)",0,C,,110043806218
5700WSTRCR2132N,-96.75200000000001,44.306000000000004,False,46,011,958600,46,46011,46011958600,1400000US46011958600,STAR CIRCUITS INC,201 32ND AVENUE,BROOKINGS,SD,57006,"STAR CIRCUITS INC.201 32ND AVENUE, BROOKINGS SOUTH DAKOTA 57006 (BROOKINGS)",0,C,,110040374911
5700WNVTRR47491,-96.709,44.297,False,46,011,958600,46,46011,46011958600,1400000US46011958600,NOVITA AURORA LLC,47491 213TH ST,AURORA,SD,57002,"NOVITA AURORA LLC.47491 213TH ST, AURORA SOUTH DAKOTA 57002 (BROOKINGS)",0,C,,110070156194
57006MCMPN60122,-96.765,44.29600000000001,False,46,011,959000,46,46011,46011959000,1400000US46011959000,3M CO BROOKINGS,601 22ND AVE S,BROOKINGS,SD,57006,"3M CO BROOKINGS.601 22ND AVE S, BROOKINGS SOUTH DAKOTA 57006 (BROOKINGS)",0,C,,110000427565
57006TWNCT101SU,-96.762,44.306000000000004,False,46,011,958900,46,46011,46011958900,1400000US46011958900,TWIN CITY FAN COS BROOKINGS,101 SUNRISE RIDGE RD S,BROOKINGS,SD,57006,"TWIN CITY FAN COS BROOKINGS.101 SUNRISE RIDGE RD S, BROOKINGS SOUTH DAKOTA 57006 (BROOKINGS)",0,C,,110000427583
57006LRSNM2333E,-96.766,44.303000000000004,False,46,011,958900,46,46011,46011958900,1400000US46011958900,LARSON MANUFACTURING CO,2333 EASTBROOK DR,BROOKINGS,SD,57006,"LARSON MANUFACTURING CO.2333 EASTBROOK DR, BROOKINGS SOUTH DAKOTA 57006 (BROOKINGS)",0,C,,
5700WTWNCT5INSB,-96.765,44.3,False,46,011,958900,46,46011,46011958900,1400000US46011958900,TWIN CITY FAN COS INSBROOK,500 INSBROOK LN,BROOKINGS,SD,57006,"TWIN CITY FAN COS INSBROOK.500 INSBROOK LN, BROOKINGS SOUTH DAKOTA 57006 (BROOKINGS)",0,C,,110070068026
57013MCCRDROUTE,-96.626,43.301,False,46,083,010200,46,46083,46083010200,1400000US46083010200,ADAMS THERMAL SYSTEMS INC.,47920 5TH ST,CANTON,SD,57013,"ADAMS THERMAL SYSTEMS INC..47920 5TH ST, CANTON SOUTH DAKOTA 57013 (LINCOLN)",0,C,,110043086157
