TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
37015BXMFGHWY12,-87.012,36.228,False,47,021,070104,47,47021,47021070104,1400000US47021070104,BIX ENTERPRISES,2011 HWY 12S,ASHLAND CITY,TN,37015,"BIX ENTERPRISES.2011 HWY 12S, ASHLAND CITY TENNESSEE 37015 (CHEATHAM)",0,C,,110000589827
37015TMCNC13BLU,-87.015,36.228,False,47,021,070104,47,47021,47021070104,1400000US47021070104,TIMCO INC,13 BLUEGRASS DR,ASHLAND CITY,TN,37015,"TIMCO INC.13 BLUEGRASS DR, ASHLAND CITY TENNESSEE 37015 (CHEATHAM)",0,C,,
37015TNNSS2010H,-87.01299999999999,36.228,False,47,021,070104,47,47021,47021070104,1400000US47021070104,TENNESSEE WIRE & CABLE CO,2010 HWY 12 S,ASHLAND CITY,TN,37015,"TENNESSEE WIRE & CABLE CO.2010 HWY 12 S, ASHLAND CITY TENNESSEE 37015 (CHEATHAM)",0,C,,
37015TRNTY1050N,-87.00200000000001,36.221,False,47,021,070104,47,47021,47021070104,1400000US47021070104,ARCOSA MARINE PRODUCTS INC PLT  296,1050 TRINITY RD,ASHLAND CITY,TN,37015,"ARCOSA MARINE PRODUCTS INC PLT  296.1050 TRINITY RD, ASHLAND CITY TENNESSEE 37015 (CHEATHAM)",0,C,,110000369869
37015TRTNB15BLU,-87.015,36.228,False,47,021,070104,47,47021,47021070104,1400000US47021070104,TRITON BOAT CO LLC,15 BLUEGRASS RD,ASHLAND CITY,TN,37015,"TRITON BOAT CO LLC.15 BLUEGRASS RD, ASHLAND CITY TENNESSEE 37015 (CHEATHAM)",0,C,,110000369878
37030WLLMLHWY53,-85.94200000000001,36.204,False,47,159,975400,47,47159,47159975400,1400000US47159975400,BON L MANUFACTURING CO,HWY 53 BONNELL RD,CARTHAGE,TN,37030,"BON L MANUFACTURING CO.HWY 53 BONNELL RD, CARTHAGE TENNESSEE 37030 (SMITH)",0,C,,110056961328
38563SMTHC123MU,-85.93799999999999,36.202,False,47,159,975400,47,47159,47159975400,1400000US47159975400,SMITH COUNTY INDUSTRIAL COATINGS LLC,123 MULHERRIN AVE,GORDONSVILLE,TN,38563,"SMITH COUNTY INDUSTRIAL COATINGS LLC.123 MULHERRIN AVE, GORDONSVILLE TENNESSEE 38563 (SMITH)",0,C,,110000375406
38563DNCRP187SP,-85.93799999999999,36.201,False,47,159,975400,47,47159,47159975400,1400000US47159975400,"DANA CORP TORQUE TRACTION INTEGRATION TECH,INC",187 SPICER DR,GORDONSVILLE,TN,38563,"DANA CORP TORQUE TRACTION INTEGRATION TECH,INC.187 SPICER DR, GORDONSVILLE TENNESSEE 38563 (SMITH)",0,C,,110001129127
38563GLBBS170SP,-85.93799999999999,36.199,False,47,159,975400,47,47159,47159975400,1400000US47159975400,GLOBE BUSINESS FURNITURE,170 SPICER DR,GORDONSVILLE,TN,38563,"GLOBE BUSINESS FURNITURE.170 SPICER DR, GORDONSVILLE TENNESSEE 38563 (SMITH)",1,C,,
38563JMSRV119SP,-85.939,36.196,False,47,159,975400,47,47159,47159975400,1400000US47159975400,JAMES RIVER CORP,119 SPICER DR,GORDONSVILLE,TN,38563,"JAMES RIVER CORP.119 SPICER DR, GORDONSVILLE TENNESSEE 38563 (SMITH)",0,C,,
38563SVGZN120ZI,-85.936,36.196,False,47,159,975400,47,47159,47159975400,1400000US47159975400,NYSTAR GORDONSVILLE MINE & MILL,120 ZINC MINE CIR,GORDONSVILLE,TN,38563,"NYSTAR GORDONSVILLE MINE & MILL.120 ZINC MINE CIR, GORDONSVILLE TENNESSEE 38563 (SMITH)",0,C,,110000375415
38563SMTHL168BE,-85.948,36.188,False,47,159,975400,47,47159,47159975400,1400000US47159975400,A O SMITH ELECTRICAL PRODUCTS CO,168 BENTLEY HARRIS WAY,GORDONSVILLE,TN,38563,"A O SMITH ELECTRICAL PRODUCTS CO.168 BENTLEY HARRIS WAY, GORDONSVILLE TENNESSEE 38563 (SMITH)",0,C,,
38563TFGLB167BE,-85.949,36.188,False,47,159,975400,47,47159,47159975400,1400000US47159975400,"TAIHO MANUFACTURING OF TENNESSEE,LLC",167 BENTLEY HARRIS WAY,GORDONSVILLE,TN,38563,"TAIHO MANUFACTURING OF TENNESSEE,LLC.167 BENTLEY HARRIS WAY, GORDONSVILLE TENNESSEE 38563 (SMITH)",0,C,,110020518091
37033NVRSLUNIVE,-87.473,35.769,False,47,081,950302,47,47081,47081950302,1400000US47081950302,YKK SNAP FASTENERS AMERICA INC.,200 UNIVERSAL DR,CENTERVILLE,TN,37033,"YKK SNAP FASTENERS AMERICA INC..200 UNIVERSAL DR, CENTERVILLE TENNESSEE 37033 (HICKMAN)",0,C,,110000749003
37033TNCNX400RI,-87.446,35.839,False,47,081,950302,47,47081,47081950302,1400000US47081950302,TENCON,400 RIVERS RD,CENTERVILLE,TN,37033,"TENCON.400 RIVERS RD, CENTERVILLE TENNESSEE 37033 (HICKMAN)",1,C,,
37040NTRNT801AL,-87.26899999999999,36.586,False,47,125,101904,47,47125,47125101904,1400000US47125101904,MULTI-COLOR CORP - FOOD & BEVERAGE DIV,801 ALFRED THUN RD,CLARKSVILLE,TN,37040,"MULTI-COLOR CORP - FOOD & BEVERAGE DIV.801 ALFRED THUN RD, CLARKSVILLE TENNESSEE 37040 (MONTGOMERY)",0,C,,110000369912
37040NRTHM480AR,-87.26,36.596,False,47,125,101904,47,47125,47125101904,1400000US47125101904,PURITY ZINC METALS LLC,498 INTERNATIONAL BLVD,CLARKSVILLE,TN,37040,"PURITY ZINC METALS LLC.498 INTERNATIONAL BLVD, CLARKSVILLE TENNESSEE 37040 (MONTGOMERY)",0,C,,110015783339
37040RCTGR451AR,-87.259,36.6,False,47,125,101904,47,47125,47125101904,1400000US47125101904,WORLDCOLOR,451 INTERNATIONAL BLVD,CLARKSVILLE,TN,37040,"WORLDCOLOR.451 INTERNATIONAL BLVD, CLARKSVILLE TENNESSEE 37040 (MONTGOMERY)",0,C,,110000369921
37040LLDSG780AR,-87.262,36.586,False,47,125,101904,47,47125,47125101904,1400000US47125101904,AKEBONO BRAKE-CLARKSVILLE PLANT,780 INTERNATIONAL BLVD,CLARKSVILLE,TN,37040,"AKEBONO BRAKE-CLARKSVILLE PLANT.780 INTERNATIONAL BLVD, CLARKSVILLE TENNESSEE 37040 (MONTGOMERY)",0,C,,110043976230
37041TLCRN300AR,-87.258,36.607,False,47,125,101904,47,47125,47125101904,1400000US47125101904,TILECERA INC,300 ARCATA BLVD,CLARKSVILLE,TN,37040,"TILECERA INC.300 ARCATA BLVD, CLARKSVILLE TENNESSEE 37040 (MONTGOMERY)",2,C,,
