TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
75005LLBRWBREWT,-96.23899999999999,33.042,False,48,231,961400,48,48231,48231961400,1400000US48231961400,HIXSON LUMBER SALES INC,HWY 66 E,CADDO MILLS,TX,75135,"HIXSON LUMBER SALES INC.HWY 66 E, CADDO MILLS TEXAS 75135 (HUNT)",0,C,,110008157573
75006BTMTD2525C,-96.913,32.981,False,48,113,013719,48,48113,48113013719,1400000US48113013719,BAE AUTOMATED SYSTEMS INC,2525 CARTER RD,CARROLLTON,TX,75006,"BAE AUTOMATED SYSTEMS INC.2525 CARTER RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75006KTCHM1200W,-96.919,32.976,False,48,113,013719,48,48113,48113013719,1400000US48113013719,FUJIFILM ULTRA PURE SOLUTIONS INC,1200 W JACKSON RD,CARROLLTON,TX,75006,"FUJIFILM ULTRA PURE SOLUTIONS INC.1200 W JACKSON RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110009499113
7500WFJFLM113WJ,-96.916,32.976,False,48,113,013719,48,48113,48113013719,1400000US48113013719,FUJIFILM ULTRA PURE SOLUTIONS INC,1130 W JACKSON RD,CARROLLTON,TX,75006,"FUJIFILM ULTRA PURE SOLUTIONS INC.1130 W JACKSON RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110055475383
75006BWSMS1440H,-96.917,32.948,False,48,113,014002,48,48113,48113014002,1400000US48113014002,HIXSON LUMBER SALES OF CARROLLTON INC,1440 HUTTON DR,CARROLLTON,TX,75006,"HIXSON LUMBER SALES OF CARROLLTON INC.1440 HUTTON DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110042294530
75006LCTRP1430C,-96.919,32.955999999999996,False,48,113,014002,48,48113,48113014002,1400000US48113014002,ELECTRO PLATE CIRCUITRY INC,1430 CENTURY DR,CARROLLTON,TX,75006,"ELECTRO PLATE CIRCUITRY INC.1430 CENTURY DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110000456006
75006LYBLD1313V,-96.912,32.939,False,48,113,014002,48,48113,48113014002,1400000US48113014002,LEYBOLD INC TX,1313 VALWOOD PKY 370,CARROLLTON,TX,75006,"LEYBOLD INC TX.1313 VALWOOD PKY 370, CARROLLTON TEXAS 75006 (DALLAS)",1,C,,
75006PLSTC1223T,-96.91,32.949,False,48,113,014002,48,48113,48113014002,1400000US48113014002,PLASTECH CORP,1223 TAPPAN CIRCLE,CARROLLTON,TX,75006,"PLASTECH CORP.1223 TAPPAN CIRCLE, CARROLLTON TEXAS 75006 (DALLAS)",1,C,,
75006PRCSN1745S,-96.92200000000001,32.969,False,48,113,014002,48,48113,48113014002,1400000US48113014002,PRECISION INDUSTRIAL COATINGS INC,1745 SANDY LAKE RD,CARROLLTON,TX,75006,"PRECISION INDUSTRIAL COATINGS INC.1745 SANDY LAKE RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75006PTKTC1215W,-96.914,32.946999999999996,False,48,113,014002,48,48113,48113014002,1400000US48113014002,OPTEK TECHNOLOGIES INC,1215 W CROSBY RD,CARROLLTON,TX,75006,"OPTEK TECHNOLOGIES INC.1215 W CROSBY RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75006SGSTH1310E,-96.916,32.944,False,48,113,014002,48,48113,48113014002,1400000US48113014002,ST MICROELECTRONICS INC.,1310 ELECTRONICS DR,CARROLLTON,TX,750065039,"ST MICROELECTRONICS INC..1310 ELECTRONICS DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110017299145
75006STHWS2151H,-96.915,32.934,False,48,113,014002,48,48113,48113014002,1400000US48113014002,SOUTHWEST SANITARY DISTRIBUTING CO INC,"2151 HUTTON DR, SUITE 150",CARROLLTON,TX,750066868,"SOUTHWEST SANITARY DISTRIBUTING CO INC.2151 HUTTON DR, SUITE 150, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75006TBFRM1533C,-96.917,32.958,False,48,113,014002,48,48113,48113014002,1400000US48113014002,TUBE FORMING INC,1533 CRESCENT DR,CARROLLTON,TX,75006,"TUBE FORMING INC.1533 CRESCENT DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75006TLSRC1406H,-96.916,32.949,False,48,113,014002,48,48113,48113014002,1400000US48113014002,HIGH PERFORMANCE COATINGS,1406 HUTTON DR,CARROLLTON,TX,75006,"HIGH PERFORMANCE COATINGS.1406 HUTTON DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75006WSTRN1735S,-96.92299999999999,32.969,False,48,113,014002,48,48113,48113014002,1400000US48113014002,WESTERN EXTRUSIONS CORP,1735 SANDY LAKE RD,CARROLLTON,TX,75006,"WESTERN EXTRUSIONS CORP.1735 SANDY LAKE RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110001866856
75234GLCRS1925V,-96.915,32.922,False,48,113,014002,48,48113,48113014002,1400000US48113014002,EAGLE CREST FOODS INC,1925 VALLEY VIEW LN,FARMERS BRANCH,TX,75234,"EAGLE CREST FOODS INC.1925 VALLEY VIEW LN, FARMERS BRANCH TEXAS 75234 (DALLAS)",0,C,,
75234GNBNC1880V,-96.917,32.921,False,48,113,014002,48,48113,48113014002,1400000US48113014002,EXIDE CORP,1880 VALLEY VIEW LN,FARMERS BRANCH,TX,75234,"EXIDE CORP.1880 VALLEY VIEW LN, FARMERS BRANCH TEXAS 75234 (DALLAS)",0,C,,
75234LSTNG2115W,-96.90700000000001,32.922,False,48,113,014002,48,48113,48113014002,1400000US48113014002,LASTING PRODUCTS INC,2115 W VALLEY VIEW LN,FARMERS BRANCH,TX,75234,"LASTING PRODUCTS INC.2115 W VALLEY VIEW LN, FARMERS BRANCH TEXAS 75234 (DALLAS)",0,C,,
75234NTNLH12827,-96.905,32.917,False,48,113,014002,48,48113,48113014002,1400000US48113014002,STANLEY BLACK & DECKER,12827 VALLEY BRANCH LN,FARMERS BRANCH,TX,75234,"STANLEY BLACK & DECKER.12827 VALLEY BRANCH LN, FARMERS BRANCH TEXAS 75234 (DALLAS)",0,C,,110010659714
75006TSNGN1000W,-96.91,32.946999999999996,False,48,113,014002,48,48113,48113014002,1400000US48113014002,OTIS ENGINEERING CORP,1000 W CROSBY RD,CARROLLTON,TX,75006,"OTIS ENGINEERING CORP.1000 W CROSBY RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75006PRNCG1225T,-96.91,32.949,False,48,113,014002,48,48113,48113014002,1400000US48113014002,PRINCE GOLF INTERNATIONAL LTD,1225 TAPPAN CIRCLE,CARROLLTON,TX,75006,"PRINCE GOLF INTERNATIONAL LTD.1225 TAPPAN CIRCLE, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,
75234THRML2021W,-96.90799999999999,32.922,False,48,113,014002,48,48113,48113014002,1400000US48113014002,THERMALLOY INC,2021 W VALLEY VIEW LN,DALLAS,TX,752348993,"THERMALLOY INC.2021 W VALLEY VIEW LN, DALLAS TEXAS 75234 (DALLAS)",0,C,,
75006TBFRM2021B,-96.93700000000001,32.951,False,48,113,014002,48,48113,48113014002,1400000US48113014002,FABRICATED TUBE PRODUCTS - CARROLLTON,2101 WEST BELTLINE RD,CARROLLTON,TX,75006,"FABRICATED TUBE PRODUCTS - CARROLLTON.2101 WEST BELTLINE RD, CARROLLTON TEXAS 75006 (DALLAS)",1,C,,110064118011
76053GNRLL1001W,-96.90799999999999,32.945,False,48,113,014002,48,48113,48113014002,1400000US48113014002,MI WINDOWS & DOORS LLC,1005 W CROSBY RD,CARROLLTON,TX,75006,"MI WINDOWS & DOORS LLC.1005 W CROSBY RD, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110001866874
75006SPXDC1612H,-96.917,32.943000000000005,False,48,113,014002,48,48113,48113014002,1400000US48113014002,4FRONT ENGINEERED SOLUTIONS,1612 HUTTON DR SUITE 140,CARROLLTON,TX,75006,"4FRONT ENGINEERED SOLUTIONS.1612 HUTTON DR SUITE 140, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110015781572
75006LCTRP1525C,-96.92,32.958,False,48,113,014002,48,48113,48113014002,1400000US48113014002,ELECTRO PLATE CIRCUITRY INC.,"1525 CAPITAL, SUITE 100",CARROLLTON,TX,75006,"ELECTRO PLATE CIRCUITRY INC..1525 CAPITAL, SUITE 100, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110005183470
75006SSLRL175MN,-96.90799999999999,32.942,False,48,113,014002,48,48113,48113014002,1400000US48113014002,LABORATORIES OF AMERICA INC (DBA AVISIA),1750 MONETARY LN,CARROLLTON,TX,75006,"LABORATORIES OF AMERICA INC (DBA AVISIA).1750 MONETARY LN, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110005188279
75234MGLBR13515,-96.902,32.929,False,48,113,014002,48,48113,48113014002,1400000US48113014002,OMEGA LABORATORIES,13515 N. STEMMONS FREEWAY,DALLAS,TX,75234,"OMEGA LABORATORIES.13515 N. STEMMONS FREEWAY, DALLAS TEXAS 75234 (DALLAS)",0,C,,110020056678
75006RFTPS1811T,-96.93,32.923,False,48,113,014002,48,48113,48113014002,1400000US48113014002,ROOFTOP SYSTEMS INC.,1811 TRINITY VALLEY DR,CARROLLTON,TX,75006,"ROOFTOP SYSTEMS INC..1811 TRINITY VALLEY DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110025333878
75006CRGLL1915J,-96.86399999999999,32.959,False,48,113,020700,48,48113,48113020700,1400000US48113020700,WMC INDUSTRIAL LLC,1915 JOHN CONNALLY DR,CARROLLTON,TX,75006,"WMC INDUSTRIAL LLC.1915 JOHN CONNALLY DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110000455980
75006BSFCR1216T,-96.861,32.955999999999996,False,48,113,020700,48,48113,48113020700,1400000US48113020700,BASF CORP,1216 TREND DR,CARROLLTON,TX,75006,"BASF CORP.1216 TREND DR, CARROLLTON TEXAS 75006 (DALLAS)",0,C,,110012489271
