TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
84006KNNCT8362W,-112.141,40.734,False,49,035,113906,49,49035,49035113906,1400000US49035113906,KENNECOTT UTAH COPPER SMELTER & REFINERY,12000 WEST 2100 SOUTH & 11500 W 2100 S,MAGNA,UT,84044,"KENNECOTT UTAH COPPER SMELTER & REFINERY.12000 WEST 2100 SOUTH & 11500 W 2100 S, MAGNA UTAH 84044 (SALT LAKE)",0,C,,110009506347
84044NNCRB12385,-112.186,40.727,False,49,035,113906,49,49035,49035113906,1400000US49035113906,PRAXAIR INC,12385 W HWY 201,MAGNA,UT,84044,"PRAXAIR INC.12385 W HWY 201, MAGNA UTAH 84044 (SALT LAKE)",0,C,,
84116CMPQN620NO,-112.036,40.783,False,49,035,113906,49,49035,49035113906,1400000US49035113906,COMPEQ INTERNATIONAL,620 N JOHN GLENN RD,SALT LAKE CITY,UT,841164400,"COMPEQ INTERNATIONAL.620 N JOHN GLENN RD, SALT LAKE CITY UTAH 84116 (SALT LAKE)",0,C,,110022400846
84116TSCLT595WA,-112.03299999999999,40.779,False,49,035,113906,49,49035,49035113906,1400000US49035113906,TOSCA LTD UTAH,5950 W AMELIA EARHART DR,SALT LAKE CITY,UT,84116,"TOSCA LTD UTAH.5950 W AMELIA EARHART DR, SALT LAKE CITY UTAH 84116 (SALT LAKE)",0,C,,110032629715
84104PLKNG1225S,-112.027,40.744,False,49,035,113906,49,49035,49035113906,1400000US49035113906,PILKINGTON METAL FINISHING LLC,1225 S LEGACY VIEW ST,SALT LAKE CITY,UT,84104,"PILKINGTON METAL FINISHING LLC.1225 S LEGACY VIEW ST, SALT LAKE CITY UTAH 84104 (SALT LAKE)",0,C,,110020824713
84014SYRST950WE,-111.89299999999999,40.915,False,49,011,126304,49,49011,49011126304,1400000US49011126304,TRINITY HIGHWAY PRODUCTS LLC PLT NO 1033,950 W 400 SO,CENTERVILLE,UT,84014,"TRINITY HIGHWAY PRODUCTS LLC PLT NO 1033.950 W 400 SO, CENTERVILLE UTAH 84014 (DAVIS)",1,C,,110057608520
84016FBLLNPOBOX,-112.02799999999999,41.093,False,49,011,125600,49,49011,49011125600,1400000US49011125600,FABALL ENTERPRISES OF UTAH,BLDG G-9 FREEPORT CENTER,CLEARFIELD,UT,84016,"FABALL ENTERPRISES OF UTAH.BLDG G-9 FREEPORT CENTER, CLEARFIELD UTAH 84016 (DAVIS)",0,C,,
84016FTRHMBLDGH,-112.03200000000001,41.103,False,49,011,125600,49,49011,49011125600,1400000US49011125600,FUTURA INDUSTRIES,BUILDING H-11 FREEPORT CENTER,CLEARFIELD,UT,84016,"FUTURA INDUSTRIES.BUILDING H-11 FREEPORT CENTER, CLEARFIELD UTAH 84016 (DAVIS)",0,C,,110000600555
84016HRCLSFREEP,-112.031,41.104,False,49,011,125600,49,49011,49011125600,1400000US49011125600,ALLIANT TECHSYSTEMS PLANT 2,FREEPORT CENTER 14TH ST,CLEARFIELD,UT,84016,"ALLIANT TECHSYSTEMS PLANT 2.FREEPORT CENTER 14TH ST, CLEARFIELD UTAH 84016 (DAVIS)",2,C,,
84016LLDFTBUILD,-112.02799999999999,41.093,False,49,011,125600,49,49011,49011125600,1400000US49011125600,HONEYWELL INTERNATIONAL CLEARFIELD UT,BLDG. C-13 FREEPORT CENTER,CLEARFIELD,UT,84016,"HONEYWELL INTERNATIONAL CLEARFIELD UT.BLDG. C-13 FREEPORT CENTER, CLEARFIELD UTAH 84016 (DAVIS)",0,C,,110002455548
84016RRWDYH12FR,-112.02799999999999,41.093,False,49,011,125600,49,49011,49011125600,1400000US49011125600,ARROW DYNAMICS INC,H-12 FREEPORT CENTER,CLEARFIELD,UT,84016,"ARROW DYNAMICS INC.H-12 FREEPORT CENTER, CLEARFIELD UTAH 84016 (DAVIS)",0,C,,
84016TLTYTBLDGE,-112.02799999999999,41.101000000000006,False,49,011,125600,49,49011,49011125600,1400000US49011125600,UTILITY TRAILER MANUFACTURING,BLDG E-14 FREEPORT CTR,CLEARFIELD,UT,840160387,"UTILITY TRAILER MANUFACTURING.BLDG E-14 FREEPORT CTR, CLEARFIELD UTAH 84016 (DAVIS)",0,C,,
