TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
20360HLLYF3301U,-77.553,37.696999999999996,False,51,085,320300,51,51085,51085320300,1400000US51085320300,TYSON FARMS INC - PROCESSING FACILITY,13264 MOUNTAIN RD,GLEN ALLEN,VA,23059,"TYSON FARMS INC - PROCESSING FACILITY.13264 MOUNTAIN RD, GLEN ALLEN VIRGINIA 23059 (HANOVER)",0,C,,110000339107
22030SYSTM11225,-77.335,38.859,False,51,059,461202,51,51600,51059461202,1400000US51059461202,E-SYSTEMS INC MELPAR DIV,11225 WAPLES MILL RD,FAIRFAX,VA,22030,"E-SYSTEMS INC MELPAR DIV.11225 WAPLES MILL RD, FAIRFAX VIRGINIA 22030 (FAIRFAX (CITY))",0,C,,110002097196
22046SYSTM7700A,-77.211,38.866,False,51,059,450602,51,51610,51059450602,1400000US51059450602,E-SYSTEMS INC MELPAR DIV,7700 ARLINGTON BLVD,FALLS CHURCH,VA,22046,"E-SYSTEMS INC MELPAR DIV.7700 ARLINGTON BLVD, FALLS CHURCH VIRGINIA 22046 (FALLS CHURCH (CITY))",0,C,,
22065TLNTC5945W,-77.585,38.788000000000004,False,51,153,901410,51,51153,51153901410,1400000US51153901410,ATLANTIC RESEARCH CORP GAINESVILLE FACILITY,5945 WELLINGTON RD,GAINESVILLE,VA,20155,"ATLANTIC RESEARCH CORP GAINESVILLE FACILITY.5945 WELLINGTON RD, GAINESVILLE VIRGINIA 20155 (PRINCE WILLIAM)",0,C,,
20155BTCBL5291W,-77.598,38.794000000000004,False,51,153,901410,51,51153,51153901410,1400000US51153901410,BETCO SUPREME INC,5291 WELLINGTON BRANCH DR,GAINESVILLE,VA,20155,"BETCO SUPREME INC.5291 WELLINGTON BRANCH DR, GAINESVILLE VIRGINIA 20155 (PRINCE WILLIAM)",0,C,,110002443464
2015WVRGNC73RAI,-77.59100000000001,38.794000000000004,False,51,153,901410,51,51153,51153901410,1400000US51153901410,VIRGINIA CONCRETE GAINESVILLE PLANT,7300 RAIL LINE CT,GAINESVILLE,VA,20155,"VIRGINIA CONCRETE GAINESVILLE PLANT.7300 RAIL LINE CT, GAINESVILLE VIRGINIA 20155 (PRINCE WILLIAM)",0,C,,110020682590
22071PLSCM2900T,-77.425,38.931,False,51,059,482501,51,51059,51059482501,1400000US51059482501,PULSECOM,2900 TOWERVIEW RD SUITE 100,HERNDON,VA,20171,"PULSECOM.2900 TOWERVIEW RD SUITE 100, HERNDON VIRGINIA 20171 (FAIRFAX)",0,C,,110002469515
22079LXNDR9418G,-77.223,38.703,False,51,059,422102,51,51059,51059422102,1400000US51059422102,ALEXANDRIA METAL FINISHERS INC,9418 GUNSTON COVE RD,LORTON,VA,220792314,"ALEXANDRIA METAL FINISHERS INC.9418 GUNSTON COVE RD, LORTON VIRGINIA 22079 (FAIRFAX)",0,C,,
22079CLLNM9610G,-77.225,38.696999999999996,False,51,059,422102,51,51059,51059422102,1400000US51059422102,TONER CHARGE INC,9610 GUNSTON COVE RD SUITE B,LORTON,VA,22079,"TONER CHARGE INC.9610 GUNSTON COVE RD SUITE B, LORTON VIRGINIA 22079 (FAIRFAX)",0,C,,
2207WVRGNC8115M,-77.22399999999999,38.691,False,51,059,422102,51,51059,51059422102,1400000US51059422102,VIRGINIA CONCRETE LORTON PLANT,8115 MIMS STREET,LORTON,VA,22079,"VIRGINIA CONCRETE LORTON PLANT.8115 MIMS STREET, LORTON VIRGINIA 22079 (FAIRFAX)",0,C,,110001892346
