TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
00841VRGNSESTAT,-64.82600000000001,17.705,False,78,010,971400,78,78010,78010971400,1400000US78010971400,VIRGIN ISLANDS RUM INDUSTRIES LTD,ESTATE DIAMOND W AIRPORT RD,FREDERIKSTED,VI,840,"VIRGIN ISLANDS RUM INDUSTRIES LTD.ESTATE DIAMOND W AIRPORT RD, FREDERIKSTED VIRGIN ISLANDS 00840 (ST. CROIX ISLAND)",0,C,,
00851HSSLVLIMET,-64.75399999999999,17.71,False,78,010,971500,78,78010,78010971500,1400000US78010971500,LIMETREE BAY TERMINALS LLC,1 ESTATE HOPE,CHRISTIANSTED,VI,820,"LIMETREE BAY TERMINALS LLC.1 ESTATE HOPE, CHRISTIANSTED VIRGIN ISLANDS 00820 (ST. CROIX ISLAND)",0,C,,110000307864
00851GNTTH1ESTA,-64.753,17.709,False,78,010,971500,78,78010,78010971500,1400000US78010971500,GEONET ETHANOL LLC,1 ESTATE ANGUILLA,KINGSHILL,VI,851,"GEONET ETHANOL LLC.1 ESTATE ANGUILLA, KINGSHILL VIRGIN ISLANDS 00851 (ST. CROIX ISLAND)",0,C,,110037142721
00803STTHMBLDG1,-64.952,18.339000000000002,False,78,030,960600,78,78030,78030960600,1400000US78030960600,CHEVRON CARIBBEAN INC,8240 SUBBASE,SAINT THOMAS,VI,802,"CHEVRON CARIBBEAN INC.8240 SUBBASE, SAINT THOMAS VIRGIN ISLANDS 00802 (ST. THOMAS ISLAND)",0,C,,110000580951
00804SSSTTCYRIL,-64.973,18.333,False,78,030,960800,78,78030,78030960800,1400000US78030960800,SAINT THOMAS BULK TERMINAL,CYRIL KING AIRPORT CARGO AREA,SAINT THOMAS,VI,802,"SAINT THOMAS BULK TERMINAL.CYRIL KING AIRPORT CARGO AREA, SAINT THOMAS VIRGIN ISLANDS 00802 (ST. THOMAS ISLAND)",0,C,,110000918115
00804VRGNSKRUMB,-64.96,18.331,False,78,030,960800,78,78030,78030960800,1400000US78030960800,VIRGIN ISLANDS WATER & POWER AUTHORITY,KRUM BAY FACILITY,SAINT THOMAS,VI,804,"VIRGIN ISLANDS WATER & POWER AUTHORITY.KRUM BAY FACILITY, SAINT THOMAS VIRGIN ISLANDS 00804 (ST. THOMAS ISLAND)",0,C,,110000580960
00821VRGNSESTAT,-64.715,17.75,False,78,010,970300,78,78010,78010970300,1400000US78010970300,VIRGIN ISLANDS WATER & POWER AUTHORITY,ESTATE RICHMOND,CHRISTIANSTED,VI,821,"VIRGIN ISLANDS WATER & POWER AUTHORITY.ESTATE RICHMOND, CHRISTIANSTED VIRGIN ISLANDS 00821 (ST. CROIX ISLAND)",0,C,,110000602866
00830SNTLP13CRU,-64.794,18.333,False,78,020,950100,78,78020,78020950100,1400000US78020950100,U.S. NATL. PARK SERVICE VIRGIN ISLANDS NATIONAL PARK,1300 CRUZ BAY CREEK,SAINT JOHN,VI,830,"U.S. NATL. PARK SERVICE VIRGIN ISLANDS NATIONAL PARK.1300 CRUZ BAY CREEK, SAINT JOHN VIRGIN ISLANDS 00830 (ST. JOHN ISLAND)",0,F,,110007328980
0080WHVYMT7865E,-64.882,18.326,False,78,030,960900,78,78030,78030960900,1400000US78030960900,HEAVY MATERIALS SVI - ST THOMAS,7865 ESTATE MARIENDAHL #1,ST THOMAS,VI,802,"HEAVY MATERIALS SVI - ST THOMAS.7865 ESTATE MARIENDAHL #1, ST THOMAS VIRGIN ISLANDS 00802 (ST. THOMAS ISLAND)",0,C,,110070557871
0082WHVYMT91EST,-64.829,17.732,False,78,010,971000,78,78010,78010971000,1400000US78010971000,HEAVY MATERIALS SVI - ST CROIX,9010 ESTATE COTTAGE,CHRISTIANSTED,VI,820,"HEAVY MATERIALS SVI - ST CROIX.9010 ESTATE COTTAGE, CHRISTIANSTED VIRGIN ISLANDS 00820 (ST. CROIX ISLAND)",0,C,,110070557872
00822VRGNS126GA,-64.786,17.751,True,78,010,970700,78,78010,78010970700,1400000US78010970700,VIRGIN ISLAND PHARMACIA INC,126 GALLOWS BAY,CHRISTIANSTED,VI,821,"VIRGIN ISLAND PHARMACIA INC 126 GALLOWS BAY, CHRISTIANSTED, VI, 821",0,C,,
