TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
05042CPMNCCHURC,-72.059,44.207,False,50,005,957800,50,50005,50005957800,1400000US50005957800,CPM INC,TOWN HWY 70,EAST RYEGATE,VT,5042,"CPM INC.TOWN HWY 70, EAST RYEGATE VERMONT 05042 (CALEDONIA)",0,C,,
05060THNLLHULLS,-72.655,43.919,False,50,017,959400,50,50017,50017959400,1400000US50017959400,ETHAN ALLEN INC RANDOLPH DIV,44 HULL ST,RANDOLPH,VT,50601102,"ETHAN ALLEN INC RANDOLPH DIV.44 HULL ST, RANDOLPH VERMONT 05060 (ORANGE)",0,C,,
0506WVRMNT1131B,-72.652,43.901,False,50,017,959400,50,50017,50017959400,1400000US50017959400,VERMONT CASTINGS GROUP - FOUNDRY DIVISION,1131 BEANVILLE ROAD,RANDOLPH,VT,5060,"VERMONT CASTINGS GROUP - FOUNDRY DIVISION.1131 BEANVILLE ROAD, RANDOLPH VERMONT 05060 (ORANGE)",0,C,,110001124060
05089GRNMNWINDS,-72.382,43.483000000000004,False,50,027,966000,50,50027,50027966000,1400000US50027966000,GREEN MOUNTAIN MARBLE CO,WINDSOR INDUSTRIAL PARK,WINDSOR,VT,5089,"GREEN MOUNTAIN MARBLE CO.WINDSOR INDUSTRIAL PARK, WINDSOR VERMONT 05089 (WINDSOR)",1,C,,
05089SCTNY2637U,-72.39699999999999,43.437,False,50,027,966000,50,50027,50027966000,1400000US50027966000,ASCUTNEY METAL PRODS,2637 US RTE 5 N,WINDSOR,VT,5089,"ASCUTNEY METAL PRODS.2637 US RTE 5 N, WINDSOR VERMONT 05089 (WINDSOR)",0,C,,
05089WNSRMROUTE,-72.529,43.468999999999994,False,50,027,965900,50,50027,50027965900,1400000US50027965900,LUZENAC AMERICA INC,RTE 44,WINDSOR,VT,50890680,"LUZENAC AMERICA INC.RTE 44, WINDSOR VERMONT 05089 (WINDSOR)",0,C,,
05150DLNTFPIPER,-72.509,43.331,False,50,027,966700,50,50027,50027966700,1400000US50027966700,IDLENOT FARM DAIRY INC,PIPER RD,NORTH SPRINGFIELD,VT,5150,"IDLENOT FARM DAIRY INC.PIPER RD, NORTH SPRINGFIELD VERMONT 05150 (WINDSOR)",0,C,,
05156BRYNT257CL,-72.472,43.287,False,50,027,966600,50,50027,50027966600,1400000US50027966600,BRYANT GRINDER CORP,257 CLINTON ST,SPRINGFIELD,VT,51560852,"BRYANT GRINDER CORP.257 CLINTON ST, SPRINGFIELD VERMONT 05156 (WINDSOR)",0,C,,
05156FLLWSPRECI,-72.538,43.327,False,50,027,966600,50,50027,50027966600,1400000US50027966600,FELLOWS CORP,PRECISION DR,NORTH SPRINGFIELD,VT,5150,"FELLOWS CORP.PRECISION DR, NORTH SPRINGFIELD VERMONT 05150 (WINDSOR)",0,C,,
05201BJRLB50KOC,-73.199,42.894,False,50,003,971200,50,50003,50003971200,1400000US50003971200,BIJUR LUBRICATING CORP,50 KOCHER DR,BENNINGTON,VT,52011994,"BIJUR LUBRICATING CORP.50 KOCHER DR, BENNINGTON VERMONT 05201 (BENNINGTON)",0,C,,
05201JRDCNBOWEN,-73.189,42.888999999999996,False,50,003,971200,50,50003,50003971200,1400000US50003971200,JARD CO INC,BOWEN RD,BENNINGTON,VT,5201,"JARD CO INC.BOWEN RD, BENNINGTON VERMONT 05201 (BENNINGTON)",1,C,,
05201VRDYB401GA,-73.191,42.882,False,50,003,971200,50,50003,50003971200,1400000US50003971200,ENERGIZER MANUFACTURING INC,401 GAGE ST,BENNINGTON,VT,5201,"ENERGIZER MANUFACTURING INC.401 GAGE ST, BENNINGTON VERMONT 05201 (BENNINGTON)",0,C,,110000314758
05201JHNSNROUTE,-73.217,42.903999999999996,False,50,003,971000,50,50003,50003971000,1400000US50003971000,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,VT,5201,"JOHNSON CONTROLS INC, BATTERY GROUP.RTE 67A, BENNINGTON VERMONT 05201 (BENNINGTON)",1,C,,
05201TNSTRWESTR,-73.267,42.878,False,50,003,971000,50,50003,50003971000,1400000US50003971000,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,VT,5201,"TANSITOR ELECTRONICS INC.2813 W RD, BENNINGTON VERMONT 05201 (BENNINGTON)",0,C,,110007400963
05201BNMNTBENMO,-73.215,42.875,False,50,003,971000,50,50003,50003971000,1400000US50003971000,BEN-MONT CORP,BENMONT AVE,BENNINGTON,VT,5201,"BEN-MONT CORP.BENMONT AVE, BENNINGTON VERMONT 05201 (BENNINGTON)",1,C,,
05257CHMCL13WAT,-73.247,42.913999999999994,False,50,003,971000,50,50003,50003971000,1400000US50003971000,CHEMFAB CORP,1030 WATER ST,NORTH BENNINGTON,VT,5257,"CHEMFAB CORP.1030 WATER ST, NORTH BENNINGTON VERMONT 05257 (BENNINGTON)",0,C,,
05257KRNPT441WA,-73.24600000000001,42.923,False,50,003,971000,50,50003,50003971000,1400000US50003971000,ADC OPTICAL SYSTEMS,441 WATER ST,NORTH BENNINGTON,VT,5257,"ADC OPTICAL SYSTEMS.441 WATER ST, NORTH BENNINGTON VERMONT 05257 (BENNINGTON)",0,C,,110015681751
05262STNLYROUTE,-73.217,42.946999999999996,False,50,003,970800,50,50003,50003970800,1400000US50003970800,STANLEY TOOLS EAGLE SQUARE PLANT,372 VT RTE 67,SHAFTSBURY,VT,5262,"STANLEY TOOLS EAGLE SQUARE PLANT.372 VT RTE 67, SHAFTSBURY VERMONT 05262 (BENNINGTON)",0,C,,
05301BSCSCBRUDI,-72.546,42.888999999999996,False,50,025,968600,50,50025,50025968600,1400000US50025968600,NEENAH NORTHEAST LLC,161 WELLINGTON RD,BRATTLEBORO,VT,5301,"NEENAH NORTHEAST LLC.161 WELLINGTON RD, BRATTLEBORO VERMONT 05301 (WINDHAM)",0,C,,110000763148
05301CBRDLQUINN,-72.54899999999999,42.896,False,50,025,968600,50,50025,50025968600,1400000US50025968600,CE BRADLEY LABORATORIES INC,55 BENNETT DR,BRATTLEBORO,VT,5301,"CE BRADLEY LABORATORIES INC.55 BENNETT DR, BRATTLEBORO VERMONT 05301 (WINDHAM)",0,C,,110039145092
05301FLFLXPUTNE,-72.555,42.885,False,50,025,968600,50,50025,50025968600,1400000US50025968600,FULFLEX A GARFLEX INC CO,32 JUSTIN HOLDEN DR,BRATTLEBORO,VT,5301,"FULFLEX A GARFLEX INC CO.32 JUSTIN HOLDEN DR, BRATTLEBORO VERMONT 05301 (WINDHAM)",0,C,,110000581567
