TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
98001GRWPR1113R,-122.23200000000001,47.31100000000001,False,53,033,030501,53,53033,53033030501,1400000US53033030501,GROW GROUP INC CONSUMER & PROFESSIONAL PRODUTS GROUP,111 3RD ST NW,AUBURN,WA,98001,"GROW GROUP INC CONSUMER & PROFESSIONAL PRODUTS GROUP.111 3RD ST NW, AUBURN WASHINGTON 98001 (KING)",0,C,,
98001LVNGS2537T,-122.23,47.341,False,53,033,030501,53,53033,53033030501,1400000US53033030501,MERIDIAN AUTOMOTIVE SYS,25 - 37TH ST,AUBURN,WA,98002,"MERIDIAN AUTOMOTIVE SYS.25 - 37TH ST, AUBURN WASHINGTON 98002 (KING)",1,C,,
98002NRTHW3223N,-122.227,47.336999999999996,False,53,033,030501,53,53033,53033030501,1400000US53033030501,NORTHWEST ETCH TECHNOLOGY INC,3223 NE C ST UNIT #2,AUBURN,WA,98002,"NORTHWEST ETCH TECHNOLOGY INC.3223 NE C ST UNIT #2, AUBURN WASHINGTON 98002 (KING)",0,C,,
98002RMMRN4737T,-122.229,47.341,False,53,033,030501,53,53033,53033030501,1400000US53033030501,FLUID MOTION LLC,47 37TH ST NE,AUBURN,WA,98002,"FLUID MOTION LLC.47 37TH ST NE, AUBURN WASHINGTON 98002 (KING)",0,C,,110040337392
98001STRRW3102B,-122.23100000000001,47.335,False,53,033,030501,53,53033,53033030501,1400000US53033030501,SAFETY-KLEEN SYSTEMS AUBURN (AUB),3102 B ST NW,AUBURN,WA,98001,"SAFETY-KLEEN SYSTEMS AUBURN (AUB).3102 B ST NW, AUBURN WASHINGTON 98001 (KING)",0,C,,110000488954
98002KDDRN3223C,-122.227,47.336000000000006,False,53,033,030501,53,53033,53033030501,1400000US53033030501,KIDDER INTERNATIONAL,3223 C ST NE,AUBURN,WA,98002,"KIDDER INTERNATIONAL.3223 C ST NE, AUBURN WASHINGTON 98002 (KING)",0,C,,
98002SFTYK3210C,-122.225,47.336000000000006,False,53,033,030501,53,53033,53033030501,1400000US53033030501,SAFETY-KLEEN SYSTEMS (118101),3210 C ST NE UNIT G,AUBURN,WA,98002,"SAFETY-KLEEN SYSTEMS (118101).3210 C ST NE UNIT G, AUBURN WASHINGTON 98002 (KING)",1,C,,110000620418
98002FRMLC4432C,-122.227,47.346000000000004,False,53,033,030501,53,53033,53033030501,1400000US53033030501,FORMULA CORP,4432 C ST NE,AUBURN,WA,98002,"FORMULA CORP.4432 C ST NE, AUBURN WASHINGTON 98002 (KING)",0,C,,110017742843
98002NMTCF3126C,-122.226,47.335,False,53,033,030501,53,53033,53033030501,1400000US53033030501,NUMATIC FINISHING,3126 C ST NE,AUBURN,WA,98002,"NUMATIC FINISHING.3126 C ST NE, AUBURN WASHINGTON 98002 (KING)",0,C,,110001916954
9800WNRGRN425CS,-122.234,47.312,False,53,033,030501,53,53033,53033030501,1400000US53033030501,NORGREN GT DEVELOPMENT CORP,425 C ST NW SUITE 100,AUBURN,WA,98001,"NORGREN GT DEVELOPMENT CORP.425 C ST NW SUITE 100, AUBURN WASHINGTON 98001 (KING)",0,C,,110043326692
