TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
53002MYSTL6199C,-88.359,43.417,False,55,131,430100,55,55131,55131430100,1400000US55131430100,MAYSTEEL LLC,6199 HWY W,ALLENTON,WI,53002,"MAYSTEEL LLC.6199 HWY W, ALLENTON WISCONSIN 53002 (WASHINGTON)",0,C,,110000593894
53002PRMRL5911H,-88.33,43.411,False,55,131,430100,55,55131,55131430100,1400000US55131430100,PREMIER ALUMINUM LLC,5911 HILLCREST DR,ALLENTON,WI,53002,"PREMIER ALUMINUM LLC.5911 HILLCREST DR, ALLENTON WISCONSIN 53002 (WASHINGTON)",0,C,,110016659338
5300WLLCST217WE,-88.336,43.416000000000004,False,55,131,430100,55,55131,55131430100,1400000US55131430100,BOYD CORP,217 WEIS ST,ALLENTON,WI,53002,"BOYD CORP.217 WEIS ST, ALLENTON WISCONSIN 53002 (WASHINGTON)",0,C,,110001925338
5302WLYCNN489WI,-88.321,43.372,False,55,131,430100,55,55131,55131430100,1400000US55131430100,LYCON INC - PLANT #20,4890 WILDLIFE ROAD,HARTFORD,WI,53027,"LYCON INC - PLANT #20.4890 WILDLIFE ROAD, HARTFORD WISCONSIN 53027 (WASHINGTON)",0,C,,110037604223
53003CNMWCW2573,-88.522,43.214,False,55,027,961500,55,55027,55027961500,1400000US55027961500,OCONOMOWOC ELECTROPLATING CO INC,W 2573 OAK ST,ASHIPPUN,WI,53003,"OCONOMOWOC ELECTROPLATING CO INC.W 2573 OAK ST, ASHIPPUN WISCONSIN 53003 (DODGE)",0,C,,
53066FBRSNWEST2,-88.51899999999999,43.214,False,55,027,961500,55,55027,55027961500,1400000US55027961500,FIBERESIN INDUSTRIES INC,W2620 OAK ST,IXONIA,WI,53036,"FIBERESIN INDUSTRIES INC.W2620 OAK ST, IXONIA WISCONSIN 53036 (DODGE)",0,C,,110000416620
53003DGMLD2512W,-88.524,43.216,False,55,027,961500,55,55027,55027961500,1400000US55027961500,EDGEMOLD PRODUCTS,2512 WEST OAK ST,ASHIPPUN,WI,53003,"EDGEMOLD PRODUCTS.2512 WEST OAK ST, ASHIPPUN WISCONSIN 53003 (DODGE)",0,C,,
53027QDGRP1900W,-88.421,43.328,False,55,027,961500,55,55027,55027961500,1400000US55027961500,QUAD/GRAPHICS INC,1900 W SUMNER ST,HARTFORD,WI,53027,"QUAD/GRAPHICS INC.1900 W SUMNER ST, HARTFORD WISCONSIN 53027 (DODGE)",0,C,,110000416265
53078GRNDCW1234,-88.458,43.34,False,55,027,961500,55,55027,55027961500,1400000US55027961500,GRANDE CHEESE CO RUBICON,W1234 ROME RD,RUBICON,WI,53078,"GRANDE CHEESE CO RUBICON.W1234 ROME RD, RUBICON WISCONSIN 53078 (DODGE)",0,C,,110016900558
5302WCHMCL1951C,-88.419,43.333999999999996,False,55,027,961500,55,55027,55027961500,1400000US55027961500,CHEMICAL RESEARCH/TECHNOLOGY LLC (CR/T),1951 CONSTITUTION AVE,HARTFORD,WI,53027,"CHEMICAL RESEARCH/TECHNOLOGY LLC (CR/T).1951 CONSTITUTION AVE, HARTFORD WISCONSIN 53027 (DODGE)",0,C,,110005518715
