TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
24740CLTTNPOBOX,-81.084,37.364000000000004,False,54,055,001300,54,54055,54055001300,1400000US54055001300,FOSROC INC,301 ROGERS ST,PRINCETON,WV,24740,"FOSROC INC.301 ROGERS ST, PRINCETON WEST VIRGINIA 24740 (MERCER)",0,C,,
24740SWNSN401LA,-81.08800000000001,37.368,False,54,055,001300,54,54055,54055001300,1400000US54055001300,INDUSTRIAL PLATING & MACHINE I NC,301 PRINCETON AVE,PRINCETON,WV,24740,"INDUSTRIAL PLATING & MACHINE I NC.301 PRINCETON AVE, PRINCETON WEST VIRGINIA 24740 (MERCER)",0,C,,110000344155
24740CMWDPROGER,-81.084,37.361999999999995,False,54,055,002300,54,54055,54055002300,1400000US54055002300,ACME WOOD PRESERVING INC,200 ROSELAND AVE,PRINCETON,WV,24740,"ACME WOOD PRESERVING INC.200 ROSELAND AVE, PRINCETON WEST VIRGINIA 24740 (MERCER)",0,C,,110000344137
24740PPSCLROGER,-81.07300000000001,37.365,False,54,055,002300,54,54055,54055002300,1400000US54055002300,BOTTLING GROUP LLC PEPSI BOTTLING GROUP,730 ROGERS ST,PRINCETON,WV,247403650,"BOTTLING GROUP LLC PEPSI BOTTLING GROUP.730 ROGERS ST, PRINCETON WEST VIRGINIA 24740 (MERCER)",0,C,,
24740GRGPC577CL,-81.12899999999999,37.32,False,54,055,002300,54,54055,54055002300,1400000US54055002300,ALLEGHENY WOOD PRODUCTS INC MILL 9,577 CLOVER DEW DAIRY RD,PRINCETON,WV,24739,"ALLEGHENY WOOD PRODUCTS INC MILL 9.577 CLOVER DEW DAIRY RD, PRINCETON WEST VIRGINIA 24739 (MERCER)",0,C,,110012707589
24740CNNWLUSROU,-81.02,37.429,False,54,055,001100,54,54055,54055001100,1400000US54055001100,CONN-WELD INC,US RT 460 315 WABASH,PRINCETON,WV,24740,"CONN-WELD INC.US RT 460 315 WABASH, PRINCETON WEST VIRGINIA 24740 (MERCER)",0,C,,110007875282
24920HWSLTRT250,-79.806,38.545,False,54,075,960102,54,54075,54075960102,1400000US54075960102,HOWES LEATHER CO INC,US RTE 250,FRANK,WV,24920,"HOWES LEATHER CO INC.US RTE 250, FRANK WEST VIRGINIA 24920 (POCAHONTAS)",0,C,,
24954HNVRS3002N,-80.09100000000001,38.226,False,54,075,960200,54,54075,54075960200,1400000US54075960200,HANOVER SHOE CO MARLINTON PLANT,300 2ND AVE,MARLINTON,WV,24954,"HANOVER SHOE CO MARLINTON PLANT.300 2ND AVE, MARLINTON WEST VIRGINIA 24954 (POCAHONTAS)",0,C,,
2628WSTRBRHC58B,-80.07600000000001,38.426,False,54,075,960200,54,54083,54075960200,1400000US54075960200,STAR BRIDGE PREPARATION PLANT,HC 58 BOX 200,MILL CREEK,WV,26280,"STAR BRIDGE PREPARATION PLANT.HC 58 BOX 200, MILL CREEK WEST VIRGINIA 26280 (RANDOLPH)",0,C,,110060279988
24983BFGDRRT5BO,-80.531,37.618,False,54,063,950200,54,54063,54063950200,1400000US54063950200,GOODRICH CORP DEICING & SPECIALTY SYSTEMS DIV,225 STRINGTOWN RD,UNION,WV,24983,"GOODRICH CORP DEICING & SPECIALTY SYSTEMS DIV.225 STRINGTOWN RD, UNION WEST VIRGINIA 24983 (MONROE)",0,C,,110000344173
