TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
82007FRNTR2700E,-104.789,41.128,False,56,021,000200,56,56021,56021000200,1400000US56021000200,HOLLYFRONTIER CHEYENNE REFINING LLC,2700 E. 5TH STREET,CHEYENNE,WY,82007,"HOLLYFRONTIER CHEYENNE REFINING LLC.2700 E. 5TH STREET, CHEYENNE WYOMING 82007 (LARAMIE)",0,C,,110000468048
82007SCHRL821BR,-104.79799999999999,41.131,False,56,021,000200,56,56021,56021000200,1400000US56021000200,SCHROLL CABINETS,821 BRADLEY AVE,CHEYENNE,WY,82007,"SCHROLL CABINETS.821 BRADLEY AVE, CHEYENNE WYOMING 82007 (LARAMIE)",0,C,,
8200WVNRTR174PA,-104.833,41.119,False,56,021,000200,56,56021,56021000200,1400000US56021000200,VOESTALPINE NORTRAK INC,1740 PACIFIC AVENUE,CHEYENNE,WY,82007,"VOESTALPINE NORTRAK INC.1740 PACIFIC AVENUE, CHEYENNE WYOMING 82007 (LARAMIE)",0,C,,110028071191
82007WYCNC8305O,-104.913,41.096000000000004,False,56,021,001902,56,56021,56021001902,1400000US56021001902,COASTAL CHEM INC,8201 OTTO RD,CHEYENNE,WY,82007,"COASTAL CHEM INC.8201 OTTO RD, CHEYENNE WYOMING 82007 (LARAMIE)",0,C,,
82007DYNNB835TT,-104.906,41.095,False,56,021,001902,56,56021,56021001902,1400000US56021001902,DYNO NOBEL INC-CHEYENNE PLANT,8305 OTTO RD,CHEYENNE,WY,82001,"DYNO NOBEL INC-CHEYENNE PLANT.8305 OTTO RD, CHEYENNE WYOMING 82001 (LARAMIE)",0,C,,110000468066
8200WJBRNC6331B,-104.891,41.06100000000001,False,56,021,001902,56,56021,56021001902,1400000US56021001902,JEBRO INCORPORATED,6331 BERWICK DRIVE,CHEYENNE,WY,82007,"JEBRO INCORPORATED.6331 BERWICK DRIVE, CHEYENNE WYOMING 82007 (LARAMIE)",0,C,,110046279656
8200WBRNNT6527B,-104.89200000000001,41.059,False,56,021,001902,56,56021,56021001902,1400000US56021001902,BRENNTAG PACIFIC INC,6527 BERWICK DRIVE,CHEYENNE,WY,82007,"BRENNTAG PACIFIC INC.6527 BERWICK DRIVE, CHEYENNE WYOMING 82007 (LARAMIE)",0,C,,110064677933
82240HLLYSUSHIG,-104.189,42.048,False,56,015,958000,56,56015,56015958000,1400000US56015958000,THE WESTERN SUGAR COOP-TORRINGTON PLANT,400 MAIN ST,TORRINGTON,WY,82240,"THE WESTERN SUGAR COOP-TORRINGTON PLANT.400 MAIN ST, TORRINGTON WYOMING 82240 (GOSHEN)",0,C,,110000468084
82007WYZNC475CO,-104.65299999999999,41.638000000000005,False,56,015,958000,56,56021,56015958000,1400000US56015958000,TETRA MICRONUTRIENTS INC,475 COUNTY RD 128A,CHEYENNE,WY,82007,"TETRA MICRONUTRIENTS INC.475 COUNTY RD 128A, CHEYENNE WYOMING 82007 (LARAMIE)",0,C,,
82240WYMNG12MWH,-104.194,42.04600000000001,False,56,015,958000,56,56015,56015958000,1400000US56015958000,WYOMING ETHANOL,4739 WEST STATE HWY 156,TORRINGTON,WY,82240,"WYOMING ETHANOL.4739 WEST STATE HWY 156, TORRINGTON WYOMING 82240 (GOSHEN)",0,C,,110000602205
82334SNCLREASTL,-107.104,41.778999999999996,False,56,007,967600,56,56007,56007967600,1400000US56007967600,SINCLAIR WYOMING REFINING CO,100 E LINCOLN AVE,SINCLAIR,WY,82334,"SINCLAIR WYOMING REFINING CO.100 E LINCOLN AVE, SINCLAIR WYOMING 82334 (CARBON)",0,C,,110000468093
82401CRWNC4THST,-107.964,44.023999999999994,False,56,043,000302,56,56043,56043000302,1400000US56043000302,CROWN BEVERAGE PACKAGING,620 N FOURTH ST,WORLAND,WY,82401,"CROWN BEVERAGE PACKAGING.620 N FOURTH ST, WORLAND WYOMING 82401 (WASHAKIE)",0,C,,110010856341
82401HLLYS300FI,-107.969,44.01,False,56,043,000302,56,56043,56043000302,1400000US56043000302,WYOMING SUGAR CO,300 S 1ST ST,WORLAND,WY,82401,"WYOMING SUGAR CO.300 S 1ST ST, WORLAND WYOMING 82401 (WASHAKIE)",0,C,,110000468128
82401FRMNT821PU,-107.958,44.019,False,56,043,000301,56,56043,56043000301,1400000US56043000301,FREMONT BEVERAGES,821 PULLIAM AVE,WORLAND,WY,82401,"FREMONT BEVERAGES.821 PULLIAM AVE, WORLAND WYOMING 82401 (WASHAKIE)",0,C,,
