TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
90038HLLYW1033N,"HOLLYWOOD WELDING WORK SHEPHER'S SHOP 1033 N MANSFIEL AVE, HOLLYWOOD, CA, 90038",,,06,HOLLYWOOD WELDING WORK SHEPHER'S SHOP,1033 N MANSFIEL AVE,HOLLYWOOD,06037,CA,90038,0,C,,,True
90255TRDBS6600S,"TRADE BUSINESS FORMS 6600 S SANTA FE AVE, HUNTINGTON PARK, CA, 90255",,,06,TRADE BUSINESS FORMS,6600 S SANTA FE AVE,HUNTINGTON PARK,06037,CA,90255,0,C,,,True
90670NTDDL10035,"UNITED AD LABEL CO INC 10035 GREENLEAF AVE, SANTA FE SPRINGS, CA, 90670",,,06,UNITED AD LABEL CO INC,10035 GREENLEAF AVE,SANTA FE SPRINGS,06037,CA,90670,0,C,,,True
90723WLKRS15342,"WALKER'S AIR BRAKES 15342 ILLINOIS AVE, PARAMOUNT, CA, 907234192",,,06,WALKER'S AIR BRAKES,15342 ILLINOIS AVE,PARAMOUNT,06037,CA,907234192,0,C,,,True
90745PRTNB1624E,"PURITAN BAKERY INC 1624 E CARSON ST, CARSON, CA, 90745",,,06,PURITAN BAKERY INC,1624 E CARSON ST,CARSON,06037,CA,90745,0,C,,,True
91605LMRDY6850T,"ALMORE DYE HOUSE 6850 TUJUNGA AVE, NORTH HOLLYWOOD, CA, 91605",,,06,ALMORE DYE HOUSE,6850 TUJUNGA AVE,NORTH HOLLYWOOD,06037,CA,91605,0,C,,,True
91749DTDCM17011,"DATA DOCUMENTS INC 17011 GREEN DR, LA PUENTE, CA, 91749",,,06,DATA DOCUMENTS INC,17011 GREEN DR,LA PUENTE,06037,CA,91749,0,C,,,True
91761HMLTN16EXC,"HAMILTON SUNDSTRAND CORP 1600 EXCISE AVE, ONTARIO, CA, 91761",,,06,HAMILTON SUNDSTRAND CORP,1600 EXCISE AVE,ONTARIO,06071,CA,91761,0,C,,,True
9225WBRDRP293AT,"BORDER PATROL TRAINING FACILITY BE# CA0161 293 ATEN ROAD, IMPERIAL, CA, 92251",,,06,BORDER PATROL TRAINING FACILITY BE# CA0161,293 ATEN ROAD,IMPERIAL,06025,CA,92251,0,F,,110046123912,True
92376FRRCM300SO,"FARR CO 300 S CEDAR, RIALTO, CA, 92376",,,06,FARR CO,300 S CEDAR,RIALTO,06071,CA,92376,0,C,,,True
92649MSSCT5312P,"AM & ASSOC 5312 PRODUCTION DR, HUNTINGTON BEACH, CA, 92649",,,06,AM & ASSOC,5312 PRODUCTION DR,HUNTINGTON BEACH,06059,CA,92649,0,C,,,True
93454LDWRL1240M,"OLD WORLD LIGHTING 1240 MISSION DR, SOLVANG, CA, 93454",,,06,OLD WORLD LIGHTING,1240 MISSION DR,SOLVANG,06083,CA,93454,0,C,,,True
93725KRYST2771S,"KRYSTAL OXYGEN CO 2771 S MAPLE, FRESNO, CA, 93725",,,06,KRYSTAL OXYGEN CO,2771 S MAPLE,FRESNO,06019,CA,93725,0,C,,,True
94303SMXXX2536P,"ASM 2536 PULGAS AVE, EAST PALO ALTO, CA, 94303",,,06,ASM,2536 PULGAS AVE,EAST PALO ALTO,06081,CA,94303,0,C,,,True
95008NCSLT1160D,"IONICS ULTRAPURE WATER CORP 1160 DELL AVE, CAMPBELL, CA, 95008",,,06,IONICS ULTRAPURE WATER CORP,1160 DELL AVE,CAMPBELL,06085,CA,95008,0,C,,,True
95112SFTYK1147N,"SAFETY-KLEEN SYSTEMS (717802) 1147 N 10TH ST, SAN JOSE, CA, 95112",,,06,SAFETY-KLEEN SYSTEMS (717802),1147 N 10TH ST,SAN JOSE,06085,CA,95112,0,C,,,True
95355SNRSR4518O,"SUNRISE RENTS ROCKS REDI-MIX 4518 OAKDALE RD, MODESTO, CA, 95355",,,06,SUNRISE RENTS ROCKS REDI-MIX,4518 OAKDALE RD,MODESTO,06099,CA,95355,0,C,,,True
