TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
07029SRMLN900PA,"SARAMAE LINGERIE 900 PASSAIC AVE, EAST NEWARK, NJ, 7029",,,34,SARAMAE LINGERIE,900 PASSAIC AVE,EAST NEWARK,34017,NJ,7029,0,C,,,True
07072CLDBM111PA,"CLAUDE BAMBERGER MOLDING COMPOUNDS CORP 111 PATERSON PLANK RD, CARLSTADT, NJ, 7072",,,34,CLAUDE BAMBERGER MOLDING COMPOUNDS CORP,111 PATERSON PLANK RD,CARLSTADT,34003,NJ,7072,0,C,,,True
07083NTRNT2530P,"INTERNATIONAL VITAMIN CORP 2530 POLK ST, UNION, NJ, 7083",,,34,INTERNATIONAL VITAMIN CORP,2530 POLK ST,UNION,34039,NJ,7083,0,C,,,True
07093JSMBX31368,"JOS EMB 313 68TH ST, GUTTENBERG, NJ, 7093",,,34,JOS EMB,313 68TH ST,GUTTENBERG,34017,NJ,7093,0,C,,,True
07093LYKMN1610P,"LYKE MFG CORP 1610 PARKER PLANK RD, NORTH BERGEN, NJ, 7093",,,34,LYKE MFG CORP,1610 PARKER PLANK RD,NORTH BERGEN,34017,NJ,7093,0,C,,,True
07105THRLY25MCW,"AURILYTE PROCESS CO INC 25 MCWHORTER ST, NEWARK, NJ, 7105",,,34,AURILYTE PROCESS CO INC,25 MCWHORTER ST,NEWARK,34013,NJ,7105,0,C,,,True
07111RNLDF400CO,"ARNOLD FURNITURE MFG INC 400 COIT ST, IRVINGTON, NJ, 7111",,,34,ARNOLD FURNITURE MFG INC,400 COIT ST,IRVINGTON,34013,NJ,7111,0,C,,,True
07670LPXSH56NSU,"ALPEX STEEL CO 56 N SUMMIT ST, TENAFLY, NJ, 7670",,,34,ALPEX STEEL CO,56 N SUMMIT ST,TENAFLY,34003,NJ,7670,0,C,,,True
08030DYRST8THST,"DYER STORE FIXTURES CO 8TH & CHARLES STS, GLOUCESTER CITY, NJ, 8030",,,34,DYER STORE FIXTURES CO,8TH & CHARLES STS,GLOUCESTER CITY,34007,NJ,8030,0,C,,,True
08057PHLDL1250G,"PHILADELPHIA COCA COLA BOTTLING CO 1250 GLEN AVE, MOORESTOWN, NJ, 8057",,,34,PHILADELPHIA COCA COLA BOTTLING CO,1250 GLEN AVE,MOORESTOWN,34005,NJ,8057,0,C,,,True
08618TRNTN30ADA,"TRENTON SHEET METAL INC 30 ADAM AVE, TRENTON, NJ, 8618",,,34,TRENTON SHEET METAL INC,30 ADAM AVE,TRENTON,34021,NJ,8618,0,C,,,True
0883WRLPHC119SM,"RALPH CLAYTON & SONS 119 SMITH ST, KEASBEY, NJ, 8832",,,34,RALPH CLAYTON & SONS,119 SMITH ST,KEASBEY,34023,NJ,8832,0,C,,,True
08876MGNLT169ME,"ML SYS 169 MEISTER AVE, BRANCHBURG PARK, NJ, 8876",,,34,ML SYS,169 MEISTER AVE,BRANCHBURG PARK,34035,NJ,8876,0,C,,,True
