TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
4312WSFTYK4465M,"SAFETY KLEEN CORP 4465 MARKETING PLACE, GROVEPORT, OH, 43125",,,39,SAFETY KLEEN CORP,4465 MARKETING PLACE,GROVEPORT,39049,OH,43125,0,G,,110000850106,True
4401WDVNCD951JA,"ADVANCED POLYMER COATINGS 951 JAYCOX RD, AVON, OH, 44011",,,39,ADVANCED POLYMER COATINGS,951 JAYCOX RD,AVON,39093,OH,44011,0,C,,,True
4406WMRCNM77TYL,"AMERICAN METAL COATINGS LLC 7700 TYLER BLVD, MENTOR, OH, 44060",,,39,AMERICAN METAL COATINGS LLC,7700 TYLER BLVD,MENTOR,39085,OH,44060,0,C,,,True
44137NLCRP14901,"NL CORP 14901 BROADWAY, CLEVELAND, OH, 44137",,,39,NL CORP,14901 BROADWAY,CLEVELAND,39035,OH,44137,0,C,,,True
45225LVRCH2908S,"OLIVER CHEMICAL CO INC 2908 SPRING GROVE AVE, CINCINNATI, OH, 45225",,,39,OLIVER CHEMICAL CO INC,2908 SPRING GROVE AVE,CINCINNATI,39061,OH,45225,0,C,,,True
4522WBRNRD1738T,"BERNARD LABORATORIES INC 1738 TOWNSEND STREET, CINCINNATI, OH, 45223",,,39,BERNARD LABORATORIES INC,1738 TOWNSEND STREET,CINCINNATI,39061,OH,45223,0,C,,110009661179,True
4543WNWDMN35DRY,"NEW DIMENSION METALS 3050 DRYDEN RD, DAYTON, OH, 45439",,,39,NEW DIMENSION METALS,3050 DRYDEN RD,DAYTON,39113,OH,45439,0,C,,,True
45661SDPRT393UA,"US DOE PORTSMOUTH GASEOUS DIFFUSION PLANT-MCS DUF6 3930 US RT 23 S, PIKETON, OH, 45661",,,39,US DOE PORTSMOUTH GASEOUS DIFFUSION PLANT-MCS DUF6,3930 US RT 23 S,PIKETON,39131,OH,45661,0,G,,110000395260,True
45661SDPRT393US,"U.S. DOE PORTSMOUTH GASEOUS DIFFUSION PLANT - TPMC LLC 3930 U.S. RT 23 S, PIKETON, OH, 45661",,,39,U.S. DOE PORTSMOUTH GASEOUS DIFFUSION PLANT - TPMC LLC,3930 U.S. RT 23 S,PIKETON,39131,OH,45661,0,G,,110000395260,True
45804HTTRT1799E,"HEAT TREATING TECH INC 1799 E 4TH ST, LIMA, OH, 45804",,,39,HEAT TREATING TECH INC,1799 E 4TH ST,LIMA,39003,OH,45804,0,C,,,True
