TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
00613RDSRVBARRI,"CONTINENTAL FLAVORS & FRAGRANCES (DBA R & D SERVICES) BARRIO HIGUILLALES CARR #10 INT 652, ARECIBO, PR, 613",,,72,CONTINENTAL FLAVORS & FRAGRANCES (DBA R & D SERVICES),BARRIO HIGUILLALES CARR #10 INT 652,ARECIBO,72013,PR,613,0,C,,,True
00619MDCRBLOT41,"MDI CARIBE LTD LOT #41 LUCHETTI INDL PARK, BAYAMON, PR, 959",,,72,MDI CARIBE LTD,LOT #41 LUCHETTI INDL PARK,BAYAMON,72021,PR,959,0,C,,,True
00630SBGNRJULIO,"ESB-GENERAL BATTERY CO JULIO N MATOS INDUSTRIAL PARK RD 887 KM 08, CAROLINA, PR, 985",,,72,ESB-GENERAL BATTERY CO,JULIO N MATOS INDUSTRIAL PARK RD 887 KM 08,CAROLINA,72031,PR,985,0,C,,,True
00673HTLCRROUTE,"HTL CARIBE INC RTE 992 BOX 559, LUQUILLO, PR, 773",,,72,HTL CARIBE INC,RTE 992 BOX 559,LUQUILLO,72089,PR,773,0,C,,,True
00708MTKNDZONAI,"MATOUK IND INC ZONA INDL, GUANAJIBO CASTILLO, MAYAGUEZ, PR, 680",,,72,MATOUK IND INC,"ZONA INDL, GUANAJIBO CASTILLO",MAYAGUEZ,72097,PR,680,0,C,,,True
00708PRVTLFREET,"PRIVATE LABEL IND INC FREE TRADE ZONE #39, MAYAGUEZ, PR, 680",,,72,PRIVATE LABEL IND INC,FREE TRADE ZONE #39,MAYAGUEZ,72097,PR,680,0,C,,,True
00762PHLLPPRRD6,"PHILLIPE GUEX TOOLING & FASTENING SYS OF AMERICA PR RD 690 INT 688 BRENAS WARD, VEGA ALTA, PR, 692",,,72,PHILLIPE GUEX TOOLING & FASTENING SYS OF AMERICA,PR RD 690 INT 688 BRENAS WARD,VEGA ALTA,72143,PR,692,0,C,,,True
00768RLBLBSTATE,"ORAL-B LABS MANUFACTURING CORP OF PR STATE RD 335, KM 04, YAUCO, PR, 7691657",,,72,ORAL-B LABS MANUFACTURING CORP OF PR,"STATE RD 335, KM 04",YAUCO,72153,PR,7691657,0,C,,,True
00792SYLVNRD909,"SYLVANIA MFG CO, ELECTRONIC COMPONENTS DIV RD 909 KM 02, HUMACAO, PR, 7928790",,,72,"SYLVANIA MFG CO, ELECTRONIC COMPONENTS DIV",RD 909 KM 02,HUMACAO,72069,PR,7928790,0,C,,,True
00922MSTRLROAD2,"MASTERLITE PRODUCTS INC RD #2 KM 165, TOA BAJA, PR, 949",,,72,MASTERLITE PRODUCTS INC,RD #2 KM 165,TOA BAJA,72137,PR,949,0,C,,,True
00983NLTDRURBIN,"ENLATADORA DEL PATIO INC URB INDUSTRIAL JULIO N MATOS, EDIF 14, CAROLINA, PR, 983",,,72,ENLATADORA DEL PATIO INC,"URB INDUSTRIAL JULIO N MATOS, EDIF 14",CAROLINA,72031,PR,983,0,C,,,True
