TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
75226SPRKL1801S,"SPARKLETTS DRINKING WATER CORP 1801 S GOOD LATIMER EXPRESSWAY, DALLAS, TX, 75226",,,48,SPARKLETTS DRINKING WATER CORP,1801 S GOOD LATIMER EXPRESSWAY,DALLAS,48113,TX,75226,0,C,,,True
75247MTTHW7715S,"MATTHEWS INTERNATIONAL CORP 7715 SOVEREIGN ROW, DALLAS, TX, 75247",,,48,MATTHEWS INTERNATIONAL CORP,7715 SOVEREIGN ROW,DALLAS,48113,TX,75247,0,C,,,True
7577WSNDRS313SE,"SANDERSON FARMS MINEOLA FEED MILL 3130 SE LOOP 564, MINEOLA, TX, 75771",,,48,SANDERSON FARMS MINEOLA FEED MILL,3130 SE LOOP 564,MINEOLA,48499,TX,75771,0,C,,,True
7608WMDLTH344VV,"MIDLOTHIAN PLANT 3440 V.V. JONES RD, MIDLOTHIAN, TX, 76084",,,48,MIDLOTHIAN PLANT,3440 V.V. JONES RD,MIDLOTHIAN,48139,TX,76084,0,C,,110070559738,True
76107MNVLL2222W,"MANVILLE SALES CORP 2222 W 5TH ST, FORT WORTH, TX, 76107",,,48,MANVILLE SALES CORP,2222 W 5TH ST,FORT WORTH,48439,TX,76107,0,C,,,True
76801DRPPP3321M,"DR PEPPER BOTTLERS BROWNWOOD INC 3321 MILAM DR, BROWNWOOD, TX, 76801",,,48,DR PEPPER BOTTLERS BROWNWOOD INC,3321 MILAM DR,BROWNWOOD,48049,TX,76801,0,C,,,True
7706WRTFBR76SSA,"RTI FABRICATIONS 7600 S SANTA FE BLDG C, HOUSTON, TX, 77061",,,48,RTI FABRICATIONS,7600 S SANTA FE BLDG C,HOUSTON,48201,TX,77061,0,C,,110059244875,True
7765WMRTNS112EA,"MARTIN ASPHALT - PORT NECHES 100 1/2 EAST PORT NECHES AVE, PORT NECHES, TX, 77651",,,48,MARTIN ASPHALT - PORT NECHES,100 1/2 EAST PORT NECHES AVE,PORT NECHES,48245,TX,77651,0,C,,110042002784,True
7826WVNTGR18865,"VINTAGE AIR INC 18865 GOLL ST, SAN ANTONIO, TX, 78266",,,48,VINTAGE AIR INC,18865 GOLL ST,SAN ANTONIO,48091,TX,78266,0,C,,110035091726,True
7872WTXPRT29AND,"TXI - PORTABLE 153 290 AND 130, MANOR, TX, 78653",,,48,TXI - PORTABLE 153,290 AND 130,MANOR,48453,TX,78653,1,C,,110060257467,True
7932WXYPRMPBX12,"OXY PERMIAN - WASSON CO2 REMOVAL PLANT 2582 COUNTY ROAD 355, DENVER CITY, TX, 79323",,,48,OXY PERMIAN - WASSON CO2 REMOVAL PLANT,2582 COUNTY ROAD 355,DENVER CITY,48501,TX,79323,0,C,,110012182422,True
7932WXYPRMPBX16,"OXY PERMIAN - DENVER UNIT CO2 RECOVERY PLANT 2681 STATE HIGHWAY 214, DENVER CITY, TX, 79323",,,48,OXY PERMIAN - DENVER UNIT CO2 RECOVERY PLANT,2681 STATE HIGHWAY 214,DENVER CITY,48501,TX,79323,0,C,,110055499713,True
7932WXYPRMPBX99,"OXY PERMIAN - WILLARD SEPARATION PLANT 1190 COUNTY ROAD 330, DENVER CITY, TX, 79323",,,48,OXY PERMIAN - WILLARD SEPARATION PLANT,1190 COUNTY ROAD 330,DENVER CITY,48501,TX,79323,0,C,,110055499722,True
7937WXYPRMPBX11,"OXY PERMIAN - SLAUGHTER/MALLET COMPLEX 4 MILES WEST OF SUNDOWN, TX ON FM 301, SUNDOWN, TX, 79372",,,48,OXY PERMIAN - SLAUGHTER/MALLET COMPLEX,"4 MILES WEST OF SUNDOWN, TX ON FM 301",SUNDOWN,48219,TX,79372,0,C,,110055499731,True
