TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
53029GVMCH620CA,"G & V MACHINE CO INC 620 CARDINAL LN, HARTLAND, WI, 53029",,,55,G & V MACHINE CO INC,620 CARDINAL LN,HARTLAND,55133,WI,53029,0,C,,,True
53403PRMRL5911H,"PREMIER ALUMINUM INC 5911 HILLCREST DR & 3633 S MEMORIAL DR, RACINE, WI, 534033823",,,55,PREMIER ALUMINUM INC,5911 HILLCREST DR & 3633 S MEMORIAL DR,RACINE,55101,WI,534033823,2,C,,,True
5371WTMMDS5515N,"TEAM MADISON DATA CENTER 5515 NOBEL DR., MADISON, WI, 53711",,,55,TEAM MADISON DATA CENTER,5515 NOBEL DR.,MADISON,55025,WI,53711,0,C,,110043965386,True
5401WPHLLP222CA,"PHILLIPS MEDISIZE ST CROIX MEADOWS 2202 CARMICHAEL RD, HUDSON, WI, 54016",,,55,PHILLIPS MEDISIZE ST CROIX MEADOWS,2202 CARMICHAEL RD,HUDSON,55109,WI,54016,0,C,,,True
5401WPHLLP75WIB,"PHILLIPS MEDISIZE LLC 705 WISCONSIN DR, NEW RICHMOND, WI, 54017",,,55,PHILLIPS MEDISIZE LLC,705 WISCONSIN DR,NEW RICHMOND,00000,WI,54017,0,C,,,True
54220WYRHS2000S,"WEYERHAEUSER PAPER CO, PACKAGING DIV 2000 S 18TH ST, MANITOWOC, WI, 54220",,,55,"WEYERHAEUSER PAPER CO, PACKAGING DIV",2000 S 18TH ST,MANITOWOC,55071,WI,54220,0,C,,,True
54324BYNDS817MA,"BAY INDUSTRIAL MACHINE 817 MARQUIS WAY, GREEN BAY, WI, 54304",,,55,BAY INDUSTRIAL MACHINE,817 MARQUIS WAY,GREEN BAY,55009,WI,54304,0,C,,,True
54568PKLLLAV108,"PUKALL LUMBER CO INC AV10894 HWY 70E, WOODRUFF, WI, 54568",,,55,PUKALL LUMBER CO INC,AV10894 HWY 70E,WOODRUFF,55125,WI,54568,0,C,,,True
54911PPLTN337WW,"APPLETON WATER UTILITY 337 W WATER ST, APPLETON, WI, 54911",,,55,APPLETON WATER UTILITY,337 W WATER ST,APPLETON,55087,WI,54911,0,C,,,True
54956THRML211JA,"THERMO ELECTRON WISCONSIN INC 211 JACKSON ST, NEENAH, WI, 54956",,,55,THERMO ELECTRON WISCONSIN INC,211 JACKSON ST,NEENAH,55139,WI,54956,1,C,,,True
